user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,DeviceInfo,application,2026-01-01 16:21:50.258000+05:30,2026-01-01,Thursday,'16:21:50.258000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Session Started,system,2026-01-01 16:21:50.818000+05:30,2026-01-01,Thursday,'16:21:50.818000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,App Installed,system,2026-01-01 16:21:50.867000+05:30,2026-01-01,Thursday,'16:21:50.867000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Started,system,2026-01-01 16:21:51.874000+05:30,2026-01-01,Thursday,'16:21:51.874000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,app_start,application,2026-01-01 16:21:52.195000+05:30,2026-01-01,Thursday,'16:21:52.195000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,choose_language,application,2026-01-01 16:21:58.033000+05:30,2026-01-01,Thursday,'16:21:58.033000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Onboarding_Language,application,2026-01-01 16:21:58.045000+05:30,2026-01-01,Thursday,'16:21:58.045000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,choose_language,application,2026-01-01 16:21:58.076000+05:30,2026-01-01,Thursday,'16:21:58.076000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Onboarding_Language,application,2026-01-01 16:21:58.098000+05:30,2026-01-01,Thursday,'16:21:58.098000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,choose_language,application,2026-01-01 16:21:58.110000+05:30,2026-01-01,Thursday,'16:21:58.110000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Onboarding_Language,application,2026-01-01 16:21:58.115000+05:30,2026-01-01,Thursday,'16:21:58.115000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,choose_language,application,2026-01-01 16:21:58.145000+05:30,2026-01-01,Thursday,'16:21:58.145000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Onboarding_Language,application,2026-01-01 16:21:58.150000+05:30,2026-01-01,Thursday,'16:21:58.150000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,choose_language,application,2026-01-01 16:21:58.865000+05:30,2026-01-01,Thursday,'16:21:58.865000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Onboarding_Language,application,2026-01-01 16:21:58.875000+05:30,2026-01-01,Thursday,'16:21:58.875000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,choose_language,application,2026-01-01 16:21:58.881000+05:30,2026-01-01,Thursday,'16:21:58.881000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Onboarding_Language,application,2026-01-01 16:21:58.888000+05:30,2026-01-01,Thursday,'16:21:58.888000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Ended,system,2026-01-01 16:22:00.832000+05:30,2026-01-01,Thursday,'16:22:00.832000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Started,system,2026-01-01 16:22:00.832000+05:30,2026-01-01,Thursday,'16:22:00.832000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Ended,system,2026-01-01 16:22:00.914000+05:30,2026-01-01,Thursday,'16:22:00.914000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Started,system,2026-01-01 16:22:00.914000+05:30,2026-01-01,Thursday,'16:22:00.914000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Ended,system,2026-01-01 16:22:01.018000+05:30,2026-01-01,Thursday,'16:22:01.018000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Started,system,2026-01-01 16:22:01.018000+05:30,2026-01-01,Thursday,'16:22:01.018000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Ended,system,2026-01-01 16:22:01.025000+05:30,2026-01-01,Thursday,'16:22:01.025000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,generate_otp,application,2026-01-01 16:22:07.505000+05:30,2026-01-01,Thursday,'16:22:07.505000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Onboarding_get_otp,application,2026-01-01 16:22:07.539000+05:30,2026-01-01,Thursday,'16:22:07.539000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Ended,system,2026-01-01 16:22:09.904000+05:30,2026-01-01,Thursday,'16:22:09.904000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Started,system,2026-01-01 16:22:09.904000+05:30,2026-01-01,Thursday,'16:22:09.904000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,Journey Ended,system,2026-01-01 16:22:09.921000+05:30,2026-01-01,Thursday,'16:22:09.921000
98b3c20e-5c3b-477b-b0a3-f4ebc66b1804,_auth_generate-otp,application,2026-01-01 16:22:11.314000+05:30,2026-01-01,Thursday,'16:22:11.314000
