user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
98eb09dd-287c-480d-9bde-7ef101b50a65,App Installed,system,2026-01-02 01:50:50.533000+05:30,2026-01-02,Friday,'01:50:50.533000
98eb09dd-287c-480d-9bde-7ef101b50a65,Boarding_drop_locations,application,2026-01-02 01:53:54.155000+05:30,2026-01-02,Friday,'01:53:54.155000
98eb09dd-287c-480d-9bde-7ef101b50a65,Buslist_bus_selection,application,2026-01-02 01:53:23.277000+05:30,2026-01-02,Friday,'01:53:23.277000
98eb09dd-287c-480d-9bde-7ef101b50a65,Buslist_bus_selection,application,2026-01-02 01:53:39.642000+05:30,2026-01-02,Friday,'01:53:39.642000
98eb09dd-287c-480d-9bde-7ef101b50a65,Buslist_bus_selection,application,2026-01-02 01:53:44.162000+05:30,2026-01-02,Friday,'01:53:44.162000
98eb09dd-287c-480d-9bde-7ef101b50a65,Buslist_date change,application,2026-01-02 01:53:11.127000+05:30,2026-01-02,Friday,'01:53:11.127000
98eb09dd-287c-480d-9bde-7ef101b50a65,Buslist_date change,application,2026-01-02 01:53:15.475000+05:30,2026-01-02,Friday,'01:53:15.475000
98eb09dd-287c-480d-9bde-7ef101b50a65,DeviceInfo,application,2026-01-02 01:50:50.389000+05:30,2026-01-02,Friday,'01:50:50.389000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Ended,system,2026-01-02 01:50:57.582000+05:30,2026-01-02,Friday,'01:50:57.582000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Ended,system,2026-01-02 01:53:23.375000+05:30,2026-01-02,Friday,'01:53:23.375000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Ended,system,2026-01-02 01:53:39.689000+05:30,2026-01-02,Friday,'01:53:39.689000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Ended,system,2026-01-02 01:53:44.177000+05:30,2026-01-02,Friday,'01:53:44.177000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Ended,system,2026-01-02 01:53:51.914000+05:30,2026-01-02,Friday,'01:53:51.914000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Ended,system,2026-01-02 02:08:58.219000+05:30,2026-01-02,Friday,'02:08:58.219000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Started,system,2026-01-02 01:50:50.545000+05:30,2026-01-02,Friday,'01:50:50.545000
98eb09dd-287c-480d-9bde-7ef101b50a65,Journey Started,system,2026-01-02 01:50:57.582000+05:30,2026-01-02,Friday,'01:50:57.582000
