user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
99fe4205-1715-4b9d-b715-101ad22674ef,DeviceInfo,application,2026-01-17 13:46:22.262000+05:30,2026-01-17,Saturday,'13:46:22.262000
99fe4205-1715-4b9d-b715-101ad22674ef,Session Started,system,2026-01-17 13:46:22.655000+05:30,2026-01-17,Saturday,'13:46:22.655000
99fe4205-1715-4b9d-b715-101ad22674ef,App Installed,system,2026-01-17 13:46:22.655000+05:30,2026-01-17,Saturday,'13:46:22.655000
99fe4205-1715-4b9d-b715-101ad22674ef,Journey Started,system,2026-01-17 13:46:22.678000+05:30,2026-01-17,Saturday,'13:46:22.678000
99fe4205-1715-4b9d-b715-101ad22674ef,Push Subscribe Process - Device Registered (Push),system,2026-01-17 13:46:23.363000+05:30,2026-01-17,Saturday,'13:46:23.363000
99fe4205-1715-4b9d-b715-101ad22674ef,app_start,application,2026-01-17 13:46:25.749000+05:30,2026-01-17,Saturday,'13:46:25.749000
99fe4205-1715-4b9d-b715-101ad22674ef,Onboarding_Language,application,2026-01-17 13:46:29.271000+05:30,2026-01-17,Saturday,'13:46:29.271000
99fe4205-1715-4b9d-b715-101ad22674ef,choose_language,application,2026-01-17 13:46:29.271000+05:30,2026-01-17,Saturday,'13:46:29.271000
99fe4205-1715-4b9d-b715-101ad22674ef,Journey Ended,system,2026-01-17 13:46:29.283000+05:30,2026-01-17,Saturday,'13:46:29.283000
99fe4205-1715-4b9d-b715-101ad22674ef,Journey Started,system,2026-01-17 13:46:29.283000+05:30,2026-01-17,Saturday,'13:46:29.283000
99fe4205-1715-4b9d-b715-101ad22674ef,Journey Ended,system,2026-01-17 13:46:29.285000+05:30,2026-01-17,Saturday,'13:46:29.285000
99fe4205-1715-4b9d-b715-101ad22674ef,Journey Started,system,2026-01-17 13:46:29.285000+05:30,2026-01-17,Saturday,'13:46:29.285000
99fe4205-1715-4b9d-b715-101ad22674ef,Onboarding_Language,application,2026-01-17 13:46:30.163000+05:30,2026-01-17,Saturday,'13:46:30.163000
