user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9a0a7f8a-edbf-4259-a300-287ab8991a46,DeviceInfo,application,2026-01-09 18:37:08.577000+05:30,2026-01-09,Friday,'18:37:08.577000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Session Started,system,2026-01-09 18:37:09.091000+05:30,2026-01-09,Friday,'18:37:09.091000
9a0a7f8a-edbf-4259-a300-287ab8991a46,App Installed,system,2026-01-09 18:37:09.091000+05:30,2026-01-09,Friday,'18:37:09.091000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Journey Started,system,2026-01-09 18:37:09.120000+05:30,2026-01-09,Friday,'18:37:09.120000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Push Subscribe Process - Device Registered (Push),system,2026-01-09 18:37:10+05:30,2026-01-09,Friday,'18:37:10.000000
9a0a7f8a-edbf-4259-a300-287ab8991a46,app_start,application,2026-01-09 18:37:12.315000+05:30,2026-01-09,Friday,'18:37:12.315000
9a0a7f8a-edbf-4259-a300-287ab8991a46,choose_language,application,2026-01-09 18:37:20.220000+05:30,2026-01-09,Friday,'18:37:20.220000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Onboarding_Language,application,2026-01-09 18:37:20.221000+05:30,2026-01-09,Friday,'18:37:20.221000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Journey Started,system,2026-01-09 18:37:20.243000+05:30,2026-01-09,Friday,'18:37:20.243000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Journey Ended,system,2026-01-09 18:37:20.244000+05:30,2026-01-09,Friday,'18:37:20.244000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Journey Started,system,2026-01-09 18:37:20.249000+05:30,2026-01-09,Friday,'18:37:20.249000
9a0a7f8a-edbf-4259-a300-287ab8991a46,Journey Ended,system,2026-01-09 18:37:20.250000+05:30,2026-01-09,Friday,'18:37:20.250000
9a0a7f8a-edbf-4259-a300-287ab8991a46,choose_language,application,2026-01-09 18:37:20.320000+05:30,2026-01-09,Friday,'18:37:20.320000
