user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9ad82026-c54b-4994-81e6-5dcaaf0704c0,DeviceInfo,application,2026-01-09 19:50:27.366000+05:30,2026-01-09,Friday,'19:50:27.366000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Session Started,system,2026-01-09 19:50:27.779000+05:30,2026-01-09,Friday,'19:50:27.779000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,App Installed,system,2026-01-09 19:50:27.830000+05:30,2026-01-09,Friday,'19:50:27.830000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,app_start,application,2026-01-09 19:50:28.402000+05:30,2026-01-09,Friday,'19:50:28.402000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Started,system,2026-01-09 19:50:28.646000+05:30,2026-01-09,Friday,'19:50:28.646000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Push Subscribe Process - Device Registered (Push),system,2026-01-09 19:50:29.317000+05:30,2026-01-09,Friday,'19:50:29.317000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,choose_language,application,2026-01-09 19:50:32.108000+05:30,2026-01-09,Friday,'19:50:32.108000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Onboarding_Language,application,2026-01-09 19:50:32.117000+05:30,2026-01-09,Friday,'19:50:32.117000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,generate_otp,application,2026-01-09 19:50:37.014000+05:30,2026-01-09,Friday,'19:50:37.014000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Onboarding_get_otp,application,2026-01-09 19:50:37.032000+05:30,2026-01-09,Friday,'19:50:37.032000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Started,system,2026-01-09 19:50:37.795000+05:30,2026-01-09,Friday,'19:50:37.795000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Ended,system,2026-01-09 19:50:37.796000+05:30,2026-01-09,Friday,'19:50:37.796000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_auth_generate-otp,application,2026-01-09 19:50:38.701000+05:30,2026-01-09,Friday,'19:50:38.701000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,get_otp,application,2026-01-09 19:50:38.741000+05:30,2026-01-09,Friday,'19:50:38.741000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Onboarding_signup_,application,2026-01-09 19:50:38.763000+05:30,2026-01-09,Friday,'19:50:38.763000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,verify_otp,application,2026-01-09 19:50:42.082000+05:30,2026-01-09,Friday,'19:50:42.082000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_auth_verify-otp,application,2026-01-09 19:50:42.294000+05:30,2026-01-09,Friday,'19:50:42.294000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,enter_otp,application,2026-01-09 19:50:42.385000+05:30,2026-01-09,Friday,'19:50:42.385000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,User Login,system,2026-01-09 19:50:42.414000+05:30,2026-01-09,Friday,'19:50:42.414000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,login,application,2026-01-09 19:50:42.591000+05:30,2026-01-09,Friday,'19:50:42.591000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_user,application,2026-01-09 19:50:42.608000+05:30,2026-01-09,Friday,'19:50:42.608000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_location_from-town,application,2026-01-09 19:50:42.930000+05:30,2026-01-09,Friday,'19:50:42.930000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Onboarding_Profile Saved,application,2026-01-09 19:50:43.652000+05:30,2026-01-09,Friday,'19:50:43.652000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_user,application,2026-01-09 19:50:53.356000+05:30,2026-01-09,Friday,'19:50:53.356000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_history_recommended-journey,application,2026-01-09 19:50:55.544000+05:30,2026-01-09,Friday,'19:50:55.544000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_location_from-town,application,2026-01-09 19:50:55.564000+05:30,2026-01-09,Friday,'19:50:55.564000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_user_device,application,2026-01-09 19:50:55.618000+05:30,2026-01-09,Friday,'19:50:55.618000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_user,application,2026-01-09 19:50:55.800000+05:30,2026-01-09,Friday,'19:50:55.800000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_location_special-town-search,application,2026-01-09 19:50:55.835000+05:30,2026-01-09,Friday,'19:50:55.835000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_ticket,application,2026-01-09 19:50:55.984000+05:30,2026-01-09,Friday,'19:50:55.984000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_location_special-town-search,application,2026-01-09 19:50:58.975000+05:30,2026-01-09,Friday,'19:50:58.975000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_location_elastic-town-search,application,2026-01-09 19:50:59.100000+05:30,2026-01-09,Friday,'19:50:59.100000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_location_special-town-search,application,2026-01-09 19:51:51.274000+05:30,2026-01-09,Friday,'19:51:51.274000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_location_elastic-town-search,application,2026-01-09 19:51:53.323000+05:30,2026-01-09,Friday,'19:51:53.323000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Buslist_date change,application,2026-01-09 19:52:00.403000+05:30,2026-01-09,Friday,'19:52:00.403000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_user,application,2026-01-09 19:52:00.598000+05:30,2026-01-09,Friday,'19:52:00.598000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,pageview_bus_list,application,2026-01-09 19:52:00.619000+05:30,2026-01-09,Friday,'19:52:00.619000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_bus-search_user-bus-search,application,2026-01-09 19:52:00.737000+05:30,2026-01-09,Friday,'19:52:00.737000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_bus-search_list,application,2026-01-09 19:52:04.008000+05:30,2026-01-09,Friday,'19:52:04.008000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_rewards_best-V2,application,2026-01-09 19:52:04.760000+05:30,2026-01-09,Friday,'19:52:04.760000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Buslist_date change,application,2026-01-09 19:52:04.774000+05:30,2026-01-09,Friday,'19:52:04.774000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,bus_search,application,2026-01-09 19:52:04.860000+05:30,2026-01-09,Friday,'19:52:04.860000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,bus_result,application,2026-01-09 19:52:04.879000+05:30,2026-01-09,Friday,'19:52:04.879000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Started,system,2026-01-09 19:52:13.457000+05:30,2026-01-09,Friday,'19:52:13.457000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Buslist_date change,application,2026-01-09 19:52:19.385000+05:30,2026-01-09,Friday,'19:52:19.385000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_user,application,2026-01-09 19:52:19.656000+05:30,2026-01-09,Friday,'19:52:19.656000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,pageview_bus_list,application,2026-01-09 19:52:19.667000+05:30,2026-01-09,Friday,'19:52:19.667000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_bus-search_user-bus-search,application,2026-01-09 19:52:19.728000+05:30,2026-01-09,Friday,'19:52:19.728000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_bus-search_list,application,2026-01-09 19:52:22.416000+05:30,2026-01-09,Friday,'19:52:22.416000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_rewards_best-V2,application,2026-01-09 19:52:22.632000+05:30,2026-01-09,Friday,'19:52:22.632000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Buslist_date change,application,2026-01-09 19:52:22.648000+05:30,2026-01-09,Friday,'19:52:22.648000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,bus_search,application,2026-01-09 19:52:22.693000+05:30,2026-01-09,Friday,'19:52:22.693000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,bus_result,application,2026-01-09 19:52:22.710000+05:30,2026-01-09,Friday,'19:52:22.710000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Buslist_bus_selection,application,2026-01-09 19:52:31.223000+05:30,2026-01-09,Friday,'19:52:31.223000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,bus_detail,application,2026-01-09 19:52:31.254000+05:30,2026-01-09,Friday,'19:52:31.254000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,pageview_seat_selection,application,2026-01-09 19:52:31.302000+05:30,2026-01-09,Friday,'19:52:31.302000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,SeatSelection_Click On Back,application,2026-01-09 19:52:31.381000+05:30,2026-01-09,Friday,'19:52:31.381000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_bus-search_v2_layout,application,2026-01-09 19:52:31.597000+05:30,2026-01-09,Friday,'19:52:31.597000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Ended,system,2026-01-09 19:52:32.055000+05:30,2026-01-09,Friday,'19:52:32.055000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Started,system,2026-01-09 19:52:32.057000+05:30,2026-01-09,Friday,'19:52:32.057000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_profile,application,2026-01-09 19:52:33.242000+05:30,2026-01-09,Friday,'19:52:33.242000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,select_seat,application,2026-01-09 19:52:53.028000+05:30,2026-01-09,Friday,'19:52:53.028000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Buslist_bus_selection,application,2026-01-09 19:52:53.066000+05:30,2026-01-09,Friday,'19:52:53.066000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,bus_detail,application,2026-01-09 19:52:53.092000+05:30,2026-01-09,Friday,'19:52:53.092000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,pageview_seat_selection,application,2026-01-09 19:52:53.141000+05:30,2026-01-09,Friday,'19:52:53.141000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,SeatSelection_Click On Back,application,2026-01-09 19:52:53.150000+05:30,2026-01-09,Friday,'19:52:53.150000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_bus-search_v2_layout,application,2026-01-09 19:52:53.358000+05:30,2026-01-09,Friday,'19:52:53.358000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Ended,system,2026-01-09 19:52:54.269000+05:30,2026-01-09,Friday,'19:52:54.269000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Started,system,2026-01-09 19:52:54.301000+05:30,2026-01-09,Friday,'19:52:54.301000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_profile,application,2026-01-09 19:52:54.495000+05:30,2026-01-09,Friday,'19:52:54.495000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,select_seat,application,2026-01-09 19:52:55.797000+05:30,2026-01-09,Friday,'19:52:55.797000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Journey Ended,system,2026-01-09 19:53:00.816000+05:30,2026-01-09,Friday,'19:53:00.816000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,boarding_change_pickup,application,2026-01-09 19:53:13.756000+05:30,2026-01-09,Friday,'19:53:13.756000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,seats_finalized,application,2026-01-09 19:53:15.779000+05:30,2026-01-09,Friday,'19:53:15.779000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,Boarding_drop_locations,application,2026-01-09 19:53:15.827000+05:30,2026-01-09,Friday,'19:53:15.827000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,pageview_booking_details,application,2026-01-09 19:53:17.106000+05:30,2026-01-09,Friday,'19:53:17.106000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,auto_apply_coupon,application,2026-01-09 19:53:17.128000+05:30,2026-01-09,Friday,'19:53:17.128000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_bus-search_get-distance,application,2026-01-09 19:53:17.474000+05:30,2026-01-09,Friday,'19:53:17.474000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_coupon,application,2026-01-09 19:53:17.483000+05:30,2026-01-09,Friday,'19:53:17.483000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,_ticket,application,2026-01-09 19:53:17.494000+05:30,2026-01-09,Friday,'19:53:17.494000
9ad82026-c54b-4994-81e6-5dcaaf0704c0,PaymentPage_DiscountApplied,application,2026-01-09 19:53:17.525000+05:30,2026-01-09,Friday,'19:53:17.525000
