user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9b06717c-5d8c-49b8-b864-dbd843b9e800,DeviceInfo,application,2026-01-10 12:54:03.701000+05:30,2026-01-10,Saturday,'12:54:03.701000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Session Started,system,2026-01-10 12:54:04.461000+05:30,2026-01-10,Saturday,'12:54:04.461000
9b06717c-5d8c-49b8-b864-dbd843b9e800,App Installed,system,2026-01-10 12:54:04.484000+05:30,2026-01-10,Saturday,'12:54:04.484000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Journey Started,system,2026-01-10 12:54:04.715000+05:30,2026-01-10,Saturday,'12:54:04.715000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Push Subscribe Process - Device Registered (Push),system,2026-01-10 12:54:05.697000+05:30,2026-01-10,Saturday,'12:54:05.697000
9b06717c-5d8c-49b8-b864-dbd843b9e800,app_start,application,2026-01-10 12:54:05.805000+05:30,2026-01-10,Saturday,'12:54:05.805000
9b06717c-5d8c-49b8-b864-dbd843b9e800,choose_language,application,2026-01-10 12:54:09.743000+05:30,2026-01-10,Saturday,'12:54:09.743000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Onboarding_Language,application,2026-01-10 12:54:09.759000+05:30,2026-01-10,Saturday,'12:54:09.759000
9b06717c-5d8c-49b8-b864-dbd843b9e800,choose_language,application,2026-01-10 12:54:09.792000+05:30,2026-01-10,Saturday,'12:54:09.792000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Onboarding_Language,application,2026-01-10 12:54:09.803000+05:30,2026-01-10,Saturday,'12:54:09.803000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Journey Ended,system,2026-01-10 12:54:10.124000+05:30,2026-01-10,Saturday,'12:54:10.124000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Journey Started,system,2026-01-10 12:54:10.124000+05:30,2026-01-10,Saturday,'12:54:10.124000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Journey Ended,system,2026-01-10 12:54:10.127000+05:30,2026-01-10,Saturday,'12:54:10.127000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Journey Started,system,2026-01-10 12:54:10.127000+05:30,2026-01-10,Saturday,'12:54:10.127000
9b06717c-5d8c-49b8-b864-dbd843b9e800,choose_language,application,2026-01-10 12:54:10.270000+05:30,2026-01-10,Saturday,'12:54:10.270000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Onboarding_Language,application,2026-01-10 12:54:10.286000+05:30,2026-01-10,Saturday,'12:54:10.286000
9b06717c-5d8c-49b8-b864-dbd843b9e800,generate_otp,application,2026-01-10 12:54:17.452000+05:30,2026-01-10,Saturday,'12:54:17.452000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Onboarding_get_otp,application,2026-01-10 12:54:17.483000+05:30,2026-01-10,Saturday,'12:54:17.483000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Journey Started,system,2026-01-10 12:54:17.716000+05:30,2026-01-10,Saturday,'12:54:17.716000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Journey Ended,system,2026-01-10 12:54:17.716000+05:30,2026-01-10,Saturday,'12:54:17.716000
9b06717c-5d8c-49b8-b864-dbd843b9e800,_auth_generate-otp,application,2026-01-10 12:54:24.087000+05:30,2026-01-10,Saturday,'12:54:24.087000
9b06717c-5d8c-49b8-b864-dbd843b9e800,get_otp,application,2026-01-10 12:54:24.108000+05:30,2026-01-10,Saturday,'12:54:24.108000
9b06717c-5d8c-49b8-b864-dbd843b9e800,Onboarding_signup_,application,2026-01-10 12:54:24.137000+05:30,2026-01-10,Saturday,'12:54:24.137000
9b06717c-5d8c-49b8-b864-dbd843b9e800,verify_otp,application,2026-01-10 12:54:55.930000+05:30,2026-01-10,Saturday,'12:54:55.930000
9b06717c-5d8c-49b8-b864-dbd843b9e800,_auth_verify-otp,application,2026-01-10 12:54:56.289000+05:30,2026-01-10,Saturday,'12:54:56.289000
