user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9d9db862-0419-48dc-8e4e-96e58220105a,DeviceInfo,application,2026-01-09 15:27:18.943000+05:30,2026-01-09,Friday,'15:27:18.943000
9d9db862-0419-48dc-8e4e-96e58220105a,Session Started,system,2026-01-09 15:27:22.274000+05:30,2026-01-09,Friday,'15:27:22.274000
9d9db862-0419-48dc-8e4e-96e58220105a,App Installed,system,2026-01-09 15:27:22.316000+05:30,2026-01-09,Friday,'15:27:22.316000
9d9db862-0419-48dc-8e4e-96e58220105a,Push Subscribe Process - Device Registered (Push),system,2026-01-09 15:27:22.372000+05:30,2026-01-09,Friday,'15:27:22.372000
9d9db862-0419-48dc-8e4e-96e58220105a,Journey Started,system,2026-01-09 15:27:22.687000+05:30,2026-01-09,Friday,'15:27:22.687000
9d9db862-0419-48dc-8e4e-96e58220105a,app_start,application,2026-01-09 15:27:26.244000+05:30,2026-01-09,Friday,'15:27:26.244000
9d9db862-0419-48dc-8e4e-96e58220105a,choose_language,application,2026-01-09 15:27:28.989000+05:30,2026-01-09,Friday,'15:27:28.989000
9d9db862-0419-48dc-8e4e-96e58220105a,Onboarding_Language,application,2026-01-09 15:27:29.003000+05:30,2026-01-09,Friday,'15:27:29.003000
9d9db862-0419-48dc-8e4e-96e58220105a,generate_otp,application,2026-01-09 15:27:35.153000+05:30,2026-01-09,Friday,'15:27:35.153000
9d9db862-0419-48dc-8e4e-96e58220105a,Onboarding_get_otp,application,2026-01-09 15:27:35.268000+05:30,2026-01-09,Friday,'15:27:35.268000
9d9db862-0419-48dc-8e4e-96e58220105a,Journey Ended,system,2026-01-09 15:27:35.929000+05:30,2026-01-09,Friday,'15:27:35.929000
9d9db862-0419-48dc-8e4e-96e58220105a,Journey Started,system,2026-01-09 15:27:35.929000+05:30,2026-01-09,Friday,'15:27:35.929000
9d9db862-0419-48dc-8e4e-96e58220105a,_auth_generate-otp,application,2026-01-09 15:27:38.976000+05:30,2026-01-09,Friday,'15:27:38.976000
9d9db862-0419-48dc-8e4e-96e58220105a,get_otp,application,2026-01-09 15:27:38.994000+05:30,2026-01-09,Friday,'15:27:38.994000
9d9db862-0419-48dc-8e4e-96e58220105a,Onboarding_signup_,application,2026-01-09 15:27:39.064000+05:30,2026-01-09,Friday,'15:27:39.064000
9d9db862-0419-48dc-8e4e-96e58220105a,verify_otp,application,2026-01-09 15:27:43.550000+05:30,2026-01-09,Friday,'15:27:43.550000
9d9db862-0419-48dc-8e4e-96e58220105a,_auth_verify-otp,application,2026-01-09 15:27:43.833000+05:30,2026-01-09,Friday,'15:27:43.833000
9d9db862-0419-48dc-8e4e-96e58220105a,enter_otp,application,2026-01-09 15:27:43.854000+05:30,2026-01-09,Friday,'15:27:43.854000
9d9db862-0419-48dc-8e4e-96e58220105a,User Login,system,2026-01-09 15:27:43.894000+05:30,2026-01-09,Friday,'15:27:43.894000
9d9db862-0419-48dc-8e4e-96e58220105a,login,application,2026-01-09 15:27:44.091000+05:30,2026-01-09,Friday,'15:27:44.091000
9d9db862-0419-48dc-8e4e-96e58220105a,_user,application,2026-01-09 15:27:44.160000+05:30,2026-01-09,Friday,'15:27:44.160000
9d9db862-0419-48dc-8e4e-96e58220105a,_location_from-town,application,2026-01-09 15:27:44.637000+05:30,2026-01-09,Friday,'15:27:44.637000
9d9db862-0419-48dc-8e4e-96e58220105a,Onboarding_Profile Saved,application,2026-01-09 15:27:45.348000+05:30,2026-01-09,Friday,'15:27:45.348000
9d9db862-0419-48dc-8e4e-96e58220105a,_user,application,2026-01-09 15:27:55.492000+05:30,2026-01-09,Friday,'15:27:55.492000
9d9db862-0419-48dc-8e4e-96e58220105a,_location_from-town,application,2026-01-09 15:28:01.073000+05:30,2026-01-09,Friday,'15:28:01.073000
9d9db862-0419-48dc-8e4e-96e58220105a,_history_recommended-journey,application,2026-01-09 15:28:01.083000+05:30,2026-01-09,Friday,'15:28:01.083000
9d9db862-0419-48dc-8e4e-96e58220105a,_user_device,application,2026-01-09 15:28:01.094000+05:30,2026-01-09,Friday,'15:28:01.094000
9d9db862-0419-48dc-8e4e-96e58220105a,_user,application,2026-01-09 15:28:01.297000+05:30,2026-01-09,Friday,'15:28:01.297000
9d9db862-0419-48dc-8e4e-96e58220105a,_location_special-town-search,application,2026-01-09 15:28:01.587000+05:30,2026-01-09,Friday,'15:28:01.587000
9d9db862-0419-48dc-8e4e-96e58220105a,_ticket,application,2026-01-09 15:28:01.600000+05:30,2026-01-09,Friday,'15:28:01.600000
9d9db862-0419-48dc-8e4e-96e58220105a,Push Failure,system,2026-01-10 15:27:47.735000+05:30,2026-01-10,Saturday,'15:27:47.735000
