user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9dd5f662-826b-4761-a30a-afb89403c030,DeviceInfo,application,2026-01-03 20:02:02.699000+05:30,2026-01-03,Saturday,'20:02:02.699000
9dd5f662-826b-4761-a30a-afb89403c030,Session Started,system,2026-01-03 20:02:04.239000+05:30,2026-01-03,Saturday,'20:02:04.239000
9dd5f662-826b-4761-a30a-afb89403c030,App Installed,system,2026-01-03 20:02:04.261000+05:30,2026-01-03,Saturday,'20:02:04.261000
9dd5f662-826b-4761-a30a-afb89403c030,app_start,application,2026-01-03 20:02:04.543000+05:30,2026-01-03,Saturday,'20:02:04.543000
9dd5f662-826b-4761-a30a-afb89403c030,Journey Started,system,2026-01-03 20:02:04.621000+05:30,2026-01-03,Saturday,'20:02:04.621000
9dd5f662-826b-4761-a30a-afb89403c030,Push Subscribe Process - Device Registered (Push),system,2026-01-03 20:02:05.459000+05:30,2026-01-03,Saturday,'20:02:05.459000
9dd5f662-826b-4761-a30a-afb89403c030,choose_language,application,2026-01-03 20:02:07.071000+05:30,2026-01-03,Saturday,'20:02:07.071000
9dd5f662-826b-4761-a30a-afb89403c030,Onboarding_Language,application,2026-01-03 20:02:07.078000+05:30,2026-01-03,Saturday,'20:02:07.078000
9dd5f662-826b-4761-a30a-afb89403c030,choose_language,application,2026-01-03 20:02:07.093000+05:30,2026-01-03,Saturday,'20:02:07.093000
9dd5f662-826b-4761-a30a-afb89403c030,Onboarding_Language,application,2026-01-03 20:02:07.098000+05:30,2026-01-03,Saturday,'20:02:07.098000
9dd5f662-826b-4761-a30a-afb89403c030,Journey Ended,system,2026-01-03 20:02:07.767000+05:30,2026-01-03,Saturday,'20:02:07.767000
9dd5f662-826b-4761-a30a-afb89403c030,Journey Started,system,2026-01-03 20:02:07.767000+05:30,2026-01-03,Saturday,'20:02:07.767000
9dd5f662-826b-4761-a30a-afb89403c030,Journey Ended,system,2026-01-03 20:02:07.875000+05:30,2026-01-03,Saturday,'20:02:07.875000
9dd5f662-826b-4761-a30a-afb89403c030,generate_otp,application,2026-01-03 20:02:16.317000+05:30,2026-01-03,Saturday,'20:02:16.317000
9dd5f662-826b-4761-a30a-afb89403c030,Onboarding_get_otp,application,2026-01-03 20:02:16.337000+05:30,2026-01-03,Saturday,'20:02:16.337000
9dd5f662-826b-4761-a30a-afb89403c030,_auth_generate-otp,application,2026-01-03 20:02:16.932000+05:30,2026-01-03,Saturday,'20:02:16.932000
9dd5f662-826b-4761-a30a-afb89403c030,get_otp,application,2026-01-03 20:02:16.937000+05:30,2026-01-03,Saturday,'20:02:16.937000
9dd5f662-826b-4761-a30a-afb89403c030,Onboarding_signup_,application,2026-01-03 20:02:16.951000+05:30,2026-01-03,Saturday,'20:02:16.951000
9dd5f662-826b-4761-a30a-afb89403c030,verify_otp,application,2026-01-03 20:02:21.535000+05:30,2026-01-03,Saturday,'20:02:21.535000
9dd5f662-826b-4761-a30a-afb89403c030,_auth_verify-otp,application,2026-01-03 20:02:21.838000+05:30,2026-01-03,Saturday,'20:02:21.838000
9dd5f662-826b-4761-a30a-afb89403c030,enter_otp,application,2026-01-03 20:02:21.869000+05:30,2026-01-03,Saturday,'20:02:21.869000
9dd5f662-826b-4761-a30a-afb89403c030,User Login,system,2026-01-03 20:02:21.919000+05:30,2026-01-03,Saturday,'20:02:21.919000
9dd5f662-826b-4761-a30a-afb89403c030,login,application,2026-01-03 20:02:22.210000+05:30,2026-01-03,Saturday,'20:02:22.210000
9dd5f662-826b-4761-a30a-afb89403c030,_user,application,2026-01-03 20:02:22.219000+05:30,2026-01-03,Saturday,'20:02:22.219000
9dd5f662-826b-4761-a30a-afb89403c030,_location_from-town,application,2026-01-03 20:02:22.494000+05:30,2026-01-03,Saturday,'20:02:22.494000
9dd5f662-826b-4761-a30a-afb89403c030,Onboarding_Profile Saved,application,2026-01-03 20:02:23.894000+05:30,2026-01-03,Saturday,'20:02:23.894000
9dd5f662-826b-4761-a30a-afb89403c030,_user,application,2026-01-03 20:02:31.350000+05:30,2026-01-03,Saturday,'20:02:31.350000
9dd5f662-826b-4761-a30a-afb89403c030,_history_recommended-journey,application,2026-01-03 20:02:32.873000+05:30,2026-01-03,Saturday,'20:02:32.873000
9dd5f662-826b-4761-a30a-afb89403c030,_user_device,application,2026-01-03 20:02:32.933000+05:30,2026-01-03,Saturday,'20:02:32.933000
9dd5f662-826b-4761-a30a-afb89403c030,_user,application,2026-01-03 20:02:32.959000+05:30,2026-01-03,Saturday,'20:02:32.959000
9dd5f662-826b-4761-a30a-afb89403c030,_location_from-town,application,2026-01-03 20:02:32.975000+05:30,2026-01-03,Saturday,'20:02:32.975000
9dd5f662-826b-4761-a30a-afb89403c030,_ticket,application,2026-01-03 20:02:33.109000+05:30,2026-01-03,Saturday,'20:02:33.109000
9dd5f662-826b-4761-a30a-afb89403c030,_location_special-town-search,application,2026-01-03 20:02:33.116000+05:30,2026-01-03,Saturday,'20:02:33.116000
9dd5f662-826b-4761-a30a-afb89403c030,_location_elastic-town-search,application,2026-01-03 20:02:34.684000+05:30,2026-01-03,Saturday,'20:02:34.684000
9dd5f662-826b-4761-a30a-afb89403c030,_location_special-town-search,application,2026-01-03 20:02:39.186000+05:30,2026-01-03,Saturday,'20:02:39.186000
9dd5f662-826b-4761-a30a-afb89403c030,_location_elastic-town-search,application,2026-01-03 20:02:40.235000+05:30,2026-01-03,Saturday,'20:02:40.235000
9dd5f662-826b-4761-a30a-afb89403c030,Buslist_date change,application,2026-01-03 20:02:44.736000+05:30,2026-01-03,Saturday,'20:02:44.736000
9dd5f662-826b-4761-a30a-afb89403c030,_user,application,2026-01-03 20:02:44.840000+05:30,2026-01-03,Saturday,'20:02:44.840000
