user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,DeviceInfo,application,2026-01-15 21:06:27.116000+05:30,2026-01-15,Thursday,'21:06:27.116000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Session Started,system,2026-01-15 21:06:27.479000+05:30,2026-01-15,Thursday,'21:06:27.479000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,App Installed,system,2026-01-15 21:06:27.509000+05:30,2026-01-15,Thursday,'21:06:27.509000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Journey Started,system,2026-01-15 21:06:28.100000+05:30,2026-01-15,Thursday,'21:06:28.100000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,app_start,application,2026-01-15 21:06:28.518000+05:30,2026-01-15,Thursday,'21:06:28.518000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Push Subscribe Process - Device Registered (Push),system,2026-01-15 21:06:28.939000+05:30,2026-01-15,Thursday,'21:06:28.939000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,choose_language,application,2026-01-15 21:06:31.579000+05:30,2026-01-15,Thursday,'21:06:31.579000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Onboarding_Language,application,2026-01-15 21:06:31.603000+05:30,2026-01-15,Thursday,'21:06:31.603000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,choose_language,application,2026-01-15 21:06:31.633000+05:30,2026-01-15,Thursday,'21:06:31.633000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Onboarding_Language,application,2026-01-15 21:06:31.644000+05:30,2026-01-15,Thursday,'21:06:31.644000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Journey Started,system,2026-01-15 21:06:32.248000+05:30,2026-01-15,Thursday,'21:06:32.248000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Journey Ended,system,2026-01-15 21:06:32.249000+05:30,2026-01-15,Thursday,'21:06:32.249000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Journey Started,system,2026-01-15 21:06:32.251000+05:30,2026-01-15,Thursday,'21:06:32.251000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,choose_language,application,2026-01-15 21:06:32.288000+05:30,2026-01-15,Thursday,'21:06:32.288000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Onboarding_Language,application,2026-01-15 21:06:32.299000+05:30,2026-01-15,Thursday,'21:06:32.299000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,generate_otp,application,2026-01-15 21:06:45.278000+05:30,2026-01-15,Thursday,'21:06:45.278000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Onboarding_get_otp,application,2026-01-15 21:06:45.289000+05:30,2026-01-15,Thursday,'21:06:45.289000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Journey Started,system,2026-01-15 21:06:46.089000+05:30,2026-01-15,Thursday,'21:06:46.089000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Journey Ended,system,2026-01-15 21:06:46.089000+05:30,2026-01-15,Thursday,'21:06:46.089000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_auth_generate-otp,application,2026-01-15 21:06:46.567000+05:30,2026-01-15,Thursday,'21:06:46.567000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,get_otp,application,2026-01-15 21:06:46.579000+05:30,2026-01-15,Thursday,'21:06:46.579000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Onboarding_signup_,application,2026-01-15 21:06:46.602000+05:30,2026-01-15,Thursday,'21:06:46.602000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,verify_otp,application,2026-01-15 21:06:48.966000+05:30,2026-01-15,Thursday,'21:06:48.966000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_auth_verify-otp,application,2026-01-15 21:06:49.147000+05:30,2026-01-15,Thursday,'21:06:49.147000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,enter_otp,application,2026-01-15 21:06:49.166000+05:30,2026-01-15,Thursday,'21:06:49.166000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,User Login,system,2026-01-15 21:06:49.182000+05:30,2026-01-15,Thursday,'21:06:49.182000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,login,application,2026-01-15 21:06:50.594000+05:30,2026-01-15,Thursday,'21:06:50.594000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_user,application,2026-01-15 21:06:50.603000+05:30,2026-01-15,Thursday,'21:06:50.603000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_location_from-town,application,2026-01-15 21:06:50.612000+05:30,2026-01-15,Thursday,'21:06:50.612000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Onboarding_Profile Saved,application,2026-01-15 21:06:51.323000+05:30,2026-01-15,Thursday,'21:06:51.323000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_user,application,2026-01-15 21:07:10.293000+05:30,2026-01-15,Thursday,'21:07:10.293000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_history_recommended-journey,application,2026-01-15 21:07:13.511000+05:30,2026-01-15,Thursday,'21:07:13.511000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_user_device,application,2026-01-15 21:07:13.519000+05:30,2026-01-15,Thursday,'21:07:13.519000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_user,application,2026-01-15 21:07:13.584000+05:30,2026-01-15,Thursday,'21:07:13.584000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_location_from-town,application,2026-01-15 21:07:13.608000+05:30,2026-01-15,Thursday,'21:07:13.608000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_ticket,application,2026-01-15 21:07:13.685000+05:30,2026-01-15,Thursday,'21:07:13.685000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_location_special-town-search,application,2026-01-15 21:07:13.697000+05:30,2026-01-15,Thursday,'21:07:13.697000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_location_elastic-town-search,application,2026-01-15 21:07:25.830000+05:30,2026-01-15,Thursday,'21:07:25.830000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_location_special-town-search,application,2026-01-15 21:07:41.471000+05:30,2026-01-15,Thursday,'21:07:41.471000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_location_elastic-town-search,application,2026-01-15 21:07:41.545000+05:30,2026-01-15,Thursday,'21:07:41.545000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Buslist_date change,application,2026-01-15 21:08:04.295000+05:30,2026-01-15,Thursday,'21:08:04.295000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_user,application,2026-01-15 21:08:04.508000+05:30,2026-01-15,Thursday,'21:08:04.508000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_bus-search_user-bus-search,application,2026-01-15 21:08:04.533000+05:30,2026-01-15,Thursday,'21:08:04.533000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,pageview_bus_list,application,2026-01-15 21:08:04.576000+05:30,2026-01-15,Thursday,'21:08:04.576000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_bus-search_list,application,2026-01-15 21:08:08.798000+05:30,2026-01-15,Thursday,'21:08:08.798000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_rewards_best-V2,application,2026-01-15 21:08:10.215000+05:30,2026-01-15,Thursday,'21:08:10.215000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Buslist_date change,application,2026-01-15 21:08:10.227000+05:30,2026-01-15,Thursday,'21:08:10.227000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,bus_search,application,2026-01-15 21:08:10.313000+05:30,2026-01-15,Thursday,'21:08:10.313000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,bus_result,application,2026-01-15 21:08:10.326000+05:30,2026-01-15,Thursday,'21:08:10.326000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Journey Started,system,2026-01-15 21:08:10.629000+05:30,2026-01-15,Thursday,'21:08:10.629000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,Buslist_date change,application,2026-01-15 21:08:10.877000+05:30,2026-01-15,Thursday,'21:08:10.877000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_user,application,2026-01-15 21:08:11.040000+05:30,2026-01-15,Thursday,'21:08:11.040000
9e00e2d6-b72e-4d8b-9e75-852d9dbc754f,_bus-search_user-bus-search,application,2026-01-15 21:08:11.135000+05:30,2026-01-15,Thursday,'21:08:11.135000
