user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a20151b5-b514-4ca3-94e6-c7166dcec184,DeviceInfo,application,2026-01-02 05:25:23.918000+05:30,2026-01-02,Friday,'05:25:23.918000
a20151b5-b514-4ca3-94e6-c7166dcec184,Session Started,system,2026-01-02 05:25:24.304000+05:30,2026-01-02,Friday,'05:25:24.304000
a20151b5-b514-4ca3-94e6-c7166dcec184,App Installed,system,2026-01-02 05:25:24.339000+05:30,2026-01-02,Friday,'05:25:24.339000
a20151b5-b514-4ca3-94e6-c7166dcec184,Journey Started,system,2026-01-02 05:25:24.895000+05:30,2026-01-02,Friday,'05:25:24.895000
a20151b5-b514-4ca3-94e6-c7166dcec184,app_start,application,2026-01-02 05:25:25.235000+05:30,2026-01-02,Friday,'05:25:25.235000
a20151b5-b514-4ca3-94e6-c7166dcec184,Push Subscribe Process - Device Registered (Push),system,2026-01-02 05:25:25.316000+05:30,2026-01-02,Friday,'05:25:25.316000
a20151b5-b514-4ca3-94e6-c7166dcec184,choose_language,application,2026-01-02 05:25:29.721000+05:30,2026-01-02,Friday,'05:25:29.721000
a20151b5-b514-4ca3-94e6-c7166dcec184,Onboarding_Language,application,2026-01-02 05:25:29.731000+05:30,2026-01-02,Friday,'05:25:29.731000
a20151b5-b514-4ca3-94e6-c7166dcec184,generate_otp,application,2026-01-02 05:26:18.865000+05:30,2026-01-02,Friday,'05:26:18.865000
a20151b5-b514-4ca3-94e6-c7166dcec184,Onboarding_get_otp,application,2026-01-02 05:26:18.896000+05:30,2026-01-02,Friday,'05:26:18.896000
a20151b5-b514-4ca3-94e6-c7166dcec184,Journey Ended,system,2026-01-02 05:26:19.786000+05:30,2026-01-02,Friday,'05:26:19.786000
a20151b5-b514-4ca3-94e6-c7166dcec184,Journey Started,system,2026-01-02 05:26:19.786000+05:30,2026-01-02,Friday,'05:26:19.786000
a20151b5-b514-4ca3-94e6-c7166dcec184,_auth_generate-otp,application,2026-01-02 05:26:19.900000+05:30,2026-01-02,Friday,'05:26:19.900000
a20151b5-b514-4ca3-94e6-c7166dcec184,get_otp,application,2026-01-02 05:26:19.909000+05:30,2026-01-02,Friday,'05:26:19.909000
a20151b5-b514-4ca3-94e6-c7166dcec184,Onboarding_signup_,application,2026-01-02 05:26:19.930000+05:30,2026-01-02,Friday,'05:26:19.930000
a20151b5-b514-4ca3-94e6-c7166dcec184,verify_otp,application,2026-01-02 05:26:26.309000+05:30,2026-01-02,Friday,'05:26:26.309000
a20151b5-b514-4ca3-94e6-c7166dcec184,_auth_verify-otp,application,2026-01-02 05:26:26.579000+05:30,2026-01-02,Friday,'05:26:26.579000
a20151b5-b514-4ca3-94e6-c7166dcec184,enter_otp,application,2026-01-02 05:26:26.612000+05:30,2026-01-02,Friday,'05:26:26.612000
a20151b5-b514-4ca3-94e6-c7166dcec184,User Login,system,2026-01-02 05:26:26.656000+05:30,2026-01-02,Friday,'05:26:26.656000
