user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a2729d81-9fd7-428a-93f0-8b390f2dea07,DeviceInfo,application,2026-01-15 15:16:07.902000+05:30,2026-01-15,Thursday,'15:16:07.902000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Session Started,system,2026-01-15 15:16:08.232000+05:30,2026-01-15,Thursday,'15:16:08.232000
a2729d81-9fd7-428a-93f0-8b390f2dea07,App Installed,system,2026-01-15 15:16:08.297000+05:30,2026-01-15,Thursday,'15:16:08.297000
a2729d81-9fd7-428a-93f0-8b390f2dea07,app_start,application,2026-01-15 15:16:09.447000+05:30,2026-01-15,Thursday,'15:16:09.447000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Journey Started,system,2026-01-15 15:16:09.735000+05:30,2026-01-15,Thursday,'15:16:09.735000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Push Subscribe Process - Device Registered (Push),system,2026-01-15 15:16:09.782000+05:30,2026-01-15,Thursday,'15:16:09.782000
a2729d81-9fd7-428a-93f0-8b390f2dea07,choose_language,application,2026-01-15 15:16:12.116000+05:30,2026-01-15,Thursday,'15:16:12.116000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Onboarding_Language,application,2026-01-15 15:16:12.146000+05:30,2026-01-15,Thursday,'15:16:12.146000
a2729d81-9fd7-428a-93f0-8b390f2dea07,choose_language,application,2026-01-15 15:16:12.251000+05:30,2026-01-15,Thursday,'15:16:12.251000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Onboarding_Language,application,2026-01-15 15:16:12.275000+05:30,2026-01-15,Thursday,'15:16:12.275000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Session Started,system,2026-01-15 15:17:27.262000+05:30,2026-01-15,Thursday,'15:17:27.262000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Journey Started,system,2026-01-15 15:17:34.055000+05:30,2026-01-15,Thursday,'15:17:34.055000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Journey Ended,system,2026-01-15 15:17:34.055000+05:30,2026-01-15,Thursday,'15:17:34.055000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Journey Started,system,2026-01-15 15:17:34.059000+05:30,2026-01-15,Thursday,'15:17:34.059000
a2729d81-9fd7-428a-93f0-8b390f2dea07,choose_language,application,2026-01-15 15:17:35.470000+05:30,2026-01-15,Thursday,'15:17:35.470000
a2729d81-9fd7-428a-93f0-8b390f2dea07,Onboarding_Language,application,2026-01-15 15:17:35.488000+05:30,2026-01-15,Thursday,'15:17:35.488000
