user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a3371221-d168-41ed-a737-07c4e935b434,App Installed,system,2026-01-11 15:46:33.393000+05:30,2026-01-11,Sunday,'15:46:33.393000
a3371221-d168-41ed-a737-07c4e935b434,Buslist_Live Chat Icon,application,2026-01-11 15:52:48.104000+05:30,2026-01-11,Sunday,'15:52:48.104000
a3371221-d168-41ed-a737-07c4e935b434,Buslist_date change,application,2026-01-11 15:52:28.542000+05:30,2026-01-11,Sunday,'15:52:28.542000
a3371221-d168-41ed-a737-07c4e935b434,Buslist_date change,application,2026-01-11 15:52:32.846000+05:30,2026-01-11,Sunday,'15:52:32.846000
a3371221-d168-41ed-a737-07c4e935b434,Buslist_date change,application,2026-01-11 15:52:38.100000+05:30,2026-01-11,Sunday,'15:52:38.100000
a3371221-d168-41ed-a737-07c4e935b434,Buslist_date change,application,2026-01-11 15:52:41.654000+05:30,2026-01-11,Sunday,'15:52:41.654000
a3371221-d168-41ed-a737-07c4e935b434,Buslist_date change,application,2026-01-11 15:54:01.363000+05:30,2026-01-11,Sunday,'15:54:01.363000
a3371221-d168-41ed-a737-07c4e935b434,Buslist_date change,application,2026-01-11 15:54:09.140000+05:30,2026-01-11,Sunday,'15:54:09.140000
a3371221-d168-41ed-a737-07c4e935b434,DeviceInfo,application,2026-01-11 15:46:32.796000+05:30,2026-01-11,Sunday,'15:46:32.796000
a3371221-d168-41ed-a737-07c4e935b434,Journey Ended,system,2026-01-11 15:47:02.608000+05:30,2026-01-11,Sunday,'15:47:02.608000
a3371221-d168-41ed-a737-07c4e935b434,Journey Ended,system,2026-01-11 15:47:28.338000+05:30,2026-01-11,Sunday,'15:47:28.338000
a3371221-d168-41ed-a737-07c4e935b434,Journey Ended,system,2026-01-11 15:47:38.901000+05:30,2026-01-11,Sunday,'15:47:38.901000
a3371221-d168-41ed-a737-07c4e935b434,Journey Ended,system,2026-01-11 22:08:13.476000+05:30,2026-01-11,Sunday,'22:08:13.476000
a3371221-d168-41ed-a737-07c4e935b434,Journey Started,system,2026-01-11 15:46:34.150000+05:30,2026-01-11,Sunday,'15:46:34.150000
a3371221-d168-41ed-a737-07c4e935b434,Journey Started,system,2026-01-11 15:47:02.608000+05:30,2026-01-11,Sunday,'15:47:02.608000
a3371221-d168-41ed-a737-07c4e935b434,Journey Started,system,2026-01-11 15:47:28.338000+05:30,2026-01-11,Sunday,'15:47:28.338000
a3371221-d168-41ed-a737-07c4e935b434,Journey Started,system,2026-01-11 15:47:38.901000+05:30,2026-01-11,Sunday,'15:47:38.901000
a3371221-d168-41ed-a737-07c4e935b434,Journey Started,system,2026-01-11 15:52:39.063000+05:30,2026-01-11,Sunday,'15:52:39.063000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Language,application,2026-01-11 15:46:42.508000+05:30,2026-01-11,Sunday,'15:46:42.508000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Language,application,2026-01-11 15:47:01.876000+05:30,2026-01-11,Sunday,'15:47:01.876000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Language,application,2026-01-11 15:47:25.455000+05:30,2026-01-11,Sunday,'15:47:25.455000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Language,application,2026-01-11 15:47:25.724000+05:30,2026-01-11,Sunday,'15:47:25.724000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Language,application,2026-01-11 15:47:25.876000+05:30,2026-01-11,Sunday,'15:47:25.876000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Language,application,2026-01-11 15:47:25.946000+05:30,2026-01-11,Sunday,'15:47:25.946000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Language,application,2026-01-11 15:47:26.168000+05:30,2026-01-11,Sunday,'15:47:26.168000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_Profile Saved,application,2026-01-11 15:47:49.647000+05:30,2026-01-11,Sunday,'15:47:49.647000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_get_otp,application,2026-01-11 15:47:38.115000+05:30,2026-01-11,Sunday,'15:47:38.115000
a3371221-d168-41ed-a737-07c4e935b434,Onboarding_signup_,application,2026-01-11 15:47:39.086000+05:30,2026-01-11,Sunday,'15:47:39.086000
a3371221-d168-41ed-a737-07c4e935b434,Push Failure,system,2026-01-11 16:07:49.917000+05:30,2026-01-11,Sunday,'16:07:49.917000
a3371221-d168-41ed-a737-07c4e935b434,Push Failure,system,2026-01-12 15:46:47.593000+05:30,2026-01-12,Monday,'15:46:47.593000
a3371221-d168-41ed-a737-07c4e935b434,Push Failure,system,2026-01-13 15:47:22.169000+05:30,2026-01-13,Tuesday,'15:47:22.169000
a3371221-d168-41ed-a737-07c4e935b434,Push Failure,system,2026-01-14 15:47:49.703000+05:30,2026-01-14,Wednesday,'15:47:49.703000
