user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a375bb16-78df-4613-8f7f-72857430c1bc,DeviceInfo,application,2026-01-12 13:14:29.155000+05:30,2026-01-12,Monday,'13:14:29.155000
a375bb16-78df-4613-8f7f-72857430c1bc,Session Started,system,2026-01-12 13:14:29.346000+05:30,2026-01-12,Monday,'13:14:29.346000
a375bb16-78df-4613-8f7f-72857430c1bc,App Installed,system,2026-01-12 13:14:29.385000+05:30,2026-01-12,Monday,'13:14:29.385000
a375bb16-78df-4613-8f7f-72857430c1bc,app_start,application,2026-01-12 13:14:32.912000+05:30,2026-01-12,Monday,'13:14:32.912000
a375bb16-78df-4613-8f7f-72857430c1bc,Push Subscribe Process - Device Registered (Push),system,2026-01-12 13:14:37.014000+05:30,2026-01-12,Monday,'13:14:37.014000
a375bb16-78df-4613-8f7f-72857430c1bc,choose_language,application,2026-01-12 13:14:37.287000+05:30,2026-01-12,Monday,'13:14:37.287000
a375bb16-78df-4613-8f7f-72857430c1bc,Onboarding_Language,application,2026-01-12 13:14:37.325000+05:30,2026-01-12,Monday,'13:14:37.325000
a375bb16-78df-4613-8f7f-72857430c1bc,generate_otp,application,2026-01-12 13:14:46.316000+05:30,2026-01-12,Monday,'13:14:46.316000
a375bb16-78df-4613-8f7f-72857430c1bc,Onboarding_get_otp,application,2026-01-12 13:14:46.336000+05:30,2026-01-12,Monday,'13:14:46.336000
a375bb16-78df-4613-8f7f-72857430c1bc,_auth_generate-otp,application,2026-01-12 13:14:53.320000+05:30,2026-01-12,Monday,'13:14:53.320000
a375bb16-78df-4613-8f7f-72857430c1bc,get_otp,application,2026-01-12 13:14:53.346000+05:30,2026-01-12,Monday,'13:14:53.346000
a375bb16-78df-4613-8f7f-72857430c1bc,Onboarding_signup_,application,2026-01-12 13:14:53.418000+05:30,2026-01-12,Monday,'13:14:53.418000
a375bb16-78df-4613-8f7f-72857430c1bc,verify_otp,application,2026-01-12 13:14:55.532000+05:30,2026-01-12,Monday,'13:14:55.532000
a375bb16-78df-4613-8f7f-72857430c1bc,_auth_verify-otp,application,2026-01-12 13:14:55.780000+05:30,2026-01-12,Monday,'13:14:55.780000
a375bb16-78df-4613-8f7f-72857430c1bc,enter_otp,application,2026-01-12 13:14:55.809000+05:30,2026-01-12,Monday,'13:14:55.809000
a375bb16-78df-4613-8f7f-72857430c1bc,User Login,system,2026-01-12 13:14:55.861000+05:30,2026-01-12,Monday,'13:14:55.861000
a375bb16-78df-4613-8f7f-72857430c1bc,login,application,2026-01-12 13:14:56.347000+05:30,2026-01-12,Monday,'13:14:56.347000
a375bb16-78df-4613-8f7f-72857430c1bc,_user,application,2026-01-12 13:14:56.402000+05:30,2026-01-12,Monday,'13:14:56.402000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_from-town,application,2026-01-12 13:14:56.717000+05:30,2026-01-12,Monday,'13:14:56.717000
a375bb16-78df-4613-8f7f-72857430c1bc,Onboarding_Profile Saved,application,2026-01-12 13:14:58.550000+05:30,2026-01-12,Monday,'13:14:58.550000
a375bb16-78df-4613-8f7f-72857430c1bc,Journey Ended,system,2026-01-12 13:15:07.728000+05:30,2026-01-12,Monday,'13:15:07.728000
a375bb16-78df-4613-8f7f-72857430c1bc,Journey Started,system,2026-01-12 13:15:07.728000+05:30,2026-01-12,Monday,'13:15:07.728000
a375bb16-78df-4613-8f7f-72857430c1bc,_user,application,2026-01-12 13:15:29.681000+05:30,2026-01-12,Monday,'13:15:29.681000
a375bb16-78df-4613-8f7f-72857430c1bc,_history_recommended-journey,application,2026-01-12 13:15:37.111000+05:30,2026-01-12,Monday,'13:15:37.111000
a375bb16-78df-4613-8f7f-72857430c1bc,_user_device,application,2026-01-12 13:15:37.142000+05:30,2026-01-12,Monday,'13:15:37.142000
a375bb16-78df-4613-8f7f-72857430c1bc,_user,application,2026-01-12 13:15:37.172000+05:30,2026-01-12,Monday,'13:15:37.172000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_from-town,application,2026-01-12 13:15:37.182000+05:30,2026-01-12,Monday,'13:15:37.182000
a375bb16-78df-4613-8f7f-72857430c1bc,_ticket,application,2026-01-12 13:15:37.233000+05:30,2026-01-12,Monday,'13:15:37.233000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_special-town-search,application,2026-01-12 13:15:37.270000+05:30,2026-01-12,Monday,'13:15:37.270000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_elastic-town-search,application,2026-01-12 13:15:44.335000+05:30,2026-01-12,Monday,'13:15:44.335000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_special-town-search,application,2026-01-12 13:16:08.856000+05:30,2026-01-12,Monday,'13:16:08.856000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_elastic-town-search,application,2026-01-12 13:16:14.568000+05:30,2026-01-12,Monday,'13:16:14.568000
a375bb16-78df-4613-8f7f-72857430c1bc,Buslist_date change,application,2026-01-12 13:16:31.729000+05:30,2026-01-12,Monday,'13:16:31.729000
a375bb16-78df-4613-8f7f-72857430c1bc,_user,application,2026-01-12 13:16:32.287000+05:30,2026-01-12,Monday,'13:16:32.287000
a375bb16-78df-4613-8f7f-72857430c1bc,pageview_bus_list,application,2026-01-12 13:16:32.335000+05:30,2026-01-12,Monday,'13:16:32.335000
a375bb16-78df-4613-8f7f-72857430c1bc,_bus-search_user-bus-search,application,2026-01-12 13:16:32.812000+05:30,2026-01-12,Monday,'13:16:32.812000
a375bb16-78df-4613-8f7f-72857430c1bc,Buslist_date change,application,2026-01-12 13:16:36.778000+05:30,2026-01-12,Monday,'13:16:36.778000
a375bb16-78df-4613-8f7f-72857430c1bc,date_change_on_bus_list,application,2026-01-12 13:16:36.838000+05:30,2026-01-12,Monday,'13:16:36.838000
a375bb16-78df-4613-8f7f-72857430c1bc,date_select,application,2026-01-12 13:16:36.875000+05:30,2026-01-12,Monday,'13:16:36.875000
a375bb16-78df-4613-8f7f-72857430c1bc,_bus-search_user-bus-search,application,2026-01-12 13:16:36.968000+05:30,2026-01-12,Monday,'13:16:36.968000
a375bb16-78df-4613-8f7f-72857430c1bc,_bus-search_list,application,2026-01-12 13:16:41.098000+05:30,2026-01-12,Monday,'13:16:41.098000
a375bb16-78df-4613-8f7f-72857430c1bc,_rewards_best-V2,application,2026-01-12 13:16:53.574000+05:30,2026-01-12,Monday,'13:16:53.574000
a375bb16-78df-4613-8f7f-72857430c1bc,bus_search,application,2026-01-12 13:16:54.025000+05:30,2026-01-12,Monday,'13:16:54.025000
a375bb16-78df-4613-8f7f-72857430c1bc,bus_result,application,2026-01-12 13:16:54.047000+05:30,2026-01-12,Monday,'13:16:54.047000
a375bb16-78df-4613-8f7f-72857430c1bc,Journey Started,system,2026-01-12 13:17:32.569000+05:30,2026-01-12,Monday,'13:17:32.569000
a375bb16-78df-4613-8f7f-72857430c1bc,Session Started,system,2026-01-12 13:18:38.696000+05:30,2026-01-12,Monday,'13:18:38.696000
a375bb16-78df-4613-8f7f-72857430c1bc,_user,application,2026-01-12 13:18:40.264000+05:30,2026-01-12,Monday,'13:18:40.264000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_from-town,application,2026-01-12 13:18:40.366000+05:30,2026-01-12,Monday,'13:18:40.366000
a375bb16-78df-4613-8f7f-72857430c1bc,_history_recommended-journey,application,2026-01-12 13:18:40.499000+05:30,2026-01-12,Monday,'13:18:40.499000
a375bb16-78df-4613-8f7f-72857430c1bc,_user,application,2026-01-12 13:18:40.533000+05:30,2026-01-12,Monday,'13:18:40.533000
a375bb16-78df-4613-8f7f-72857430c1bc,_location_special-town-search,application,2026-01-12 13:18:40.835000+05:30,2026-01-12,Monday,'13:18:40.835000
