user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,DeviceInfo,application,2026-01-01 15:15:13.926000+05:30,2026-01-01,Thursday,'15:15:13.926000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Session Started,system,2026-01-01 15:15:14.655000+05:30,2026-01-01,Thursday,'15:15:14.655000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,App Installed,system,2026-01-01 15:15:14.921000+05:30,2026-01-01,Thursday,'15:15:14.921000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Push Subscribe Process - Device Registered (Push),system,2026-01-01 15:15:15.234000+05:30,2026-01-01,Thursday,'15:15:15.234000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:15:16.342000+05:30,2026-01-01,Thursday,'15:15:16.342000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,app_start,application,2026-01-01 15:15:17.266000+05:30,2026-01-01,Thursday,'15:15:17.266000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,choose_language,application,2026-01-01 15:15:24.777000+05:30,2026-01-01,Thursday,'15:15:24.777000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_Language,application,2026-01-01 15:15:24.881000+05:30,2026-01-01,Thursday,'15:15:24.881000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,choose_language,application,2026-01-01 15:15:25.121000+05:30,2026-01-01,Thursday,'15:15:25.121000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_Language,application,2026-01-01 15:15:25.387000+05:30,2026-01-01,Thursday,'15:15:25.387000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,choose_language,application,2026-01-01 15:15:25.487000+05:30,2026-01-01,Thursday,'15:15:25.487000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_Language,application,2026-01-01 15:15:25.566000+05:30,2026-01-01,Thursday,'15:15:25.566000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:15:25.681000+05:30,2026-01-01,Thursday,'15:15:25.681000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Ended,system,2026-01-01 15:15:25.681000+05:30,2026-01-01,Thursday,'15:15:25.681000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:15:25.694000+05:30,2026-01-01,Thursday,'15:15:25.694000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Ended,system,2026-01-01 15:15:25.694000+05:30,2026-01-01,Thursday,'15:15:25.694000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,choose_language,application,2026-01-01 15:15:25.807000+05:30,2026-01-01,Thursday,'15:15:25.807000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_Language,application,2026-01-01 15:15:25.841000+05:30,2026-01-01,Thursday,'15:15:25.841000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,choose_language,application,2026-01-01 15:15:25.968000+05:30,2026-01-01,Thursday,'15:15:25.968000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_Language,application,2026-01-01 15:15:26.010000+05:30,2026-01-01,Thursday,'15:15:26.010000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Ended,system,2026-01-01 15:15:26.058000+05:30,2026-01-01,Thursday,'15:15:26.058000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:15:26.058000+05:30,2026-01-01,Thursday,'15:15:26.058000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Ended,system,2026-01-01 15:15:26.064000+05:30,2026-01-01,Thursday,'15:15:26.064000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:15:26.064000+05:30,2026-01-01,Thursday,'15:15:26.064000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,choose_language,application,2026-01-01 15:15:26.143000+05:30,2026-01-01,Thursday,'15:15:26.143000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_Language,application,2026-01-01 15:15:26.209000+05:30,2026-01-01,Thursday,'15:15:26.209000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,generate_otp,application,2026-01-01 15:15:42.949000+05:30,2026-01-01,Thursday,'15:15:42.949000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_get_otp,application,2026-01-01 15:15:43.037000+05:30,2026-01-01,Thursday,'15:15:43.037000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:15:43.444000+05:30,2026-01-01,Thursday,'15:15:43.444000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Ended,system,2026-01-01 15:15:43.444000+05:30,2026-01-01,Thursday,'15:15:43.444000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:15:43.461000+05:30,2026-01-01,Thursday,'15:15:43.461000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Ended,system,2026-01-01 15:15:43.461000+05:30,2026-01-01,Thursday,'15:15:43.461000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_auth_generate-otp,application,2026-01-01 15:15:44.872000+05:30,2026-01-01,Thursday,'15:15:44.872000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,get_otp,application,2026-01-01 15:15:44.886000+05:30,2026-01-01,Thursday,'15:15:44.886000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_signup_,application,2026-01-01 15:15:45.038000+05:30,2026-01-01,Thursday,'15:15:45.038000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,verify_otp,application,2026-01-01 15:15:49.062000+05:30,2026-01-01,Thursday,'15:15:49.062000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_auth_verify-otp,application,2026-01-01 15:15:49.632000+05:30,2026-01-01,Thursday,'15:15:49.632000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,enter_otp,application,2026-01-01 15:15:49.681000+05:30,2026-01-01,Thursday,'15:15:49.681000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,User Login,system,2026-01-01 15:15:49.907000+05:30,2026-01-01,Thursday,'15:15:49.907000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,login,application,2026-01-01 15:15:50.415000+05:30,2026-01-01,Thursday,'15:15:50.415000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_user,application,2026-01-01 15:15:50.530000+05:30,2026-01-01,Thursday,'15:15:50.530000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_location_from-town,application,2026-01-01 15:15:51.110000+05:30,2026-01-01,Thursday,'15:15:51.110000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Onboarding_Profile Saved,application,2026-01-01 15:15:53.535000+05:30,2026-01-01,Thursday,'15:15:53.535000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_user,application,2026-01-01 15:16:05.740000+05:30,2026-01-01,Thursday,'15:16:05.740000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_location_from-town,application,2026-01-01 15:16:10.509000+05:30,2026-01-01,Thursday,'15:16:10.509000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_history_recommended-journey,application,2026-01-01 15:16:10.532000+05:30,2026-01-01,Thursday,'15:16:10.532000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_user_device,application,2026-01-01 15:16:10.651000+05:30,2026-01-01,Thursday,'15:16:10.651000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_user,application,2026-01-01 15:16:10.672000+05:30,2026-01-01,Thursday,'15:16:10.672000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_location_special-town-search,application,2026-01-01 15:16:10.761000+05:30,2026-01-01,Thursday,'15:16:10.761000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_ticket,application,2026-01-01 15:16:11.193000+05:30,2026-01-01,Thursday,'15:16:11.193000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_location_special-town-search,application,2026-01-01 15:16:17.265000+05:30,2026-01-01,Thursday,'15:16:17.265000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_location_elastic-town-search,application,2026-01-01 15:16:17.426000+05:30,2026-01-01,Thursday,'15:16:17.426000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_location_special-town-search,application,2026-01-01 15:16:46.227000+05:30,2026-01-01,Thursday,'15:16:46.227000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_location_elastic-town-search,application,2026-01-01 15:16:56.438000+05:30,2026-01-01,Thursday,'15:16:56.438000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Buslist_date change,application,2026-01-01 15:17:04.396000+05:30,2026-01-01,Thursday,'15:17:04.396000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_user,application,2026-01-01 15:17:05.375000+05:30,2026-01-01,Thursday,'15:17:05.375000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_bus-search_user-bus-search,application,2026-01-01 15:17:05.446000+05:30,2026-01-01,Thursday,'15:17:05.446000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,pageview_bus_list,application,2026-01-01 15:17:05.471000+05:30,2026-01-01,Thursday,'15:17:05.471000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_bus-search_list,application,2026-01-01 15:17:07.793000+05:30,2026-01-01,Thursday,'15:17:07.793000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,_rewards_best-V2,application,2026-01-01 15:17:08.496000+05:30,2026-01-01,Thursday,'15:17:08.496000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Buslist_date change,application,2026-01-01 15:17:08.525000+05:30,2026-01-01,Thursday,'15:17:08.525000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,bus_search,application,2026-01-01 15:17:08.799000+05:30,2026-01-01,Thursday,'15:17:08.799000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,bus_result,application,2026-01-01 15:17:08.818000+05:30,2026-01-01,Thursday,'15:17:08.818000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Started,system,2026-01-01 15:17:44.573000+05:30,2026-01-01,Thursday,'15:17:44.573000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Push Failure,system,2026-01-01 15:33:01.452000+05:30,2026-01-01,Thursday,'15:33:01.452000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Journey Ended,system,2026-01-01 21:33:29.267000+05:30,2026-01-01,Thursday,'21:33:29.267000
a3a37ea1-50c0-4d23-9d11-d23948e1d39e,Push Failure,system,2026-01-02 15:15:43.336000+05:30,2026-01-02,Friday,'15:15:43.336000
