user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a6920e87-f7c3-4e75-89c3-310d731a4e6e,DeviceInfo,application,2026-01-10 12:24:11.744000+05:30,2026-01-10,Saturday,'12:24:11.744000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Session Started,system,2026-01-10 12:24:18.445000+05:30,2026-01-10,Saturday,'12:24:18.445000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,App Installed,system,2026-01-10 12:24:18.522000+05:30,2026-01-10,Saturday,'12:24:18.522000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Push Subscribe Process - Device Registered (Push),system,2026-01-10 12:24:18.690000+05:30,2026-01-10,Saturday,'12:24:18.690000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Journey Started,system,2026-01-10 12:24:20.869000+05:30,2026-01-10,Saturday,'12:24:20.869000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,choose_language,application,2026-01-10 12:24:54.785000+05:30,2026-01-10,Saturday,'12:24:54.785000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Onboarding_Language,application,2026-01-10 12:24:54.798000+05:30,2026-01-10,Saturday,'12:24:54.798000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,generate_otp,application,2026-01-10 12:25:05.163000+05:30,2026-01-10,Saturday,'12:25:05.163000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Onboarding_get_otp,application,2026-01-10 12:25:05.199000+05:30,2026-01-10,Saturday,'12:25:05.199000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_auth_generate-otp,application,2026-01-10 12:25:07.616000+05:30,2026-01-10,Saturday,'12:25:07.616000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,get_otp,application,2026-01-10 12:25:07.637000+05:30,2026-01-10,Saturday,'12:25:07.637000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Onboarding_signup_,application,2026-01-10 12:25:07.661000+05:30,2026-01-10,Saturday,'12:25:07.661000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Journey Started,system,2026-01-10 12:25:08.400000+05:30,2026-01-10,Saturday,'12:25:08.400000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Journey Ended,system,2026-01-10 12:25:08.401000+05:30,2026-01-10,Saturday,'12:25:08.401000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,verify_otp,application,2026-01-10 12:25:09.859000+05:30,2026-01-10,Saturday,'12:25:09.859000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_auth_verify-otp,application,2026-01-10 12:25:10.489000+05:30,2026-01-10,Saturday,'12:25:10.489000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,enter_otp,application,2026-01-10 12:25:10.515000+05:30,2026-01-10,Saturday,'12:25:10.515000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,User Login,system,2026-01-10 12:25:10.554000+05:30,2026-01-10,Saturday,'12:25:10.554000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,login,application,2026-01-10 12:25:13.618000+05:30,2026-01-10,Saturday,'12:25:13.618000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_user,application,2026-01-10 12:25:13.628000+05:30,2026-01-10,Saturday,'12:25:13.628000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_location_from-town,application,2026-01-10 12:25:14.370000+05:30,2026-01-10,Saturday,'12:25:14.370000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Onboarding_Profile Saved,application,2026-01-10 12:26:39.489000+05:30,2026-01-10,Saturday,'12:26:39.489000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_user,application,2026-01-10 12:26:41.262000+05:30,2026-01-10,Saturday,'12:26:41.262000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_history_recommended-journey,application,2026-01-10 12:26:56.672000+05:30,2026-01-10,Saturday,'12:26:56.672000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_user_device,application,2026-01-10 12:26:56.680000+05:30,2026-01-10,Saturday,'12:26:56.680000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_location_from-town,application,2026-01-10 12:26:56.688000+05:30,2026-01-10,Saturday,'12:26:56.688000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_user,application,2026-01-10 12:26:56.696000+05:30,2026-01-10,Saturday,'12:26:56.696000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_location_special-town-search,application,2026-01-10 12:26:56.744000+05:30,2026-01-10,Saturday,'12:26:56.744000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_ticket,application,2026-01-10 12:26:56.808000+05:30,2026-01-10,Saturday,'12:26:56.808000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_location_special-town-search,application,2026-01-10 12:27:11.401000+05:30,2026-01-10,Saturday,'12:27:11.401000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,_location_elastic-town-search,application,2026-01-10 12:27:11.735000+05:30,2026-01-10,Saturday,'12:27:11.735000
a6920e87-f7c3-4e75-89c3-310d731a4e6e,Push Failure,system,2026-01-11 12:24:49.402000+05:30,2026-01-11,Sunday,'12:24:49.402000
