user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a7b13106-4391-4d0e-abb4-eafdd8320d0b,App Installed,system,2026-01-16 08:49:58.997000+05:30,2026-01-16,Friday,'08:49:58.997000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_bus_selection,application,2026-01-16 08:56:11.780000+05:30,2026-01-16,Friday,'08:56:11.780000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_bus_selection,application,2026-01-16 08:58:16.022000+05:30,2026-01-16,Friday,'08:58:16.022000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_bus_selection,application,2026-01-16 08:58:23.473000+05:30,2026-01-16,Friday,'08:58:23.473000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:51:35.288000+05:30,2026-01-16,Friday,'08:51:35.288000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:51:40.367000+05:30,2026-01-16,Friday,'08:51:40.367000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:52:38.553000+05:30,2026-01-16,Friday,'08:52:38.553000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:52:40.010000+05:30,2026-01-16,Friday,'08:52:40.010000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:53:08.689000+05:30,2026-01-16,Friday,'08:53:08.689000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:53:13.220000+05:30,2026-01-16,Friday,'08:53:13.220000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:53:37.250000+05:30,2026-01-16,Friday,'08:53:37.250000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:53:39.235000+05:30,2026-01-16,Friday,'08:53:39.235000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:53:50.214000+05:30,2026-01-16,Friday,'08:53:50.214000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:53:51.518000+05:30,2026-01-16,Friday,'08:53:51.518000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:54:02.110000+05:30,2026-01-16,Friday,'08:54:02.110000
a7b13106-4391-4d0e-abb4-eafdd8320d0b,Buslist_date change,application,2026-01-16 08:54:03.757000+05:30,2026-01-16,Friday,'08:54:03.757000
