user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a951b740-e678-4abb-a03f-8a70748befca,DeviceInfo,application,2026-01-10 12:47:00.518000+05:30,2026-01-10,Saturday,'12:47:00.518000
a951b740-e678-4abb-a03f-8a70748befca,Session Started,system,2026-01-10 12:47:01.357000+05:30,2026-01-10,Saturday,'12:47:01.357000
a951b740-e678-4abb-a03f-8a70748befca,App Installed,system,2026-01-10 12:47:01.380000+05:30,2026-01-10,Saturday,'12:47:01.380000
a951b740-e678-4abb-a03f-8a70748befca,Journey Started,system,2026-01-10 12:47:02.404000+05:30,2026-01-10,Saturday,'12:47:02.404000
a951b740-e678-4abb-a03f-8a70748befca,app_start,application,2026-01-10 12:47:02.561000+05:30,2026-01-10,Saturday,'12:47:02.561000
a951b740-e678-4abb-a03f-8a70748befca,Push Subscribe Process - Device Registered (Push),system,2026-01-10 12:47:03.383000+05:30,2026-01-10,Saturday,'12:47:03.383000
a951b740-e678-4abb-a03f-8a70748befca,choose_language,application,2026-01-10 12:47:04.367000+05:30,2026-01-10,Saturday,'12:47:04.367000
a951b740-e678-4abb-a03f-8a70748befca,Onboarding_Language,application,2026-01-10 12:47:04.395000+05:30,2026-01-10,Saturday,'12:47:04.395000
a951b740-e678-4abb-a03f-8a70748befca,generate_otp,application,2026-01-10 12:47:13.787000+05:30,2026-01-10,Saturday,'12:47:13.787000
a951b740-e678-4abb-a03f-8a70748befca,Onboarding_get_otp,application,2026-01-10 12:47:13.806000+05:30,2026-01-10,Saturday,'12:47:13.806000
a951b740-e678-4abb-a03f-8a70748befca,_auth_generate-otp,application,2026-01-10 12:47:14.767000+05:30,2026-01-10,Saturday,'12:47:14.767000
a951b740-e678-4abb-a03f-8a70748befca,get_otp,application,2026-01-10 12:47:14.781000+05:30,2026-01-10,Saturday,'12:47:14.781000
a951b740-e678-4abb-a03f-8a70748befca,Onboarding_signup_,application,2026-01-10 12:47:14.794000+05:30,2026-01-10,Saturday,'12:47:14.794000
a951b740-e678-4abb-a03f-8a70748befca,Journey Ended,system,2026-01-10 12:47:15.013000+05:30,2026-01-10,Saturday,'12:47:15.013000
a951b740-e678-4abb-a03f-8a70748befca,Journey Started,system,2026-01-10 12:47:15.013000+05:30,2026-01-10,Saturday,'12:47:15.013000
a951b740-e678-4abb-a03f-8a70748befca,verify_otp,application,2026-01-10 12:47:19.393000+05:30,2026-01-10,Saturday,'12:47:19.393000
a951b740-e678-4abb-a03f-8a70748befca,_auth_verify-otp,application,2026-01-10 12:47:19.657000+05:30,2026-01-10,Saturday,'12:47:19.657000
a951b740-e678-4abb-a03f-8a70748befca,enter_otp,application,2026-01-10 12:47:19.676000+05:30,2026-01-10,Saturday,'12:47:19.676000
a951b740-e678-4abb-a03f-8a70748befca,User Login,system,2026-01-10 12:47:19.688000+05:30,2026-01-10,Saturday,'12:47:19.688000
a951b740-e678-4abb-a03f-8a70748befca,login,application,2026-01-10 12:47:20.153000+05:30,2026-01-10,Saturday,'12:47:20.153000
a951b740-e678-4abb-a03f-8a70748befca,_user,application,2026-01-10 12:47:20.163000+05:30,2026-01-10,Saturday,'12:47:20.163000
a951b740-e678-4abb-a03f-8a70748befca,_location_from-town,application,2026-01-10 12:47:20.579000+05:30,2026-01-10,Saturday,'12:47:20.579000
a951b740-e678-4abb-a03f-8a70748befca,Onboarding_Profile Saved,application,2026-01-10 12:47:21.486000+05:30,2026-01-10,Saturday,'12:47:21.486000
a951b740-e678-4abb-a03f-8a70748befca,_user,application,2026-01-10 12:47:28.867000+05:30,2026-01-10,Saturday,'12:47:28.867000
a951b740-e678-4abb-a03f-8a70748befca,_location_from-town,application,2026-01-10 12:47:32.577000+05:30,2026-01-10,Saturday,'12:47:32.577000
a951b740-e678-4abb-a03f-8a70748befca,_history_recommended-journey,application,2026-01-10 12:47:32.875000+05:30,2026-01-10,Saturday,'12:47:32.875000
