user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a9b160e6-802b-4101-8d8b-31a15cde1fc8,DeviceInfo,application,2026-01-09 07:39:18.795000+05:30,2026-01-09,Friday,'07:39:18.795000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Session Started,system,2026-01-09 07:39:19.061000+05:30,2026-01-09,Friday,'07:39:19.061000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,App Installed,system,2026-01-09 07:39:19.105000+05:30,2026-01-09,Friday,'07:39:19.105000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,app_start,application,2026-01-09 07:39:19.887000+05:30,2026-01-09,Friday,'07:39:19.887000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Journey Started,system,2026-01-09 07:39:20.077000+05:30,2026-01-09,Friday,'07:39:20.077000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Push Subscribe Process - Device Registered (Push),system,2026-01-09 07:39:20.837000+05:30,2026-01-09,Friday,'07:39:20.837000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,choose_language,application,2026-01-09 07:39:37.637000+05:30,2026-01-09,Friday,'07:39:37.637000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Onboarding_Language,application,2026-01-09 07:39:37.681000+05:30,2026-01-09,Friday,'07:39:37.681000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,generate_otp,application,2026-01-09 07:39:57.237000+05:30,2026-01-09,Friday,'07:39:57.237000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Onboarding_get_otp,application,2026-01-09 07:39:57.252000+05:30,2026-01-09,Friday,'07:39:57.252000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_auth_generate-otp,application,2026-01-09 07:39:58.057000+05:30,2026-01-09,Friday,'07:39:58.057000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,get_otp,application,2026-01-09 07:39:58.080000+05:30,2026-01-09,Friday,'07:39:58.080000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Onboarding_signup_,application,2026-01-09 07:39:58.104000+05:30,2026-01-09,Friday,'07:39:58.104000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Journey Ended,system,2026-01-09 07:39:58.323000+05:30,2026-01-09,Friday,'07:39:58.323000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Journey Started,system,2026-01-09 07:39:58.323000+05:30,2026-01-09,Friday,'07:39:58.323000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,verify_otp,application,2026-01-09 07:40:02.786000+05:30,2026-01-09,Friday,'07:40:02.786000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_auth_verify-otp,application,2026-01-09 07:40:03.165000+05:30,2026-01-09,Friday,'07:40:03.165000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,enter_otp,application,2026-01-09 07:40:03.200000+05:30,2026-01-09,Friday,'07:40:03.200000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,User Login,system,2026-01-09 07:40:03.242000+05:30,2026-01-09,Friday,'07:40:03.242000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,login,application,2026-01-09 07:40:03.455000+05:30,2026-01-09,Friday,'07:40:03.455000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_user,application,2026-01-09 07:40:03.515000+05:30,2026-01-09,Friday,'07:40:03.515000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_from-town,application,2026-01-09 07:40:04.118000+05:30,2026-01-09,Friday,'07:40:04.118000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Onboarding_Profile Saved,application,2026-01-09 07:40:04.904000+05:30,2026-01-09,Friday,'07:40:04.904000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_user,application,2026-01-09 07:40:15.905000+05:30,2026-01-09,Friday,'07:40:15.905000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_history_recommended-journey,application,2026-01-09 07:40:18.602000+05:30,2026-01-09,Friday,'07:40:18.602000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_from-town,application,2026-01-09 07:40:18.694000+05:30,2026-01-09,Friday,'07:40:18.694000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_user_device,application,2026-01-09 07:40:18.709000+05:30,2026-01-09,Friday,'07:40:18.709000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_user,application,2026-01-09 07:40:18.740000+05:30,2026-01-09,Friday,'07:40:18.740000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_special-town-search,application,2026-01-09 07:40:18.945000+05:30,2026-01-09,Friday,'07:40:18.945000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_ticket,application,2026-01-09 07:40:19.083000+05:30,2026-01-09,Friday,'07:40:19.083000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Session Started,system,2026-01-09 07:41:22.985000+05:30,2026-01-09,Friday,'07:41:22.985000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_special-town-search,application,2026-01-09 07:41:23.864000+05:30,2026-01-09,Friday,'07:41:23.864000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_elastic-town-search,application,2026-01-09 07:41:24.044000+05:30,2026-01-09,Friday,'07:41:24.044000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_special-town-search,application,2026-01-09 07:41:37.642000+05:30,2026-01-09,Friday,'07:41:37.642000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_elastic-town-search,application,2026-01-09 07:41:40.709000+05:30,2026-01-09,Friday,'07:41:40.709000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_special-town-search,application,2026-01-09 07:41:44.296000+05:30,2026-01-09,Friday,'07:41:44.296000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_location_elastic-town-search,application,2026-01-09 07:41:44.473000+05:30,2026-01-09,Friday,'07:41:44.473000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Buslist_date change,application,2026-01-09 07:42:19.168000+05:30,2026-01-09,Friday,'07:42:19.168000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_user,application,2026-01-09 07:42:19.661000+05:30,2026-01-09,Friday,'07:42:19.661000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,pageview_bus_list,application,2026-01-09 07:42:19.683000+05:30,2026-01-09,Friday,'07:42:19.683000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_bus-search_user-bus-search,application,2026-01-09 07:42:20.019000+05:30,2026-01-09,Friday,'07:42:20.019000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_bus-search_list,application,2026-01-09 07:42:24.890000+05:30,2026-01-09,Friday,'07:42:24.890000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,_rewards_best-V2,application,2026-01-09 07:42:25.441000+05:30,2026-01-09,Friday,'07:42:25.441000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,Buslist_date change,application,2026-01-09 07:42:25.455000+05:30,2026-01-09,Friday,'07:42:25.455000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,bus_search,application,2026-01-09 07:42:25.693000+05:30,2026-01-09,Friday,'07:42:25.693000
a9b160e6-802b-4101-8d8b-31a15cde1fc8,bus_result,application,2026-01-09 07:42:25.702000+05:30,2026-01-09,Friday,'07:42:25.702000
