user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
aa710c2e-6821-4044-b6da-48977b982c55,DeviceInfo,application,2026-01-06 11:16:52.166000+05:30,2026-01-06,Tuesday,'11:16:52.166000
aa710c2e-6821-4044-b6da-48977b982c55,Session Started,system,2026-01-06 11:16:52.493000+05:30,2026-01-06,Tuesday,'11:16:52.493000
aa710c2e-6821-4044-b6da-48977b982c55,App Installed,system,2026-01-06 11:16:52.541000+05:30,2026-01-06,Tuesday,'11:16:52.541000
aa710c2e-6821-4044-b6da-48977b982c55,Push Subscribe Process - Device Registered (Push),system,2026-01-06 11:16:52.578000+05:30,2026-01-06,Tuesday,'11:16:52.578000
aa710c2e-6821-4044-b6da-48977b982c55,app_start,application,2026-01-06 11:16:53.483000+05:30,2026-01-06,Tuesday,'11:16:53.483000
aa710c2e-6821-4044-b6da-48977b982c55,Journey Started,system,2026-01-06 11:16:54.287000+05:30,2026-01-06,Tuesday,'11:16:54.287000
aa710c2e-6821-4044-b6da-48977b982c55,choose_language,application,2026-01-06 11:16:56.257000+05:30,2026-01-06,Tuesday,'11:16:56.257000
aa710c2e-6821-4044-b6da-48977b982c55,Onboarding_Language,application,2026-01-06 11:16:56.281000+05:30,2026-01-06,Tuesday,'11:16:56.281000
aa710c2e-6821-4044-b6da-48977b982c55,generate_otp,application,2026-01-06 11:17:12.748000+05:30,2026-01-06,Tuesday,'11:17:12.748000
aa710c2e-6821-4044-b6da-48977b982c55,Onboarding_get_otp,application,2026-01-06 11:17:12.778000+05:30,2026-01-06,Tuesday,'11:17:12.778000
aa710c2e-6821-4044-b6da-48977b982c55,Journey Ended,system,2026-01-06 11:17:13.690000+05:30,2026-01-06,Tuesday,'11:17:13.690000
aa710c2e-6821-4044-b6da-48977b982c55,Journey Started,system,2026-01-06 11:17:13.690000+05:30,2026-01-06,Tuesday,'11:17:13.690000
aa710c2e-6821-4044-b6da-48977b982c55,_auth_generate-otp,application,2026-01-06 11:17:14.037000+05:30,2026-01-06,Tuesday,'11:17:14.037000
aa710c2e-6821-4044-b6da-48977b982c55,get_otp,application,2026-01-06 11:17:14.065000+05:30,2026-01-06,Tuesday,'11:17:14.065000
