user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ab4a3b20-8963-4625-9a3d-a0945f3d7076,DeviceInfo,application,2026-01-09 15:46:25.424000+05:30,2026-01-09,Friday,'15:46:25.424000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Session Started,system,2026-01-09 15:46:25.665000+05:30,2026-01-09,Friday,'15:46:25.665000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,App Installed,system,2026-01-09 15:46:25.688000+05:30,2026-01-09,Friday,'15:46:25.688000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Journey Started,system,2026-01-09 15:46:25.919000+05:30,2026-01-09,Friday,'15:46:25.919000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,app_start,application,2026-01-09 15:46:26.470000+05:30,2026-01-09,Friday,'15:46:26.470000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Push Subscribe Process - Device Registered (Push),system,2026-01-09 15:46:27.163000+05:30,2026-01-09,Friday,'15:46:27.163000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,choose_language,application,2026-01-09 15:46:29.822000+05:30,2026-01-09,Friday,'15:46:29.822000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Onboarding_Language,application,2026-01-09 15:46:29.837000+05:30,2026-01-09,Friday,'15:46:29.837000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,generate_otp,application,2026-01-09 15:46:35.926000+05:30,2026-01-09,Friday,'15:46:35.926000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Onboarding_get_otp,application,2026-01-09 15:46:35.938000+05:30,2026-01-09,Friday,'15:46:35.938000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Journey Started,system,2026-01-09 15:46:36.285000+05:30,2026-01-09,Friday,'15:46:36.285000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Journey Ended,system,2026-01-09 15:46:36.286000+05:30,2026-01-09,Friday,'15:46:36.286000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_auth_generate-otp,application,2026-01-09 15:46:36.930000+05:30,2026-01-09,Friday,'15:46:36.930000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,get_otp,application,2026-01-09 15:46:36.943000+05:30,2026-01-09,Friday,'15:46:36.943000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Onboarding_signup_,application,2026-01-09 15:46:36.963000+05:30,2026-01-09,Friday,'15:46:36.963000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,verify_otp,application,2026-01-09 15:46:39.283000+05:30,2026-01-09,Friday,'15:46:39.283000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_auth_verify-otp,application,2026-01-09 15:46:39.510000+05:30,2026-01-09,Friday,'15:46:39.510000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,enter_otp,application,2026-01-09 15:46:39.531000+05:30,2026-01-09,Friday,'15:46:39.531000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,User Login,system,2026-01-09 15:46:39.563000+05:30,2026-01-09,Friday,'15:46:39.563000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,login,application,2026-01-09 15:46:39.865000+05:30,2026-01-09,Friday,'15:46:39.865000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_user,application,2026-01-09 15:46:39.893000+05:30,2026-01-09,Friday,'15:46:39.893000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_location_from-town,application,2026-01-09 15:46:40.416000+05:30,2026-01-09,Friday,'15:46:40.416000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Onboarding_Profile Saved,application,2026-01-09 15:46:41.042000+05:30,2026-01-09,Friday,'15:46:41.042000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_user,application,2026-01-09 15:46:57.574000+05:30,2026-01-09,Friday,'15:46:57.574000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_history_recommended-journey,application,2026-01-09 15:46:59.137000+05:30,2026-01-09,Friday,'15:46:59.137000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_user_device,application,2026-01-09 15:46:59.148000+05:30,2026-01-09,Friday,'15:46:59.148000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_location_from-town,application,2026-01-09 15:46:59.174000+05:30,2026-01-09,Friday,'15:46:59.174000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_ticket,application,2026-01-09 15:46:59.318000+05:30,2026-01-09,Friday,'15:46:59.318000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_location_special-town-search,application,2026-01-09 15:46:59.456000+05:30,2026-01-09,Friday,'15:46:59.456000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_location_elastic-town-search,application,2026-01-09 15:47:04.607000+05:30,2026-01-09,Friday,'15:47:04.607000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_location_special-town-search,application,2026-01-09 15:47:20.610000+05:30,2026-01-09,Friday,'15:47:20.610000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,_location_elastic-town-search,application,2026-01-09 15:47:38.371000+05:30,2026-01-09,Friday,'15:47:38.371000
ab4a3b20-8963-4625-9a3d-a0945f3d7076,Push Failure,system,2026-01-10 15:46:47.399000+05:30,2026-01-10,Saturday,'15:46:47.399000
