user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
aba4973d-e6d2-405f-b33c-b3b0662decc0,App Installed,system,2026-01-08 17:03:50.169000+05:30,2026-01-08,Thursday,'17:03:50.169000
aba4973d-e6d2-405f-b33c-b3b0662decc0,DeviceInfo,application,2026-01-08 17:03:50.026000+05:30,2026-01-08,Thursday,'17:03:50.026000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Journey Ended,system,2026-01-08 17:04:02.835000+05:30,2026-01-08,Thursday,'17:04:02.835000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Journey Started,system,2026-01-08 17:03:50.194000+05:30,2026-01-08,Thursday,'17:03:50.194000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Journey Started,system,2026-01-08 17:04:02.835000+05:30,2026-01-08,Thursday,'17:04:02.835000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Onboarding_Language,application,2026-01-08 17:03:53.001000+05:30,2026-01-08,Thursday,'17:03:53.001000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Onboarding_Profile Saved,application,2026-01-08 17:04:08.280000+05:30,2026-01-08,Thursday,'17:04:08.280000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Onboarding_get_otp,application,2026-01-08 17:04:02.696000+05:30,2026-01-08,Thursday,'17:04:02.696000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Onboarding_signup_,application,2026-01-08 17:04:03.603000+05:30,2026-01-08,Thursday,'17:04:03.603000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Push Failure,system,2026-01-09 17:04:03.012000+05:30,2026-01-09,Friday,'17:04:03.012000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Push Failure,system,2026-01-10 17:04:20.368000+05:30,2026-01-10,Saturday,'17:04:20.368000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Push Failure,system,2026-01-11 17:04:45.369000+05:30,2026-01-11,Sunday,'17:04:45.369000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Push Failure,system,2026-01-12 17:05:14.887000+05:30,2026-01-12,Monday,'17:05:14.887000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Push Failure,system,2026-01-13 17:05:45.578000+05:30,2026-01-13,Tuesday,'17:05:45.578000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Push Failure,system,2026-01-15 17:06:09.555000+05:30,2026-01-15,Thursday,'17:06:09.555000
aba4973d-e6d2-405f-b33c-b3b0662decc0,Push Failure,system,2026-01-17 17:06:24.519000+05:30,2026-01-17,Saturday,'17:06:24.519000
