user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,App Installed,system,2026-01-15 20:59:24.752000+05:30,2026-01-15,Thursday,'20:59:24.752000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,DeviceInfo,application,2026-01-15 20:59:24.300000+05:30,2026-01-15,Thursday,'20:59:24.300000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Journey Ended,system,2026-01-15 20:59:48.594000+05:30,2026-01-15,Thursday,'20:59:48.594000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Journey Started,system,2026-01-15 20:59:24.810000+05:30,2026-01-15,Thursday,'20:59:24.810000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Journey Started,system,2026-01-15 20:59:48.593000+05:30,2026-01-15,Thursday,'20:59:48.593000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Onboarding_Language,application,2026-01-15 20:59:32.491000+05:30,2026-01-15,Thursday,'20:59:32.491000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Onboarding_Profile Saved,application,2026-01-15 20:59:54.369000+05:30,2026-01-15,Thursday,'20:59:54.369000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Onboarding_backpressed,application,2026-01-15 21:09:56.514000+05:30,2026-01-15,Thursday,'21:09:56.514000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Onboarding_get_otp,application,2026-01-15 20:59:48.209000+05:30,2026-01-15,Thursday,'20:59:48.209000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Onboarding_signup_,application,2026-01-15 20:59:49.198000+05:30,2026-01-15,Thursday,'20:59:49.198000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Push Failure,system,2026-01-16 20:59:49.079000+05:30,2026-01-16,Friday,'20:59:49.079000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Push Failure,system,2026-01-17 21:00:12.984000+05:30,2026-01-17,Saturday,'21:00:12.984000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Push Failure,system,2026-01-18 21:00:43.946000+05:30,2026-01-18,Sunday,'21:00:43.946000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Push Failure,system,2026-01-19 21:00:51.416000+05:30,2026-01-19,Monday,'21:00:51.416000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Push Subscribe Process - Device Registered (Push),system,2026-01-15 20:59:26.745000+05:30,2026-01-15,Thursday,'20:59:26.745000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Session Started,system,2026-01-15 20:59:24.733000+05:30,2026-01-15,Thursday,'20:59:24.733000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Session Started,system,2026-01-15 21:07:52.492000+05:30,2026-01-15,Thursday,'21:07:52.492000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Session Started,system,2026-01-15 21:10:46.499000+05:30,2026-01-15,Thursday,'21:10:46.499000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,Session Started,system,2026-01-15 21:14:39.817000+05:30,2026-01-15,Thursday,'21:14:39.817000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,User Login,system,2026-01-15 20:59:52.293000+05:30,2026-01-15,Thursday,'20:59:52.293000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_auth_generate-otp,application,2026-01-15 20:59:49.165000+05:30,2026-01-15,Thursday,'20:59:49.165000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_auth_verify-otp,application,2026-01-15 20:59:52.244000+05:30,2026-01-15,Thursday,'20:59:52.244000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_history_recommended-journey,application,2026-01-15 21:10:47.771000+05:30,2026-01-15,Thursday,'21:10:47.771000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_history_recommended-journey,application,2026-01-15 21:14:56.464000+05:30,2026-01-15,Thursday,'21:14:56.464000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:12.018000+05:30,2026-01-15,Thursday,'21:11:12.018000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:24.318000+05:30,2026-01-15,Thursday,'21:11:24.318000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:24.571000+05:30,2026-01-15,Thursday,'21:11:24.571000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:37.502000+05:30,2026-01-15,Thursday,'21:11:37.502000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:37.707000+05:30,2026-01-15,Thursday,'21:11:37.707000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:38.899000+05:30,2026-01-15,Thursday,'21:11:38.899000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:39.133000+05:30,2026-01-15,Thursday,'21:11:39.133000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:40.379000+05:30,2026-01-15,Thursday,'21:11:40.379000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:11:40.583000+05:30,2026-01-15,Thursday,'21:11:40.583000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:03.858000+05:30,2026-01-15,Thursday,'21:12:03.858000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:04.253000+05:30,2026-01-15,Thursday,'21:12:04.253000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:05.572000+05:30,2026-01-15,Thursday,'21:12:05.572000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:05.977000+05:30,2026-01-15,Thursday,'21:12:05.977000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:08.652000+05:30,2026-01-15,Thursday,'21:12:08.652000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:09.057000+05:30,2026-01-15,Thursday,'21:12:09.057000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:42.428000+05:30,2026-01-15,Thursday,'21:12:42.428000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:42.579000+05:30,2026-01-15,Thursday,'21:12:42.579000
abe8e5f1-a553-4b85-b69b-c7bee1f14e32,_location_elastic-town-search,application,2026-01-15 21:12:43.472000+05:30,2026-01-15,Thursday,'21:12:43.472000
