user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,DeviceInfo,application,2026-01-06 15:54:50.001000+05:30,2026-01-06,Tuesday,'15:54:50.001000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Session Started,system,2026-01-06 15:54:50.676000+05:30,2026-01-06,Tuesday,'15:54:50.676000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,App Installed,system,2026-01-06 15:54:50.718000+05:30,2026-01-06,Tuesday,'15:54:50.718000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Journey Started,system,2026-01-06 15:54:51.723000+05:30,2026-01-06,Tuesday,'15:54:51.723000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Push Subscribe Process - Device Registered (Push),system,2026-01-06 15:54:52.010000+05:30,2026-01-06,Tuesday,'15:54:52.010000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Session Started,system,2026-01-06 15:55:02.003000+05:30,2026-01-06,Tuesday,'15:55:02.003000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,choose_language,application,2026-01-06 15:55:08.022000+05:30,2026-01-06,Tuesday,'15:55:08.022000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Onboarding_Language,application,2026-01-06 15:55:08.046000+05:30,2026-01-06,Tuesday,'15:55:08.046000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,generate_otp,application,2026-01-06 15:55:13.645000+05:30,2026-01-06,Tuesday,'15:55:13.645000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Onboarding_get_otp,application,2026-01-06 15:55:13.660000+05:30,2026-01-06,Tuesday,'15:55:13.660000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,_auth_generate-otp,application,2026-01-06 15:55:14.662000+05:30,2026-01-06,Tuesday,'15:55:14.662000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,get_otp,application,2026-01-06 15:55:14.674000+05:30,2026-01-06,Tuesday,'15:55:14.674000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Onboarding_signup_,application,2026-01-06 15:55:14.700000+05:30,2026-01-06,Tuesday,'15:55:14.700000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Journey Started,system,2026-01-06 15:55:15.012000+05:30,2026-01-06,Tuesday,'15:55:15.012000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,Journey Ended,system,2026-01-06 15:55:15.012000+05:30,2026-01-06,Tuesday,'15:55:15.012000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,verify_otp,application,2026-01-06 15:55:20.947000+05:30,2026-01-06,Tuesday,'15:55:20.947000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,_auth_verify-otp,application,2026-01-06 15:55:21.425000+05:30,2026-01-06,Tuesday,'15:55:21.425000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,enter_otp,application,2026-01-06 15:55:21.451000+05:30,2026-01-06,Tuesday,'15:55:21.451000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,User Login,system,2026-01-06 15:55:21.472000+05:30,2026-01-06,Tuesday,'15:55:21.472000
af28f85e-b8ae-4c0a-ba32-62c221f08ec0,login,application,2026-01-06 15:55:21.837000+05:30,2026-01-06,Tuesday,'15:55:21.837000
