user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
af6517a6-9ab3-4dda-9c39-f465280f0697,App Installed,system,2026-01-05 20:21:16.089000+05:30,2026-01-05,Monday,'20:21:16.089000
af6517a6-9ab3-4dda-9c39-f465280f0697,Buslist_bus_selection,application,2026-01-05 20:24:14.366000+05:30,2026-01-05,Monday,'20:24:14.366000
af6517a6-9ab3-4dda-9c39-f465280f0697,Buslist_date change,application,2026-01-05 20:22:10.995000+05:30,2026-01-05,Monday,'20:22:10.995000
af6517a6-9ab3-4dda-9c39-f465280f0697,Buslist_date change,application,2026-01-05 20:22:16.246000+05:30,2026-01-05,Monday,'20:22:16.246000
af6517a6-9ab3-4dda-9c39-f465280f0697,Buslist_date change,application,2026-01-05 20:23:16.258000+05:30,2026-01-05,Monday,'20:23:16.258000
af6517a6-9ab3-4dda-9c39-f465280f0697,Buslist_date change,application,2026-01-05 20:23:19.542000+05:30,2026-01-05,Monday,'20:23:19.542000
af6517a6-9ab3-4dda-9c39-f465280f0697,Buslist_date change,application,2026-01-05 20:26:15.903000+05:30,2026-01-05,Monday,'20:26:15.903000
af6517a6-9ab3-4dda-9c39-f465280f0697,Buslist_date change,application,2026-01-05 20:26:20.007000+05:30,2026-01-05,Monday,'20:26:20.007000
af6517a6-9ab3-4dda-9c39-f465280f0697,DeviceInfo,application,2026-01-05 20:21:15.726000+05:30,2026-01-05,Monday,'20:21:15.726000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Ended,system,2026-01-05 20:21:28.219000+05:30,2026-01-05,Monday,'20:21:28.219000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Ended,system,2026-01-05 20:24:15.384000+05:30,2026-01-05,Monday,'20:24:15.384000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Ended,system,2026-01-06 02:39:49.037000+05:30,2026-01-06,Tuesday,'02:39:49.037000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Ended,system,2026-01-06 02:42:19.043000+05:30,2026-01-06,Tuesday,'02:42:19.043000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Started,system,2026-01-05 20:21:16.176000+05:30,2026-01-05,Monday,'20:21:16.176000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Started,system,2026-01-05 20:21:28.219000+05:30,2026-01-05,Monday,'20:21:28.219000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Started,system,2026-01-05 20:22:16.465000+05:30,2026-01-05,Monday,'20:22:16.465000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Started,system,2026-01-05 20:24:15.389000+05:30,2026-01-05,Monday,'20:24:15.389000
af6517a6-9ab3-4dda-9c39-f465280f0697,Journey Started,system,2026-01-05 20:26:20.228000+05:30,2026-01-05,Monday,'20:26:20.228000
af6517a6-9ab3-4dda-9c39-f465280f0697,Onboarding_Language,application,2026-01-05 20:21:20.830000+05:30,2026-01-05,Monday,'20:21:20.830000
af6517a6-9ab3-4dda-9c39-f465280f0697,Onboarding_Profile Saved,application,2026-01-05 20:21:33.182000+05:30,2026-01-05,Monday,'20:21:33.182000
af6517a6-9ab3-4dda-9c39-f465280f0697,Onboarding_get_otp,application,2026-01-05 20:21:28+05:30,2026-01-05,Monday,'20:21:28.000000
af6517a6-9ab3-4dda-9c39-f465280f0697,Onboarding_signup_,application,2026-01-05 20:21:28.850000+05:30,2026-01-05,Monday,'20:21:28.850000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-05 20:39:24.428000+05:30,2026-01-05,Monday,'20:39:24.428000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-05 20:41:51.652000+05:30,2026-01-05,Monday,'20:41:51.652000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-06 20:21:24.345000+05:30,2026-01-06,Tuesday,'20:21:24.345000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-07 20:21:54.294000+05:30,2026-01-07,Wednesday,'20:21:54.294000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-08 20:22:24.967000+05:30,2026-01-08,Thursday,'20:22:24.967000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-09 20:22:55.704000+05:30,2026-01-09,Friday,'20:22:55.704000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-10 20:23:16.952000+05:30,2026-01-10,Saturday,'20:23:16.952000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-12 20:23:45.610000+05:30,2026-01-12,Monday,'20:23:45.610000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-14 20:23:51.934000+05:30,2026-01-14,Wednesday,'20:23:51.934000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Failure,system,2026-01-16 20:24:18.291000+05:30,2026-01-16,Friday,'20:24:18.291000
af6517a6-9ab3-4dda-9c39-f465280f0697,Push Subscribe Process - Device Registered (Push),system,2026-01-05 20:21:17.624000+05:30,2026-01-05,Monday,'20:21:17.624000
af6517a6-9ab3-4dda-9c39-f465280f0697,SeatSelection_Click On Back,application,2026-01-05 20:24:14.464000+05:30,2026-01-05,Monday,'20:24:14.464000
af6517a6-9ab3-4dda-9c39-f465280f0697,Session Started,system,2026-01-05 20:21:16.043000+05:30,2026-01-05,Monday,'20:21:16.043000
af6517a6-9ab3-4dda-9c39-f465280f0697,Session Started,system,2026-01-05 20:25:34.868000+05:30,2026-01-05,Monday,'20:25:34.868000
af6517a6-9ab3-4dda-9c39-f465280f0697,Session Started,system,2026-01-05 20:27:14.904000+05:30,2026-01-05,Monday,'20:27:14.904000
af6517a6-9ab3-4dda-9c39-f465280f0697,User Login,system,2026-01-05 20:21:30.834000+05:30,2026-01-05,Monday,'20:21:30.834000
af6517a6-9ab3-4dda-9c39-f465280f0697,_auth_generate-otp,application,2026-01-05 20:21:28.808000+05:30,2026-01-05,Monday,'20:21:28.808000
af6517a6-9ab3-4dda-9c39-f465280f0697,_auth_verify-otp,application,2026-01-05 20:21:30.798000+05:30,2026-01-05,Monday,'20:21:30.798000
