user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
af851cac-8a42-4e8e-b363-a9dd7c13e90a,DeviceInfo,application,2026-01-11 17:42:23.332000+05:30,2026-01-11,Sunday,'17:42:23.332000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,Session Started,system,2026-01-11 17:42:23.597000+05:30,2026-01-11,Sunday,'17:42:23.597000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,App Installed,system,2026-01-11 17:42:23.613000+05:30,2026-01-11,Sunday,'17:42:23.613000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,Journey Started,system,2026-01-11 17:42:23.680000+05:30,2026-01-11,Sunday,'17:42:23.680000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,app_start,application,2026-01-11 17:42:24.507000+05:30,2026-01-11,Sunday,'17:42:24.507000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,Push Subscribe Process - Device Registered (Push),system,2026-01-11 17:42:25.365000+05:30,2026-01-11,Sunday,'17:42:25.365000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,choose_language,application,2026-01-11 17:42:26.848000+05:30,2026-01-11,Sunday,'17:42:26.848000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,Onboarding_Language,application,2026-01-11 17:42:26.853000+05:30,2026-01-11,Sunday,'17:42:26.853000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,generate_otp,application,2026-01-11 17:42:30.951000+05:30,2026-01-11,Sunday,'17:42:30.951000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,Onboarding_get_otp,application,2026-01-11 17:42:30.964000+05:30,2026-01-11,Sunday,'17:42:30.964000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,Journey Started,system,2026-01-11 17:42:31.153000+05:30,2026-01-11,Sunday,'17:42:31.153000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,Journey Ended,system,2026-01-11 17:42:31.153000+05:30,2026-01-11,Sunday,'17:42:31.153000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,_auth_generate-otp,application,2026-01-11 17:42:32.033000+05:30,2026-01-11,Sunday,'17:42:32.033000
af851cac-8a42-4e8e-b363-a9dd7c13e90a,get_otp,application,2026-01-11 17:42:32.041000+05:30,2026-01-11,Sunday,'17:42:32.041000
