user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b216eb5c-cebf-4642-a4c1-d33181fbbabf,DeviceInfo,application,2026-01-05 17:44:17.498000+05:30,2026-01-05,Monday,'17:44:17.498000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Session Started,system,2026-01-05 17:44:17.852000+05:30,2026-01-05,Monday,'17:44:17.852000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,App Installed,system,2026-01-05 17:44:17.946000+05:30,2026-01-05,Monday,'17:44:17.946000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Journey Started,system,2026-01-05 17:44:18.408000+05:30,2026-01-05,Monday,'17:44:18.408000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Push Subscribe Process - Device Registered (Push),system,2026-01-05 17:44:18.619000+05:30,2026-01-05,Monday,'17:44:18.619000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,app_start,application,2026-01-05 17:44:19.004000+05:30,2026-01-05,Monday,'17:44:19.004000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,choose_language,application,2026-01-05 17:44:22.370000+05:30,2026-01-05,Monday,'17:44:22.370000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Onboarding_Language,application,2026-01-05 17:44:22.394000+05:30,2026-01-05,Monday,'17:44:22.394000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,choose_language,application,2026-01-05 17:44:22.420000+05:30,2026-01-05,Monday,'17:44:22.420000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Onboarding_Language,application,2026-01-05 17:44:22.459000+05:30,2026-01-05,Monday,'17:44:22.459000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Journey Started,system,2026-01-05 17:44:24.076000+05:30,2026-01-05,Monday,'17:44:24.076000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Journey Ended,system,2026-01-05 17:44:24.076000+05:30,2026-01-05,Monday,'17:44:24.076000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Journey Started,system,2026-01-05 17:44:24.084000+05:30,2026-01-05,Monday,'17:44:24.084000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,Journey Ended,system,2026-01-05 17:44:24.084000+05:30,2026-01-05,Monday,'17:44:24.084000
b216eb5c-cebf-4642-a4c1-d33181fbbabf,generate_otp,application,2026-01-05 17:44:31.329000+05:30,2026-01-05,Monday,'17:44:31.329000
