user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b627f051-2d19-4994-8bbb-1eb18c841cf9,DeviceInfo,application,2026-01-14 17:39:20.522000+05:30,2026-01-14,Wednesday,'17:39:20.522000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Session Started,system,2026-01-14 17:39:23.703000+05:30,2026-01-14,Wednesday,'17:39:23.703000
b627f051-2d19-4994-8bbb-1eb18c841cf9,App Installed,system,2026-01-14 17:39:23.721000+05:30,2026-01-14,Wednesday,'17:39:23.721000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Push Subscribe Process - Device Registered (Push),system,2026-01-14 17:39:23.739000+05:30,2026-01-14,Wednesday,'17:39:23.739000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Journey Started,system,2026-01-14 17:39:23.758000+05:30,2026-01-14,Wednesday,'17:39:23.758000
b627f051-2d19-4994-8bbb-1eb18c841cf9,app_start,application,2026-01-14 17:39:27.519000+05:30,2026-01-14,Wednesday,'17:39:27.519000
b627f051-2d19-4994-8bbb-1eb18c841cf9,choose_language,application,2026-01-14 17:39:29.882000+05:30,2026-01-14,Wednesday,'17:39:29.882000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Onboarding_Language,application,2026-01-14 17:39:29.895000+05:30,2026-01-14,Wednesday,'17:39:29.895000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Journey Ended,system,2026-01-14 17:39:46.758000+05:30,2026-01-14,Wednesday,'17:39:46.758000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Journey Started,system,2026-01-14 17:39:46.758000+05:30,2026-01-14,Wednesday,'17:39:46.758000
b627f051-2d19-4994-8bbb-1eb18c841cf9,generate_otp,application,2026-01-14 17:40:08.557000+05:30,2026-01-14,Wednesday,'17:40:08.557000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Onboarding_get_otp,application,2026-01-14 17:40:08.568000+05:30,2026-01-14,Wednesday,'17:40:08.568000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_auth_generate-otp,application,2026-01-14 17:40:12.501000+05:30,2026-01-14,Wednesday,'17:40:12.501000
b627f051-2d19-4994-8bbb-1eb18c841cf9,get_otp,application,2026-01-14 17:40:12.516000+05:30,2026-01-14,Wednesday,'17:40:12.516000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Onboarding_signup_,application,2026-01-14 17:40:12.533000+05:30,2026-01-14,Wednesday,'17:40:12.533000
b627f051-2d19-4994-8bbb-1eb18c841cf9,verify_otp,application,2026-01-14 17:40:13.910000+05:30,2026-01-14,Wednesday,'17:40:13.910000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_auth_verify-otp,application,2026-01-14 17:40:14.147000+05:30,2026-01-14,Wednesday,'17:40:14.147000
b627f051-2d19-4994-8bbb-1eb18c841cf9,enter_otp,application,2026-01-14 17:40:14.159000+05:30,2026-01-14,Wednesday,'17:40:14.159000
b627f051-2d19-4994-8bbb-1eb18c841cf9,User Login,system,2026-01-14 17:40:14.173000+05:30,2026-01-14,Wednesday,'17:40:14.173000
b627f051-2d19-4994-8bbb-1eb18c841cf9,login,application,2026-01-14 17:40:14.380000+05:30,2026-01-14,Wednesday,'17:40:14.380000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_user,application,2026-01-14 17:40:14.392000+05:30,2026-01-14,Wednesday,'17:40:14.392000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_location_from-town,application,2026-01-14 17:40:14.728000+05:30,2026-01-14,Wednesday,'17:40:14.728000
b627f051-2d19-4994-8bbb-1eb18c841cf9,Onboarding_Profile Saved,application,2026-01-14 17:40:16.483000+05:30,2026-01-14,Wednesday,'17:40:16.483000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_user,application,2026-01-14 17:40:17.734000+05:30,2026-01-14,Wednesday,'17:40:17.734000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_history_recommended-journey,application,2026-01-14 17:40:22.173000+05:30,2026-01-14,Wednesday,'17:40:22.173000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_user_device,application,2026-01-14 17:40:22.197000+05:30,2026-01-14,Wednesday,'17:40:22.197000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_location_from-town,application,2026-01-14 17:40:22.262000+05:30,2026-01-14,Wednesday,'17:40:22.262000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_user,application,2026-01-14 17:40:22.343000+05:30,2026-01-14,Wednesday,'17:40:22.343000
b627f051-2d19-4994-8bbb-1eb18c841cf9,_location_special-town-search,application,2026-01-14 17:40:22.518000+05:30,2026-01-14,Wednesday,'17:40:22.518000
