user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,DeviceInfo,application,2026-01-15 16:46:53.803000+05:30,2026-01-15,Thursday,'16:46:53.803000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Session Started,system,2026-01-15 16:46:53.891000+05:30,2026-01-15,Thursday,'16:46:53.891000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,App Installed,system,2026-01-15 16:46:54.004000+05:30,2026-01-15,Thursday,'16:46:54.004000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Push Subscribe Process - Device Registered (Push),system,2026-01-15 16:46:55.314000+05:30,2026-01-15,Thursday,'16:46:55.314000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Session Started,system,2026-01-15 16:53:36.240000+05:30,2026-01-15,Thursday,'16:53:36.240000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Journey Started,system,2026-01-15 16:53:39.278000+05:30,2026-01-15,Thursday,'16:53:39.278000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,app_start,application,2026-01-15 16:53:49.999000+05:30,2026-01-15,Thursday,'16:53:49.999000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,choose_language,application,2026-01-15 16:53:57.246000+05:30,2026-01-15,Thursday,'16:53:57.246000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Onboarding_Language,application,2026-01-15 16:53:57.262000+05:30,2026-01-15,Thursday,'16:53:57.262000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,choose_language,application,2026-01-15 16:53:59.238000+05:30,2026-01-15,Thursday,'16:53:59.238000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Onboarding_Language,application,2026-01-15 16:53:59.261000+05:30,2026-01-15,Thursday,'16:53:59.261000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Journey Started,system,2026-01-15 16:54:01.209000+05:30,2026-01-15,Thursday,'16:54:01.209000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Journey Ended,system,2026-01-15 16:54:01.209000+05:30,2026-01-15,Thursday,'16:54:01.209000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Journey Started,system,2026-01-15 16:54:01.214000+05:30,2026-01-15,Thursday,'16:54:01.214000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,generate_otp,application,2026-01-15 16:54:08.950000+05:30,2026-01-15,Thursday,'16:54:08.950000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Onboarding_get_otp,application,2026-01-15 16:54:08.976000+05:30,2026-01-15,Thursday,'16:54:08.976000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_auth_generate-otp,application,2026-01-15 16:54:09.888000+05:30,2026-01-15,Thursday,'16:54:09.888000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,get_otp,application,2026-01-15 16:54:09.902000+05:30,2026-01-15,Thursday,'16:54:09.902000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Onboarding_signup_,application,2026-01-15 16:54:09.934000+05:30,2026-01-15,Thursday,'16:54:09.934000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,verify_otp,application,2026-01-15 16:54:27.099000+05:30,2026-01-15,Thursday,'16:54:27.099000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_auth_verify-otp,application,2026-01-15 16:54:27.412000+05:30,2026-01-15,Thursday,'16:54:27.412000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,enter_otp,application,2026-01-15 16:54:27.444000+05:30,2026-01-15,Thursday,'16:54:27.444000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,verify_otp,application,2026-01-15 16:54:36.595000+05:30,2026-01-15,Thursday,'16:54:36.595000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_auth_verify-otp,application,2026-01-15 16:54:36.831000+05:30,2026-01-15,Thursday,'16:54:36.831000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,enter_otp,application,2026-01-15 16:54:36.911000+05:30,2026-01-15,Thursday,'16:54:36.911000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,User Login,system,2026-01-15 16:54:36.939000+05:30,2026-01-15,Thursday,'16:54:36.939000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,login,application,2026-01-15 16:54:37.219000+05:30,2026-01-15,Thursday,'16:54:37.219000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_user,application,2026-01-15 16:54:37.762000+05:30,2026-01-15,Thursday,'16:54:37.762000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_location_from-town,application,2026-01-15 16:54:39.309000+05:30,2026-01-15,Thursday,'16:54:39.309000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Onboarding_Profile Saved,application,2026-01-15 16:54:41.384000+05:30,2026-01-15,Thursday,'16:54:41.384000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_user,application,2026-01-15 16:54:42.857000+05:30,2026-01-15,Thursday,'16:54:42.857000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_location_from-town,application,2026-01-15 16:54:49.325000+05:30,2026-01-15,Thursday,'16:54:49.325000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_history_recommended-journey,application,2026-01-15 16:54:50.044000+05:30,2026-01-15,Thursday,'16:54:50.044000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_user_device,application,2026-01-15 16:54:50.109000+05:30,2026-01-15,Thursday,'16:54:50.109000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_user,application,2026-01-15 16:54:50.225000+05:30,2026-01-15,Thursday,'16:54:50.225000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_location_special-town-search,application,2026-01-15 16:54:50.443000+05:30,2026-01-15,Thursday,'16:54:50.443000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_ticket,application,2026-01-15 16:54:51.563000+05:30,2026-01-15,Thursday,'16:54:51.563000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_location_special-town-search,application,2026-01-15 16:54:53.514000+05:30,2026-01-15,Thursday,'16:54:53.514000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_location_elastic-town-search,application,2026-01-15 16:54:53.808000+05:30,2026-01-15,Thursday,'16:54:53.808000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_location_special-town-search,application,2026-01-15 16:56:02.563000+05:30,2026-01-15,Thursday,'16:56:02.563000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_location_elastic-town-search,application,2026-01-15 16:56:02.874000+05:30,2026-01-15,Thursday,'16:56:02.874000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_date change,application,2026-01-15 16:56:48.500000+05:30,2026-01-15,Thursday,'16:56:48.500000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_user,application,2026-01-15 16:56:48.909000+05:30,2026-01-15,Thursday,'16:56:48.909000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,pageview_bus_list,application,2026-01-15 16:56:48.981000+05:30,2026-01-15,Thursday,'16:56:48.981000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_bus-search_user-bus-search,application,2026-01-15 16:56:49.002000+05:30,2026-01-15,Thursday,'16:56:49.002000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_bus-search_list,application,2026-01-15 16:56:51.773000+05:30,2026-01-15,Thursday,'16:56:51.773000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_rewards_best-V2,application,2026-01-15 16:56:53.456000+05:30,2026-01-15,Thursday,'16:56:53.456000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_date change,application,2026-01-15 16:56:53.471000+05:30,2026-01-15,Thursday,'16:56:53.471000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,bus_search,application,2026-01-15 16:56:53.499000+05:30,2026-01-15,Thursday,'16:56:53.499000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,bus_result,application,2026-01-15 16:56:53.514000+05:30,2026-01-15,Thursday,'16:56:53.514000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_date change,application,2026-01-15 16:56:58.612000+05:30,2026-01-15,Thursday,'16:56:58.612000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_user,application,2026-01-15 16:56:59.115000+05:30,2026-01-15,Thursday,'16:56:59.115000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_bus-search_user-bus-search,application,2026-01-15 16:56:59.495000+05:30,2026-01-15,Thursday,'16:56:59.495000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,pageview_bus_list,application,2026-01-15 16:56:59.554000+05:30,2026-01-15,Thursday,'16:56:59.554000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Journey Started,system,2026-01-15 16:57:01.533000+05:30,2026-01-15,Thursday,'16:57:01.533000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_bus-search_list,application,2026-01-15 16:57:02.695000+05:30,2026-01-15,Thursday,'16:57:02.695000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,_rewards_best-V2,application,2026-01-15 16:57:02.965000+05:30,2026-01-15,Thursday,'16:57:02.965000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_date change,application,2026-01-15 16:57:02.978000+05:30,2026-01-15,Thursday,'16:57:02.978000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,bus_search,application,2026-01-15 16:57:03.002000+05:30,2026-01-15,Thursday,'16:57:03.002000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,bus_result,application,2026-01-15 16:57:03.044000+05:30,2026-01-15,Thursday,'16:57:03.044000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_Live Chat Icon,application,2026-01-15 16:57:22.100000+05:30,2026-01-15,Thursday,'16:57:22.100000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,enquire_now,application,2026-01-15 16:57:22.165000+05:30,2026-01-15,Thursday,'16:57:22.165000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_Live Chat Icon,application,2026-01-15 16:57:24.284000+05:30,2026-01-15,Thursday,'16:57:24.284000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,enquire_now,application,2026-01-15 16:57:24.353000+05:30,2026-01-15,Thursday,'16:57:24.353000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_Live Chat Icon,application,2026-01-15 16:57:24.491000+05:30,2026-01-15,Thursday,'16:57:24.491000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,enquire_now,application,2026-01-15 16:57:24.547000+05:30,2026-01-15,Thursday,'16:57:24.547000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Buslist_Live Chat Icon,application,2026-01-15 16:57:24.567000+05:30,2026-01-15,Thursday,'16:57:24.567000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,enquire_now,application,2026-01-15 16:57:24.609000+05:30,2026-01-15,Thursday,'16:57:24.609000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Push Sent,system,2026-01-15 17:13:12.138000+05:30,2026-01-15,Thursday,'17:13:12.138000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Journey Ended,system,2026-01-15 23:12:19.360000+05:30,2026-01-15,Thursday,'23:12:19.360000
b6c02b2a-cb12-48bf-9a15-0f91a3ef5b51,Push Sent,system,2026-01-16 16:53:53.755000+05:30,2026-01-16,Friday,'16:53:53.755000
