user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b7720a22-5d17-46f4-8f66-5d5743991606,DeviceInfo,application,2026-01-13 19:40:05.034000+05:30,2026-01-13,Tuesday,'19:40:05.034000
b7720a22-5d17-46f4-8f66-5d5743991606,Session Started,system,2026-01-13 19:40:05.202000+05:30,2026-01-13,Tuesday,'19:40:05.202000
b7720a22-5d17-46f4-8f66-5d5743991606,App Installed,system,2026-01-13 19:40:05.215000+05:30,2026-01-13,Tuesday,'19:40:05.215000
b7720a22-5d17-46f4-8f66-5d5743991606,Journey Started,system,2026-01-13 19:40:05.250000+05:30,2026-01-13,Tuesday,'19:40:05.250000
b7720a22-5d17-46f4-8f66-5d5743991606,app_start,application,2026-01-13 19:40:05.906000+05:30,2026-01-13,Tuesday,'19:40:05.906000
b7720a22-5d17-46f4-8f66-5d5743991606,Push Subscribe Process - Device Registered (Push),system,2026-01-13 19:40:07.428000+05:30,2026-01-13,Tuesday,'19:40:07.428000
b7720a22-5d17-46f4-8f66-5d5743991606,choose_language,application,2026-01-13 19:40:07.482000+05:30,2026-01-13,Tuesday,'19:40:07.482000
b7720a22-5d17-46f4-8f66-5d5743991606,Onboarding_Language,application,2026-01-13 19:40:07.486000+05:30,2026-01-13,Tuesday,'19:40:07.486000
b7720a22-5d17-46f4-8f66-5d5743991606,generate_otp,application,2026-01-13 19:40:17.726000+05:30,2026-01-13,Tuesday,'19:40:17.726000
b7720a22-5d17-46f4-8f66-5d5743991606,Onboarding_get_otp,application,2026-01-13 19:40:17.732000+05:30,2026-01-13,Tuesday,'19:40:17.732000
b7720a22-5d17-46f4-8f66-5d5743991606,Journey Started,system,2026-01-13 19:40:17.847000+05:30,2026-01-13,Tuesday,'19:40:17.847000
b7720a22-5d17-46f4-8f66-5d5743991606,Journey Ended,system,2026-01-13 19:40:17.847000+05:30,2026-01-13,Tuesday,'19:40:17.847000
b7720a22-5d17-46f4-8f66-5d5743991606,_auth_generate-otp,application,2026-01-13 19:40:21.710000+05:30,2026-01-13,Tuesday,'19:40:21.710000
b7720a22-5d17-46f4-8f66-5d5743991606,get_otp,application,2026-01-13 19:40:21.717000+05:30,2026-01-13,Tuesday,'19:40:21.717000
b7720a22-5d17-46f4-8f66-5d5743991606,Onboarding_signup_,application,2026-01-13 19:40:21.726000+05:30,2026-01-13,Tuesday,'19:40:21.726000
b7720a22-5d17-46f4-8f66-5d5743991606,verify_otp,application,2026-01-13 19:40:23.648000+05:30,2026-01-13,Tuesday,'19:40:23.648000
b7720a22-5d17-46f4-8f66-5d5743991606,_auth_verify-otp,application,2026-01-13 19:40:23.888000+05:30,2026-01-13,Tuesday,'19:40:23.888000
b7720a22-5d17-46f4-8f66-5d5743991606,enter_otp,application,2026-01-13 19:40:23.893000+05:30,2026-01-13,Tuesday,'19:40:23.893000
b7720a22-5d17-46f4-8f66-5d5743991606,User Login,system,2026-01-13 19:40:23.898000+05:30,2026-01-13,Tuesday,'19:40:23.898000
b7720a22-5d17-46f4-8f66-5d5743991606,login,application,2026-01-13 19:40:24.043000+05:30,2026-01-13,Tuesday,'19:40:24.043000
b7720a22-5d17-46f4-8f66-5d5743991606,_user,application,2026-01-13 19:40:24.391000+05:30,2026-01-13,Tuesday,'19:40:24.391000
b7720a22-5d17-46f4-8f66-5d5743991606,_location_from-town,application,2026-01-13 19:40:24.625000+05:30,2026-01-13,Tuesday,'19:40:24.625000
b7720a22-5d17-46f4-8f66-5d5743991606,Onboarding_Profile Saved,application,2026-01-13 19:40:25.102000+05:30,2026-01-13,Tuesday,'19:40:25.102000
b7720a22-5d17-46f4-8f66-5d5743991606,_user,application,2026-01-13 19:40:35.289000+05:30,2026-01-13,Tuesday,'19:40:35.289000
