user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ba7176a4-50bf-432c-a704-87a3d415368d,DeviceInfo,application,2026-01-01 18:36:58.928000+05:30,2026-01-01,Thursday,'18:36:58.928000
ba7176a4-50bf-432c-a704-87a3d415368d,App Installed,system,2026-01-01 18:36:59.454000+05:30,2026-01-01,Thursday,'18:36:59.454000
ba7176a4-50bf-432c-a704-87a3d415368d,Session Started,system,2026-01-01 18:36:59.454000+05:30,2026-01-01,Thursday,'18:36:59.454000
ba7176a4-50bf-432c-a704-87a3d415368d,Journey Started,system,2026-01-01 18:36:59.505000+05:30,2026-01-01,Thursday,'18:36:59.505000
ba7176a4-50bf-432c-a704-87a3d415368d,Push Subscribe Process - Device Registered (Push),system,2026-01-01 18:37:00.634000+05:30,2026-01-01,Thursday,'18:37:00.634000
ba7176a4-50bf-432c-a704-87a3d415368d,app_start,application,2026-01-01 18:37:01.026000+05:30,2026-01-01,Thursday,'18:37:01.026000
ba7176a4-50bf-432c-a704-87a3d415368d,choose_language,application,2026-01-01 18:37:03.366000+05:30,2026-01-01,Thursday,'18:37:03.366000
ba7176a4-50bf-432c-a704-87a3d415368d,Onboarding_Language,application,2026-01-01 18:37:03.383000+05:30,2026-01-01,Thursday,'18:37:03.383000
ba7176a4-50bf-432c-a704-87a3d415368d,choose_language,application,2026-01-01 18:37:03.561000+05:30,2026-01-01,Thursday,'18:37:03.561000
ba7176a4-50bf-432c-a704-87a3d415368d,Onboarding_Language,application,2026-01-01 18:37:03.585000+05:30,2026-01-01,Thursday,'18:37:03.585000
ba7176a4-50bf-432c-a704-87a3d415368d,Journey Started,system,2026-01-01 18:37:03.826000+05:30,2026-01-01,Thursday,'18:37:03.826000
ba7176a4-50bf-432c-a704-87a3d415368d,Journey Ended,system,2026-01-01 18:37:03.826000+05:30,2026-01-01,Thursday,'18:37:03.826000
ba7176a4-50bf-432c-a704-87a3d415368d,Journey Started,system,2026-01-01 18:37:03.832000+05:30,2026-01-01,Thursday,'18:37:03.832000
ba7176a4-50bf-432c-a704-87a3d415368d,Journey Ended,system,2026-01-01 18:37:03.832000+05:30,2026-01-01,Thursday,'18:37:03.832000
ba7176a4-50bf-432c-a704-87a3d415368d,generate_otp,application,2026-01-01 18:37:15.976000+05:30,2026-01-01,Thursday,'18:37:15.976000
ba7176a4-50bf-432c-a704-87a3d415368d,Onboarding_get_otp,application,2026-01-01 18:37:15.976000+05:30,2026-01-01,Thursday,'18:37:15.976000
ba7176a4-50bf-432c-a704-87a3d415368d,_auth_generate-otp,application,2026-01-01 18:37:16.988000+05:30,2026-01-01,Thursday,'18:37:16.988000
ba7176a4-50bf-432c-a704-87a3d415368d,get_otp,application,2026-01-01 18:37:17.005000+05:30,2026-01-01,Thursday,'18:37:17.005000
ba7176a4-50bf-432c-a704-87a3d415368d,Onboarding_signup_,application,2026-01-01 18:37:17.012000+05:30,2026-01-01,Thursday,'18:37:17.012000
ba7176a4-50bf-432c-a704-87a3d415368d,verify_otp,application,2026-01-01 18:37:24.539000+05:30,2026-01-01,Thursday,'18:37:24.539000
ba7176a4-50bf-432c-a704-87a3d415368d,_auth_verify-otp,application,2026-01-01 18:37:24.828000+05:30,2026-01-01,Thursday,'18:37:24.828000
ba7176a4-50bf-432c-a704-87a3d415368d,enter_otp,application,2026-01-01 18:37:24.849000+05:30,2026-01-01,Thursday,'18:37:24.849000
ba7176a4-50bf-432c-a704-87a3d415368d,User Login,system,2026-01-01 18:37:24.863000+05:30,2026-01-01,Thursday,'18:37:24.863000
ba7176a4-50bf-432c-a704-87a3d415368d,login,application,2026-01-01 18:37:25.318000+05:30,2026-01-01,Thursday,'18:37:25.318000
ba7176a4-50bf-432c-a704-87a3d415368d,_user,application,2026-01-01 18:37:25.330000+05:30,2026-01-01,Thursday,'18:37:25.330000
ba7176a4-50bf-432c-a704-87a3d415368d,_location_from-town,application,2026-01-01 18:37:25.920000+05:30,2026-01-01,Thursday,'18:37:25.920000
ba7176a4-50bf-432c-a704-87a3d415368d,Onboarding_Profile Saved,application,2026-01-01 18:37:26.934000+05:30,2026-01-01,Thursday,'18:37:26.934000
ba7176a4-50bf-432c-a704-87a3d415368d,_user,application,2026-01-01 18:37:31.816000+05:30,2026-01-01,Thursday,'18:37:31.816000
ba7176a4-50bf-432c-a704-87a3d415368d,_history_recommended-journey,application,2026-01-01 18:37:35.259000+05:30,2026-01-01,Thursday,'18:37:35.259000
ba7176a4-50bf-432c-a704-87a3d415368d,_location_from-town,application,2026-01-01 18:37:35.306000+05:30,2026-01-01,Thursday,'18:37:35.306000
ba7176a4-50bf-432c-a704-87a3d415368d,_user_device,application,2026-01-01 18:37:35.388000+05:30,2026-01-01,Thursday,'18:37:35.388000
ba7176a4-50bf-432c-a704-87a3d415368d,_user,application,2026-01-01 18:37:35.408000+05:30,2026-01-01,Thursday,'18:37:35.408000
ba7176a4-50bf-432c-a704-87a3d415368d,_location_special-town-search,application,2026-01-01 18:37:35.699000+05:30,2026-01-01,Thursday,'18:37:35.699000
ba7176a4-50bf-432c-a704-87a3d415368d,_ticket,application,2026-01-01 18:37:35.874000+05:30,2026-01-01,Thursday,'18:37:35.874000
ba7176a4-50bf-432c-a704-87a3d415368d,_location_special-town-search,application,2026-01-01 18:37:37.119000+05:30,2026-01-01,Thursday,'18:37:37.119000
ba7176a4-50bf-432c-a704-87a3d415368d,_location_elastic-town-search,application,2026-01-01 18:37:37.259000+05:30,2026-01-01,Thursday,'18:37:37.259000
ba7176a4-50bf-432c-a704-87a3d415368d,_location_special-town-search,application,2026-01-01 18:37:43.426000+05:30,2026-01-01,Thursday,'18:37:43.426000
ba7176a4-50bf-432c-a704-87a3d415368d,_location_elastic-town-search,application,2026-01-01 18:37:46.547000+05:30,2026-01-01,Thursday,'18:37:46.547000
ba7176a4-50bf-432c-a704-87a3d415368d,Buslist_date change,application,2026-01-01 18:37:53.336000+05:30,2026-01-01,Thursday,'18:37:53.336000
ba7176a4-50bf-432c-a704-87a3d415368d,_user,application,2026-01-01 18:37:53.672000+05:30,2026-01-01,Thursday,'18:37:53.672000
ba7176a4-50bf-432c-a704-87a3d415368d,pageview_bus_list,application,2026-01-01 18:37:53.695000+05:30,2026-01-01,Thursday,'18:37:53.695000
ba7176a4-50bf-432c-a704-87a3d415368d,_bus-search_user-bus-search,application,2026-01-01 18:37:53.963000+05:30,2026-01-01,Thursday,'18:37:53.963000
ba7176a4-50bf-432c-a704-87a3d415368d,_bus-search_list,application,2026-01-01 18:38:01.261000+05:30,2026-01-01,Thursday,'18:38:01.261000
ba7176a4-50bf-432c-a704-87a3d415368d,_rewards_best-V2,application,2026-01-01 18:38:02.942000+05:30,2026-01-01,Thursday,'18:38:02.942000
ba7176a4-50bf-432c-a704-87a3d415368d,Buslist_date change,application,2026-01-01 18:38:02.959000+05:30,2026-01-01,Thursday,'18:38:02.959000
ba7176a4-50bf-432c-a704-87a3d415368d,bus_search,application,2026-01-01 18:38:03.244000+05:30,2026-01-01,Thursday,'18:38:03.244000
