user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
bb83b4bb-e283-49e8-9a0a-aba837463ab7,App Installed,system,2026-01-01 13:06:51.024000+05:30,2026-01-01,Thursday,'13:06:51.024000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Buslist_bus_selection,application,2026-01-01 13:10:00.142000+05:30,2026-01-01,Thursday,'13:10:00.142000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Buslist_date change,application,2026-01-01 13:08:43.433000+05:30,2026-01-01,Thursday,'13:08:43.433000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Buslist_date change,application,2026-01-01 13:08:47.481000+05:30,2026-01-01,Thursday,'13:08:47.481000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Buslist_date change,application,2026-01-01 13:09:12.741000+05:30,2026-01-01,Thursday,'13:09:12.741000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Buslist_date change,application,2026-01-01 13:09:15.208000+05:30,2026-01-01,Thursday,'13:09:15.208000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,DeviceInfo,application,2026-01-01 13:06:49.598000+05:30,2026-01-01,Thursday,'13:06:49.598000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Journey Ended,system,2026-01-01 13:07:17.929000+05:30,2026-01-01,Thursday,'13:07:17.929000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Journey Ended,system,2026-01-01 13:10:02.348000+05:30,2026-01-01,Thursday,'13:10:02.348000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Journey Ended,system,2026-01-01 13:11:05.550000+05:30,2026-01-01,Thursday,'13:11:05.550000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Journey Started,system,2026-01-01 13:06:53.144000+05:30,2026-01-01,Thursday,'13:06:53.144000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Journey Started,system,2026-01-01 13:07:17.929000+05:30,2026-01-01,Thursday,'13:07:17.929000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Journey Started,system,2026-01-01 13:09:02.281000+05:30,2026-01-01,Thursday,'13:09:02.281000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Journey Started,system,2026-01-01 13:10:02.352000+05:30,2026-01-01,Thursday,'13:10:02.352000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Onboarding_Language,application,2026-01-01 13:06:56.540000+05:30,2026-01-01,Thursday,'13:06:56.540000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Onboarding_get_otp,application,2026-01-01 13:07:16.140000+05:30,2026-01-01,Thursday,'13:07:16.140000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Onboarding_signup_,application,2026-01-01 13:07:17.418000+05:30,2026-01-01,Thursday,'13:07:17.418000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-02 13:07:05.204000+05:30,2026-01-02,Friday,'13:07:05.204000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-03 13:07:33.235000+05:30,2026-01-03,Saturday,'13:07:33.235000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-04 13:07:54.660000+05:30,2026-01-04,Sunday,'13:07:54.660000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-05 13:08:24.193000+05:30,2026-01-05,Monday,'13:08:24.193000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-06 13:08:53.899000+05:30,2026-01-06,Tuesday,'13:08:53.899000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-08 13:09:24.460000+05:30,2026-01-08,Thursday,'13:09:24.460000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-10 13:09:46.509000+05:30,2026-01-10,Saturday,'13:09:46.509000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-12 13:11:55.913000+05:30,2026-01-12,Monday,'13:11:55.913000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-14 13:12:25.982000+05:30,2026-01-14,Wednesday,'13:12:25.982000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Failure,system,2026-01-16 13:13:27.702000+05:30,2026-01-16,Friday,'13:13:27.702000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Push Subscribe Process - Device Registered (Push),system,2026-01-01 13:06:51.119000+05:30,2026-01-01,Thursday,'13:06:51.119000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,SeatSelection_Click On Back,application,2026-01-01 13:10:00.523000+05:30,2026-01-01,Thursday,'13:10:00.523000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,Session Started,system,2026-01-01 13:06:50.770000+05:30,2026-01-01,Thursday,'13:06:50.770000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,User Login,system,2026-01-01 13:07:28.983000+05:30,2026-01-01,Thursday,'13:07:28.983000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_auth_generate-otp,application,2026-01-01 13:07:17.207000+05:30,2026-01-01,Thursday,'13:07:17.207000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_auth_verify-otp,application,2026-01-01 13:07:28.674000+05:30,2026-01-01,Thursday,'13:07:28.674000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_auth_verify-otp,application,2026-01-01 13:07:33.402000+05:30,2026-01-01,Thursday,'13:07:33.402000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_bus-search_list,application,2026-01-01 13:08:46.565000+05:30,2026-01-01,Thursday,'13:08:46.565000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_bus-search_list,application,2026-01-01 13:09:14.924000+05:30,2026-01-01,Thursday,'13:09:14.924000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_bus-search_user-bus-search,application,2026-01-01 13:08:44.231000+05:30,2026-01-01,Thursday,'13:08:44.231000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_bus-search_user-bus-search,application,2026-01-01 13:09:13.273000+05:30,2026-01-01,Thursday,'13:09:13.273000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_bus-search_v2_layout,application,2026-01-01 13:10:00.928000+05:30,2026-01-01,Thursday,'13:10:00.928000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_history_recommended-journey,application,2026-01-01 13:07:40.899000+05:30,2026-01-01,Thursday,'13:07:40.899000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_history_recommended-journey,application,2026-01-01 13:07:41.073000+05:30,2026-01-01,Thursday,'13:07:41.073000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:44+05:30,2026-01-01,Thursday,'13:07:44.000000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:52.140000+05:30,2026-01-01,Thursday,'13:07:52.140000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:52.425000+05:30,2026-01-01,Thursday,'13:07:52.425000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:57.677000+05:30,2026-01-01,Thursday,'13:07:57.677000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:57.950000+05:30,2026-01-01,Thursday,'13:07:57.950000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:58.307000+05:30,2026-01-01,Thursday,'13:07:58.307000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:59.024000+05:30,2026-01-01,Thursday,'13:07:59.024000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:07:59.390000+05:30,2026-01-01,Thursday,'13:07:59.390000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:08:02.368000+05:30,2026-01-01,Thursday,'13:08:02.368000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:08:02.745000+05:30,2026-01-01,Thursday,'13:08:02.745000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:08:23.272000+05:30,2026-01-01,Thursday,'13:08:23.272000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:08:25.350000+05:30,2026-01-01,Thursday,'13:08:25.350000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:08:27.917000+05:30,2026-01-01,Thursday,'13:08:27.917000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:08:28.128000+05:30,2026-01-01,Thursday,'13:08:28.128000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:09:00.588000+05:30,2026-01-01,Thursday,'13:09:00.588000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_elastic-town-search,application,2026-01-01 13:09:04.798000+05:30,2026-01-01,Thursday,'13:09:04.798000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_from-town,application,2026-01-01 13:07:35.181000+05:30,2026-01-01,Thursday,'13:07:35.181000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_from-town,application,2026-01-01 13:07:41.858000+05:30,2026-01-01,Thursday,'13:07:41.858000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_from-town,application,2026-01-01 13:07:41.941000+05:30,2026-01-01,Thursday,'13:07:41.941000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_special-town-search,application,2026-01-01 13:07:42.123000+05:30,2026-01-01,Thursday,'13:07:42.123000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_special-town-search,application,2026-01-01 13:07:43.318000+05:30,2026-01-01,Thursday,'13:07:43.318000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_special-town-search,application,2026-01-01 13:07:43.634000+05:30,2026-01-01,Thursday,'13:07:43.634000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_special-town-search,application,2026-01-01 13:08:19.011000+05:30,2026-01-01,Thursday,'13:08:19.011000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_special-town-search,application,2026-01-01 13:09:00.452000+05:30,2026-01-01,Thursday,'13:09:00.452000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_location_special-town-search,application,2026-01-01 13:09:04.640000+05:30,2026-01-01,Thursday,'13:09:04.640000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_profile,application,2026-01-01 13:10:00.757000+05:30,2026-01-01,Thursday,'13:10:00.757000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_rewards_best-V2,application,2026-01-01 13:08:47.442000+05:30,2026-01-01,Thursday,'13:08:47.442000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_rewards_best-V2,application,2026-01-01 13:09:15.167000+05:30,2026-01-01,Thursday,'13:09:15.167000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_ticket,application,2026-01-01 13:07:42.878000+05:30,2026-01-01,Thursday,'13:07:42.878000
bb83b4bb-e283-49e8-9a0a-aba837463ab7,_ticket,application,2026-01-01 13:07:43.850000+05:30,2026-01-01,Thursday,'13:07:43.850000
