user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
bfe5787f-3f5d-400e-a265-c05c08f20d92,DeviceInfo,application,2026-01-11 09:17:40.646000+05:30,2026-01-11,Sunday,'09:17:40.646000
bfe5787f-3f5d-400e-a265-c05c08f20d92,App Installed,system,2026-01-11 09:17:41.184000+05:30,2026-01-11,Sunday,'09:17:41.184000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Session Started,system,2026-01-11 09:17:41.184000+05:30,2026-01-11,Sunday,'09:17:41.184000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Journey Started,system,2026-01-11 09:17:41.199000+05:30,2026-01-11,Sunday,'09:17:41.199000
bfe5787f-3f5d-400e-a265-c05c08f20d92,app_start,application,2026-01-11 09:17:42.498000+05:30,2026-01-11,Sunday,'09:17:42.498000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Push Subscribe Process - Device Registered (Push),system,2026-01-11 09:17:44.614000+05:30,2026-01-11,Sunday,'09:17:44.614000
bfe5787f-3f5d-400e-a265-c05c08f20d92,choose_language,application,2026-01-11 09:17:47.125000+05:30,2026-01-11,Sunday,'09:17:47.125000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Onboarding_Language,application,2026-01-11 09:17:47.156000+05:30,2026-01-11,Sunday,'09:17:47.156000
bfe5787f-3f5d-400e-a265-c05c08f20d92,generate_otp,application,2026-01-11 09:17:53.792000+05:30,2026-01-11,Sunday,'09:17:53.792000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Onboarding_get_otp,application,2026-01-11 09:17:53.805000+05:30,2026-01-11,Sunday,'09:17:53.805000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Journey Ended,system,2026-01-11 09:17:54.008000+05:30,2026-01-11,Sunday,'09:17:54.008000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Journey Started,system,2026-01-11 09:17:54.008000+05:30,2026-01-11,Sunday,'09:17:54.008000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_auth_generate-otp,application,2026-01-11 09:17:54.840000+05:30,2026-01-11,Sunday,'09:17:54.840000
bfe5787f-3f5d-400e-a265-c05c08f20d92,get_otp,application,2026-01-11 09:17:54.848000+05:30,2026-01-11,Sunday,'09:17:54.848000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Onboarding_signup_,application,2026-01-11 09:17:54.864000+05:30,2026-01-11,Sunday,'09:17:54.864000
bfe5787f-3f5d-400e-a265-c05c08f20d92,verify_otp,application,2026-01-11 09:18:00.102000+05:30,2026-01-11,Sunday,'09:18:00.102000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_auth_verify-otp,application,2026-01-11 09:18:00.309000+05:30,2026-01-11,Sunday,'09:18:00.309000
bfe5787f-3f5d-400e-a265-c05c08f20d92,enter_otp,application,2026-01-11 09:18:00.371000+05:30,2026-01-11,Sunday,'09:18:00.371000
bfe5787f-3f5d-400e-a265-c05c08f20d92,User Login,system,2026-01-11 09:18:00.394000+05:30,2026-01-11,Sunday,'09:18:00.394000
bfe5787f-3f5d-400e-a265-c05c08f20d92,login,application,2026-01-11 09:18:01.164000+05:30,2026-01-11,Sunday,'09:18:01.164000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_user,application,2026-01-11 09:18:01.171000+05:30,2026-01-11,Sunday,'09:18:01.171000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_location_from-town,application,2026-01-11 09:18:01.506000+05:30,2026-01-11,Sunday,'09:18:01.506000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Onboarding_Profile Saved,application,2026-01-11 09:18:04.801000+05:30,2026-01-11,Sunday,'09:18:04.801000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_user,application,2026-01-11 09:18:15.912000+05:30,2026-01-11,Sunday,'09:18:15.912000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_history_recommended-journey,application,2026-01-11 09:18:18.470000+05:30,2026-01-11,Sunday,'09:18:18.470000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_location_from-town,application,2026-01-11 09:18:18.500000+05:30,2026-01-11,Sunday,'09:18:18.500000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_user_device,application,2026-01-11 09:18:18.609000+05:30,2026-01-11,Sunday,'09:18:18.609000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_user,application,2026-01-11 09:18:18.661000+05:30,2026-01-11,Sunday,'09:18:18.661000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_location_special-town-search,application,2026-01-11 09:18:18.906000+05:30,2026-01-11,Sunday,'09:18:18.906000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_ticket,application,2026-01-11 09:18:18.937000+05:30,2026-01-11,Sunday,'09:18:18.937000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_location_special-town-search,application,2026-01-11 09:18:34.678000+05:30,2026-01-11,Sunday,'09:18:34.678000
bfe5787f-3f5d-400e-a265-c05c08f20d92,_location_elastic-town-search,application,2026-01-11 09:18:34.904000+05:30,2026-01-11,Sunday,'09:18:34.904000
bfe5787f-3f5d-400e-a265-c05c08f20d92,Push Failure,system,2026-01-12 09:18:15.665000+05:30,2026-01-12,Monday,'09:18:15.665000
