user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c0ea9983-300b-4692-ab4e-635a17acba4d,DeviceInfo,application,2026-01-05 12:12:15.671000+05:30,2026-01-05,Monday,'12:12:15.671000
c0ea9983-300b-4692-ab4e-635a17acba4d,Session Started,system,2026-01-05 12:12:16.525000+05:30,2026-01-05,Monday,'12:12:16.525000
c0ea9983-300b-4692-ab4e-635a17acba4d,App Installed,system,2026-01-05 12:12:16.549000+05:30,2026-01-05,Monday,'12:12:16.549000
c0ea9983-300b-4692-ab4e-635a17acba4d,Journey Started,system,2026-01-05 12:12:16.662000+05:30,2026-01-05,Monday,'12:12:16.662000
c0ea9983-300b-4692-ab4e-635a17acba4d,app_start,application,2026-01-05 12:12:18.317000+05:30,2026-01-05,Monday,'12:12:18.317000
c0ea9983-300b-4692-ab4e-635a17acba4d,Push Subscribe Process - Device Registered (Push),system,2026-01-05 12:12:18.352000+05:30,2026-01-05,Monday,'12:12:18.352000
c0ea9983-300b-4692-ab4e-635a17acba4d,choose_language,application,2026-01-05 12:12:23.376000+05:30,2026-01-05,Monday,'12:12:23.376000
c0ea9983-300b-4692-ab4e-635a17acba4d,Onboarding_Language,application,2026-01-05 12:12:23.382000+05:30,2026-01-05,Monday,'12:12:23.382000
c0ea9983-300b-4692-ab4e-635a17acba4d,choose_language,application,2026-01-05 12:12:24.468000+05:30,2026-01-05,Monday,'12:12:24.468000
c0ea9983-300b-4692-ab4e-635a17acba4d,Onboarding_Language,application,2026-01-05 12:12:24.477000+05:30,2026-01-05,Monday,'12:12:24.477000
c0ea9983-300b-4692-ab4e-635a17acba4d,choose_language,application,2026-01-05 12:12:26.135000+05:30,2026-01-05,Monday,'12:12:26.135000
c0ea9983-300b-4692-ab4e-635a17acba4d,Onboarding_Language,application,2026-01-05 12:12:26.140000+05:30,2026-01-05,Monday,'12:12:26.140000
c0ea9983-300b-4692-ab4e-635a17acba4d,Journey Ended,system,2026-01-05 12:12:29.013000+05:30,2026-01-05,Monday,'12:12:29.013000
c0ea9983-300b-4692-ab4e-635a17acba4d,Journey Started,system,2026-01-05 12:12:29.013000+05:30,2026-01-05,Monday,'12:12:29.013000
c0ea9983-300b-4692-ab4e-635a17acba4d,Journey Ended,system,2026-01-05 12:12:29.029000+05:30,2026-01-05,Monday,'12:12:29.029000
c0ea9983-300b-4692-ab4e-635a17acba4d,Journey Started,system,2026-01-05 12:12:29.029000+05:30,2026-01-05,Monday,'12:12:29.029000
c0ea9983-300b-4692-ab4e-635a17acba4d,generate_otp,application,2026-01-05 12:12:34.446000+05:30,2026-01-05,Monday,'12:12:34.446000
c0ea9983-300b-4692-ab4e-635a17acba4d,Onboarding_get_otp,application,2026-01-05 12:12:34.465000+05:30,2026-01-05,Monday,'12:12:34.465000
c0ea9983-300b-4692-ab4e-635a17acba4d,Journey Ended,system,2026-01-05 12:12:35.807000+05:30,2026-01-05,Monday,'12:12:35.807000
c0ea9983-300b-4692-ab4e-635a17acba4d,Journey Started,system,2026-01-05 12:12:35.807000+05:30,2026-01-05,Monday,'12:12:35.807000
