user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,DeviceInfo,application,2026-01-07 10:07:30.842000+05:30,2026-01-07,Wednesday,'10:07:30.842000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Session Started,system,2026-01-07 10:07:40.944000+05:30,2026-01-07,Wednesday,'10:07:40.944000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,App Installed,system,2026-01-07 10:07:41.029000+05:30,2026-01-07,Wednesday,'10:07:41.029000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Session Started,system,2026-01-07 10:08:26.058000+05:30,2026-01-07,Wednesday,'10:08:26.058000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Push Subscribe Process - Device Registered (Push),system,2026-01-07 10:08:29.337000+05:30,2026-01-07,Wednesday,'10:08:29.337000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,choose_language,application,2026-01-07 10:08:34.127000+05:30,2026-01-07,Wednesday,'10:08:34.127000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Onboarding_Language,application,2026-01-07 10:08:34.135000+05:30,2026-01-07,Wednesday,'10:08:34.135000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Journey Started,system,2026-01-07 10:08:34.878000+05:30,2026-01-07,Wednesday,'10:08:34.878000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,generate_otp,application,2026-01-07 10:08:42.194000+05:30,2026-01-07,Wednesday,'10:08:42.194000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Onboarding_get_otp,application,2026-01-07 10:08:42.210000+05:30,2026-01-07,Wednesday,'10:08:42.210000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_auth_generate-otp,application,2026-01-07 10:08:44.229000+05:30,2026-01-07,Wednesday,'10:08:44.229000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,get_otp,application,2026-01-07 10:08:44.249000+05:30,2026-01-07,Wednesday,'10:08:44.249000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Onboarding_signup_,application,2026-01-07 10:08:44.273000+05:30,2026-01-07,Wednesday,'10:08:44.273000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Journey Started,system,2026-01-07 10:08:45.045000+05:30,2026-01-07,Wednesday,'10:08:45.045000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Journey Ended,system,2026-01-07 10:08:45.046000+05:30,2026-01-07,Wednesday,'10:08:45.046000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,verify_otp,application,2026-01-07 10:08:48.671000+05:30,2026-01-07,Wednesday,'10:08:48.671000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_auth_verify-otp,application,2026-01-07 10:08:48.965000+05:30,2026-01-07,Wednesday,'10:08:48.965000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,enter_otp,application,2026-01-07 10:08:49.004000+05:30,2026-01-07,Wednesday,'10:08:49.004000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,User Login,system,2026-01-07 10:08:49.061000+05:30,2026-01-07,Wednesday,'10:08:49.061000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,login,application,2026-01-07 10:08:49.695000+05:30,2026-01-07,Wednesday,'10:08:49.695000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_user,application,2026-01-07 10:08:49.715000+05:30,2026-01-07,Wednesday,'10:08:49.715000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_location_from-town,application,2026-01-07 10:08:50.303000+05:30,2026-01-07,Wednesday,'10:08:50.303000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Onboarding_Profile Saved,application,2026-01-07 10:08:51.575000+05:30,2026-01-07,Wednesday,'10:08:51.575000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_user,application,2026-01-07 10:09:03.239000+05:30,2026-01-07,Wednesday,'10:09:03.239000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_location_from-town,application,2026-01-07 10:09:07.391000+05:30,2026-01-07,Wednesday,'10:09:07.391000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_history_recommended-journey,application,2026-01-07 10:09:07.593000+05:30,2026-01-07,Wednesday,'10:09:07.593000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_user_device,application,2026-01-07 10:09:09.500000+05:30,2026-01-07,Wednesday,'10:09:09.500000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_user,application,2026-01-07 10:09:09.586000+05:30,2026-01-07,Wednesday,'10:09:09.586000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_location_special-town-search,application,2026-01-07 10:09:12.019000+05:30,2026-01-07,Wednesday,'10:09:12.019000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_ticket,application,2026-01-07 10:09:13.751000+05:30,2026-01-07,Wednesday,'10:09:13.751000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_location_special-town-search,application,2026-01-07 10:09:14.087000+05:30,2026-01-07,Wednesday,'10:09:14.087000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_location_elastic-town-search,application,2026-01-07 10:09:14.896000+05:30,2026-01-07,Wednesday,'10:09:14.896000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_location_special-town-search,application,2026-01-07 10:09:23.198000+05:30,2026-01-07,Wednesday,'10:09:23.198000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_location_elastic-town-search,application,2026-01-07 10:09:24.954000+05:30,2026-01-07,Wednesday,'10:09:24.954000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,Buslist_date change,application,2026-01-07 10:09:40.562000+05:30,2026-01-07,Wednesday,'10:09:40.562000
c1f11c2e-41b3-42f7-9410-b72128d8b6c3,_user,application,2026-01-07 10:09:40.965000+05:30,2026-01-07,Wednesday,'10:09:40.965000
