user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c204e84d-4a87-4d27-a9a0-d87aed3117e3,DeviceInfo,application,2026-01-07 11:30:15.948000+05:30,2026-01-07,Wednesday,'11:30:15.948000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Session Started,system,2026-01-07 11:30:16.043000+05:30,2026-01-07,Wednesday,'11:30:16.043000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,App Installed,system,2026-01-07 11:30:16.044000+05:30,2026-01-07,Wednesday,'11:30:16.044000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Journey Started,system,2026-01-07 11:30:16.458000+05:30,2026-01-07,Wednesday,'11:30:16.458000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,app_start,application,2026-01-07 11:30:16.914000+05:30,2026-01-07,Wednesday,'11:30:16.914000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Push Subscribe Process - Device Registered (Push),system,2026-01-07 11:30:17.903000+05:30,2026-01-07,Wednesday,'11:30:17.903000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,choose_language,application,2026-01-07 11:30:18.492000+05:30,2026-01-07,Wednesday,'11:30:18.492000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Onboarding_Language,application,2026-01-07 11:30:18.507000+05:30,2026-01-07,Wednesday,'11:30:18.507000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,generate_otp,application,2026-01-07 11:30:24.476000+05:30,2026-01-07,Wednesday,'11:30:24.476000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Onboarding_get_otp,application,2026-01-07 11:30:24.476000+05:30,2026-01-07,Wednesday,'11:30:24.476000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_auth_generate-otp,application,2026-01-07 11:30:25.799000+05:30,2026-01-07,Wednesday,'11:30:25.799000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,get_otp,application,2026-01-07 11:30:25.806000+05:30,2026-01-07,Wednesday,'11:30:25.806000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Onboarding_signup_,application,2026-01-07 11:30:25.815000+05:30,2026-01-07,Wednesday,'11:30:25.815000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,verify_otp,application,2026-01-07 11:30:27.432000+05:30,2026-01-07,Wednesday,'11:30:27.432000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_auth_verify-otp,application,2026-01-07 11:30:27.432000+05:30,2026-01-07,Wednesday,'11:30:27.432000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,enter_otp,application,2026-01-07 11:30:27.844000+05:30,2026-01-07,Wednesday,'11:30:27.844000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,User Login,system,2026-01-07 11:30:28.048000+05:30,2026-01-07,Wednesday,'11:30:28.048000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,login,application,2026-01-07 11:30:28.188000+05:30,2026-01-07,Wednesday,'11:30:28.188000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_user,application,2026-01-07 11:30:28.192000+05:30,2026-01-07,Wednesday,'11:30:28.192000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_location_from-town,application,2026-01-07 11:30:28.448000+05:30,2026-01-07,Wednesday,'11:30:28.448000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Onboarding_Profile Saved,application,2026-01-07 11:30:29.047000+05:30,2026-01-07,Wednesday,'11:30:29.047000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Journey Ended,system,2026-01-07 11:30:33.721000+05:30,2026-01-07,Wednesday,'11:30:33.721000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Journey Started,system,2026-01-07 11:30:33.721000+05:30,2026-01-07,Wednesday,'11:30:33.721000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_user,application,2026-01-07 11:30:34.659000+05:30,2026-01-07,Wednesday,'11:30:34.659000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_user_device,application,2026-01-07 11:30:36.615000+05:30,2026-01-07,Wednesday,'11:30:36.615000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_history_recommended-journey,application,2026-01-07 11:30:36.616000+05:30,2026-01-07,Wednesday,'11:30:36.616000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_user,application,2026-01-07 11:30:36.616000+05:30,2026-01-07,Wednesday,'11:30:36.616000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_location_from-town,application,2026-01-07 11:30:36.616000+05:30,2026-01-07,Wednesday,'11:30:36.616000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_location_special-town-search,application,2026-01-07 11:30:37.276000+05:30,2026-01-07,Wednesday,'11:30:37.276000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_ticket,application,2026-01-07 11:30:37.363000+05:30,2026-01-07,Wednesday,'11:30:37.363000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_location_special-town-search,application,2026-01-07 11:30:39.093000+05:30,2026-01-07,Wednesday,'11:30:39.093000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_location_elastic-town-search,application,2026-01-07 11:30:39.222000+05:30,2026-01-07,Wednesday,'11:30:39.222000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_location_special-town-search,application,2026-01-07 11:30:51.258000+05:30,2026-01-07,Wednesday,'11:30:51.258000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_location_elastic-town-search,application,2026-01-07 11:30:51.310000+05:30,2026-01-07,Wednesday,'11:30:51.310000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,_user,application,2026-01-07 11:31:08.849000+05:30,2026-01-07,Wednesday,'11:31:08.849000
c204e84d-4a87-4d27-a9a0-d87aed3117e3,Buslist_date change,application,2026-01-07 11:31:08.849000+05:30,2026-01-07,Wednesday,'11:31:08.849000
