user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c473172f-fa90-4b80-84d7-9c47e613eed9,DeviceInfo,application,2026-01-04 03:18:26.689000+05:30,2026-01-04,Sunday,'03:18:26.689000
c473172f-fa90-4b80-84d7-9c47e613eed9,Session Started,system,2026-01-04 03:18:26.848000+05:30,2026-01-04,Sunday,'03:18:26.848000
c473172f-fa90-4b80-84d7-9c47e613eed9,App Installed,system,2026-01-04 03:18:26.907000+05:30,2026-01-04,Sunday,'03:18:26.907000
c473172f-fa90-4b80-84d7-9c47e613eed9,Journey Started,system,2026-01-04 03:18:27.018000+05:30,2026-01-04,Sunday,'03:18:27.018000
c473172f-fa90-4b80-84d7-9c47e613eed9,app_start,application,2026-01-04 03:18:27.802000+05:30,2026-01-04,Sunday,'03:18:27.802000
c473172f-fa90-4b80-84d7-9c47e613eed9,choose_language,application,2026-01-04 03:18:30.684000+05:30,2026-01-04,Sunday,'03:18:30.684000
c473172f-fa90-4b80-84d7-9c47e613eed9,Onboarding_Language,application,2026-01-04 03:18:30.696000+05:30,2026-01-04,Sunday,'03:18:30.696000
c473172f-fa90-4b80-84d7-9c47e613eed9,generate_otp,application,2026-01-04 03:18:40.054000+05:30,2026-01-04,Sunday,'03:18:40.054000
c473172f-fa90-4b80-84d7-9c47e613eed9,Onboarding_get_otp,application,2026-01-04 03:18:40.068000+05:30,2026-01-04,Sunday,'03:18:40.068000
c473172f-fa90-4b80-84d7-9c47e613eed9,Journey Started,system,2026-01-04 03:18:40.203000+05:30,2026-01-04,Sunday,'03:18:40.203000
c473172f-fa90-4b80-84d7-9c47e613eed9,Journey Ended,system,2026-01-04 03:18:40.204000+05:30,2026-01-04,Sunday,'03:18:40.204000
c473172f-fa90-4b80-84d7-9c47e613eed9,_auth_generate-otp,application,2026-01-04 03:18:40.999000+05:30,2026-01-04,Sunday,'03:18:40.999000
c473172f-fa90-4b80-84d7-9c47e613eed9,get_otp,application,2026-01-04 03:18:41.010000+05:30,2026-01-04,Sunday,'03:18:41.010000
c473172f-fa90-4b80-84d7-9c47e613eed9,Onboarding_signup_,application,2026-01-04 03:18:41.025000+05:30,2026-01-04,Sunday,'03:18:41.025000
c473172f-fa90-4b80-84d7-9c47e613eed9,verify_otp,application,2026-01-04 03:19:20.005000+05:30,2026-01-04,Sunday,'03:19:20.005000
c473172f-fa90-4b80-84d7-9c47e613eed9,_auth_verify-otp,application,2026-01-04 03:19:20.182000+05:30,2026-01-04,Sunday,'03:19:20.182000
c473172f-fa90-4b80-84d7-9c47e613eed9,enter_otp,application,2026-01-04 03:19:20.188000+05:30,2026-01-04,Sunday,'03:19:20.188000
c473172f-fa90-4b80-84d7-9c47e613eed9,User Login,system,2026-01-04 03:19:20.218000+05:30,2026-01-04,Sunday,'03:19:20.218000
c473172f-fa90-4b80-84d7-9c47e613eed9,login,application,2026-01-04 03:19:20.353000+05:30,2026-01-04,Sunday,'03:19:20.353000
c473172f-fa90-4b80-84d7-9c47e613eed9,_user,application,2026-01-04 03:19:20.428000+05:30,2026-01-04,Sunday,'03:19:20.428000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_from-town,application,2026-01-04 03:19:21.067000+05:30,2026-01-04,Sunday,'03:19:21.067000
c473172f-fa90-4b80-84d7-9c47e613eed9,Onboarding_Profile Saved,application,2026-01-04 03:19:23.639000+05:30,2026-01-04,Sunday,'03:19:23.639000
c473172f-fa90-4b80-84d7-9c47e613eed9,_user,application,2026-01-04 03:19:26.849000+05:30,2026-01-04,Sunday,'03:19:26.849000
c473172f-fa90-4b80-84d7-9c47e613eed9,_history_recommended-journey,application,2026-01-04 03:19:29.078000+05:30,2026-01-04,Sunday,'03:19:29.078000
c473172f-fa90-4b80-84d7-9c47e613eed9,_user_device,application,2026-01-04 03:19:29.110000+05:30,2026-01-04,Sunday,'03:19:29.110000
c473172f-fa90-4b80-84d7-9c47e613eed9,_user,application,2026-01-04 03:19:29.153000+05:30,2026-01-04,Sunday,'03:19:29.153000
c473172f-fa90-4b80-84d7-9c47e613eed9,_ticket,application,2026-01-04 03:19:29.436000+05:30,2026-01-04,Sunday,'03:19:29.436000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_from-town,application,2026-01-04 03:19:29.462000+05:30,2026-01-04,Sunday,'03:19:29.462000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_special-town-search,application,2026-01-04 03:19:29.696000+05:30,2026-01-04,Sunday,'03:19:29.696000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_elastic-town-search,application,2026-01-04 03:19:32.186000+05:30,2026-01-04,Sunday,'03:19:32.186000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_special-town-search,application,2026-01-04 03:19:48.603000+05:30,2026-01-04,Sunday,'03:19:48.603000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_elastic-town-search,application,2026-01-04 03:19:48.789000+05:30,2026-01-04,Sunday,'03:19:48.789000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_special-town-search,application,2026-01-04 03:20:30.179000+05:30,2026-01-04,Sunday,'03:20:30.179000
c473172f-fa90-4b80-84d7-9c47e613eed9,_location_elastic-town-search,application,2026-01-04 03:20:30.316000+05:30,2026-01-04,Sunday,'03:20:30.316000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_date change,application,2026-01-04 03:20:40.322000+05:30,2026-01-04,Sunday,'03:20:40.322000
c473172f-fa90-4b80-84d7-9c47e613eed9,_user,application,2026-01-04 03:20:40.550000+05:30,2026-01-04,Sunday,'03:20:40.550000
c473172f-fa90-4b80-84d7-9c47e613eed9,pageview_bus_list,application,2026-01-04 03:20:40.556000+05:30,2026-01-04,Sunday,'03:20:40.556000
c473172f-fa90-4b80-84d7-9c47e613eed9,_bus-search_user-bus-search,application,2026-01-04 03:20:40.562000+05:30,2026-01-04,Sunday,'03:20:40.562000
c473172f-fa90-4b80-84d7-9c47e613eed9,_bus-search_list,application,2026-01-04 03:20:42.311000+05:30,2026-01-04,Sunday,'03:20:42.311000
c473172f-fa90-4b80-84d7-9c47e613eed9,_rewards_best-V2,application,2026-01-04 03:20:42.814000+05:30,2026-01-04,Sunday,'03:20:42.814000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_date change,application,2026-01-04 03:20:42.841000+05:30,2026-01-04,Sunday,'03:20:42.841000
c473172f-fa90-4b80-84d7-9c47e613eed9,bus_search,application,2026-01-04 03:20:42.854000+05:30,2026-01-04,Sunday,'03:20:42.854000
c473172f-fa90-4b80-84d7-9c47e613eed9,bus_result,application,2026-01-04 03:20:42.867000+05:30,2026-01-04,Sunday,'03:20:42.867000
c473172f-fa90-4b80-84d7-9c47e613eed9,Journey Started,system,2026-01-04 03:20:42.980000+05:30,2026-01-04,Sunday,'03:20:42.980000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_Live Chat Icon,application,2026-01-04 03:20:52.701000+05:30,2026-01-04,Sunday,'03:20:52.701000
c473172f-fa90-4b80-84d7-9c47e613eed9,enquire_now,application,2026-01-04 03:20:52.773000+05:30,2026-01-04,Sunday,'03:20:52.773000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_date change,application,2026-01-04 03:21:03.859000+05:30,2026-01-04,Sunday,'03:21:03.859000
c473172f-fa90-4b80-84d7-9c47e613eed9,_user,application,2026-01-04 03:21:04.237000+05:30,2026-01-04,Sunday,'03:21:04.237000
c473172f-fa90-4b80-84d7-9c47e613eed9,_bus-search_user-bus-search,application,2026-01-04 03:21:04.248000+05:30,2026-01-04,Sunday,'03:21:04.248000
c473172f-fa90-4b80-84d7-9c47e613eed9,pageview_bus_list,application,2026-01-04 03:21:04.281000+05:30,2026-01-04,Sunday,'03:21:04.281000
c473172f-fa90-4b80-84d7-9c47e613eed9,_bus-search_list,application,2026-01-04 03:21:06.441000+05:30,2026-01-04,Sunday,'03:21:06.441000
c473172f-fa90-4b80-84d7-9c47e613eed9,_rewards_best-V2,application,2026-01-04 03:21:06.647000+05:30,2026-01-04,Sunday,'03:21:06.647000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_date change,application,2026-01-04 03:21:06.660000+05:30,2026-01-04,Sunday,'03:21:06.660000
c473172f-fa90-4b80-84d7-9c47e613eed9,bus_search,application,2026-01-04 03:21:06.668000+05:30,2026-01-04,Sunday,'03:21:06.668000
c473172f-fa90-4b80-84d7-9c47e613eed9,bus_result,application,2026-01-04 03:21:06.675000+05:30,2026-01-04,Sunday,'03:21:06.675000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_Live Chat Icon,application,2026-01-04 03:21:12.243000+05:30,2026-01-04,Sunday,'03:21:12.243000
c473172f-fa90-4b80-84d7-9c47e613eed9,enquire_now,application,2026-01-04 03:21:12.308000+05:30,2026-01-04,Sunday,'03:21:12.308000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_date change,application,2026-01-04 03:21:40.630000+05:30,2026-01-04,Sunday,'03:21:40.630000
c473172f-fa90-4b80-84d7-9c47e613eed9,_user,application,2026-01-04 03:21:40.811000+05:30,2026-01-04,Sunday,'03:21:40.811000
c473172f-fa90-4b80-84d7-9c47e613eed9,pageview_bus_list,application,2026-01-04 03:21:40.961000+05:30,2026-01-04,Sunday,'03:21:40.961000
c473172f-fa90-4b80-84d7-9c47e613eed9,_bus-search_user-bus-search,application,2026-01-04 03:21:40.973000+05:30,2026-01-04,Sunday,'03:21:40.973000
c473172f-fa90-4b80-84d7-9c47e613eed9,_bus-search_list,application,2026-01-04 03:21:43.097000+05:30,2026-01-04,Sunday,'03:21:43.097000
c473172f-fa90-4b80-84d7-9c47e613eed9,_rewards_best-V2,application,2026-01-04 03:21:43.204000+05:30,2026-01-04,Sunday,'03:21:43.204000
c473172f-fa90-4b80-84d7-9c47e613eed9,Buslist_date change,application,2026-01-04 03:21:43.216000+05:30,2026-01-04,Sunday,'03:21:43.216000
c473172f-fa90-4b80-84d7-9c47e613eed9,bus_search,application,2026-01-04 03:21:43.230000+05:30,2026-01-04,Sunday,'03:21:43.230000
c473172f-fa90-4b80-84d7-9c47e613eed9,bus_result,application,2026-01-04 03:21:43.238000+05:30,2026-01-04,Sunday,'03:21:43.238000
c473172f-fa90-4b80-84d7-9c47e613eed9,Session Started,system,2026-01-04 03:23:16.656000+05:30,2026-01-04,Sunday,'03:23:16.656000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Failure,system,2026-01-04 03:36:08.480000+05:30,2026-01-04,Sunday,'03:36:08.480000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Subscribe Process - Device Registered (Push),system,2026-01-04 07:54:36.958000+05:30,2026-01-04,Sunday,'07:54:36.958000
c473172f-fa90-4b80-84d7-9c47e613eed9,Journey Ended,system,2026-01-04 09:36:22.749000+05:30,2026-01-04,Sunday,'09:36:22.749000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Sent,system,2026-01-04 13:00:21.591000+05:30,2026-01-04,Sunday,'13:00:21.591000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Delivered,system,2026-01-04 13:00:22.516000+05:30,2026-01-04,Sunday,'13:00:22.516000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Impression,system,2026-01-04 13:00:22.547000+05:30,2026-01-04,Sunday,'13:00:22.547000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Dismiss,system,2026-01-04 15:21:34.940000+05:30,2026-01-04,Sunday,'15:21:34.940000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Sent,system,2026-01-05 03:18:50.500000+05:30,2026-01-05,Monday,'03:18:50.500000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Delivered,system,2026-01-05 09:37:22.067000+05:30,2026-01-05,Monday,'09:37:22.067000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Impression,system,2026-01-05 09:37:22.095000+05:30,2026-01-05,Monday,'09:37:22.095000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Dismiss,system,2026-01-05 14:37:12.817000+05:30,2026-01-05,Monday,'14:37:12.817000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Sent,system,2026-01-05 17:59:38.980000+05:30,2026-01-05,Monday,'17:59:38.980000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Delivered,system,2026-01-05 17:59:40.044000+05:30,2026-01-05,Monday,'17:59:40.044000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Impression,system,2026-01-05 17:59:40.059000+05:30,2026-01-05,Monday,'17:59:40.059000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Dismiss,system,2026-01-05 18:25:51.890000+05:30,2026-01-05,Monday,'18:25:51.890000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Sent,system,2026-01-06 03:19:20.469000+05:30,2026-01-06,Tuesday,'03:19:20.469000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Delivered,system,2026-01-06 03:19:21.687000+05:30,2026-01-06,Tuesday,'03:19:21.687000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Impression,system,2026-01-06 03:19:21.753000+05:30,2026-01-06,Tuesday,'03:19:21.753000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Sent,system,2026-01-06 12:59:39.732000+05:30,2026-01-06,Tuesday,'12:59:39.732000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Delivered,system,2026-01-06 12:59:41.503000+05:30,2026-01-06,Tuesday,'12:59:41.503000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Impression,system,2026-01-06 12:59:41.529000+05:30,2026-01-06,Tuesday,'12:59:41.529000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Dismiss,system,2026-01-06 13:55:00.581000+05:30,2026-01-06,Tuesday,'13:55:00.581000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Sent,system,2026-01-07 03:19:49.380000+05:30,2026-01-07,Wednesday,'03:19:49.380000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Delivered,system,2026-01-07 10:04:44.443000+05:30,2026-01-07,Wednesday,'10:04:44.443000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Impression,system,2026-01-07 10:04:44.711000+05:30,2026-01-07,Wednesday,'10:04:44.711000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Dismiss,system,2026-01-07 10:16:27.211000+05:30,2026-01-07,Wednesday,'10:16:27.211000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Sent,system,2026-01-07 18:05:09.206000+05:30,2026-01-07,Wednesday,'18:05:09.206000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Delivered,system,2026-01-07 18:05:10.608000+05:30,2026-01-07,Wednesday,'18:05:10.608000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Impression,system,2026-01-07 18:05:10.645000+05:30,2026-01-07,Wednesday,'18:05:10.645000
c473172f-fa90-4b80-84d7-9c47e613eed9,Push Dismiss,system,2026-01-07 18:43:06.807000+05:30,2026-01-07,Wednesday,'18:43:06.807000
