user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c5d737d2-9e85-4631-be78-d342d030e292,DeviceInfo,application,2026-01-05 07:25:54.712000+05:30,2026-01-05,Monday,'07:25:54.712000
c5d737d2-9e85-4631-be78-d342d030e292,Session Started,system,2026-01-05 07:25:55.193000+05:30,2026-01-05,Monday,'07:25:55.193000
c5d737d2-9e85-4631-be78-d342d030e292,App Installed,system,2026-01-05 07:25:55.266000+05:30,2026-01-05,Monday,'07:25:55.266000
c5d737d2-9e85-4631-be78-d342d030e292,Push Subscribe Process - Device Registered (Push),system,2026-01-05 07:25:55.451000+05:30,2026-01-05,Monday,'07:25:55.451000
c5d737d2-9e85-4631-be78-d342d030e292,Journey Started,system,2026-01-05 07:25:55.729000+05:30,2026-01-05,Monday,'07:25:55.729000
c5d737d2-9e85-4631-be78-d342d030e292,app_start,application,2026-01-05 07:25:56.123000+05:30,2026-01-05,Monday,'07:25:56.123000
c5d737d2-9e85-4631-be78-d342d030e292,choose_language,application,2026-01-05 07:26:08.149000+05:30,2026-01-05,Monday,'07:26:08.149000
c5d737d2-9e85-4631-be78-d342d030e292,Onboarding_Language,application,2026-01-05 07:26:08.172000+05:30,2026-01-05,Monday,'07:26:08.172000
c5d737d2-9e85-4631-be78-d342d030e292,generate_otp,application,2026-01-05 07:26:21.128000+05:30,2026-01-05,Monday,'07:26:21.128000
c5d737d2-9e85-4631-be78-d342d030e292,Onboarding_get_otp,application,2026-01-05 07:26:21.158000+05:30,2026-01-05,Monday,'07:26:21.158000
c5d737d2-9e85-4631-be78-d342d030e292,Journey Ended,system,2026-01-05 07:26:21.698000+05:30,2026-01-05,Monday,'07:26:21.698000
c5d737d2-9e85-4631-be78-d342d030e292,Journey Started,system,2026-01-05 07:26:21.698000+05:30,2026-01-05,Monday,'07:26:21.698000
c5d737d2-9e85-4631-be78-d342d030e292,_auth_generate-otp,application,2026-01-05 07:26:21.978000+05:30,2026-01-05,Monday,'07:26:21.978000
c5d737d2-9e85-4631-be78-d342d030e292,get_otp,application,2026-01-05 07:26:21.986000+05:30,2026-01-05,Monday,'07:26:21.986000
c5d737d2-9e85-4631-be78-d342d030e292,Onboarding_signup_,application,2026-01-05 07:26:22.028000+05:30,2026-01-05,Monday,'07:26:22.028000
c5d737d2-9e85-4631-be78-d342d030e292,verify_otp,application,2026-01-05 07:26:25.040000+05:30,2026-01-05,Monday,'07:26:25.040000
c5d737d2-9e85-4631-be78-d342d030e292,_auth_verify-otp,application,2026-01-05 07:26:25.338000+05:30,2026-01-05,Monday,'07:26:25.338000
c5d737d2-9e85-4631-be78-d342d030e292,enter_otp,application,2026-01-05 07:26:25.365000+05:30,2026-01-05,Monday,'07:26:25.365000
c5d737d2-9e85-4631-be78-d342d030e292,User Login,system,2026-01-05 07:26:25.436000+05:30,2026-01-05,Monday,'07:26:25.436000
c5d737d2-9e85-4631-be78-d342d030e292,login,application,2026-01-05 07:26:25.609000+05:30,2026-01-05,Monday,'07:26:25.609000
c5d737d2-9e85-4631-be78-d342d030e292,_user,application,2026-01-05 07:26:25.717000+05:30,2026-01-05,Monday,'07:26:25.717000
c5d737d2-9e85-4631-be78-d342d030e292,_location_from-town,application,2026-01-05 07:26:26.114000+05:30,2026-01-05,Monday,'07:26:26.114000
c5d737d2-9e85-4631-be78-d342d030e292,Onboarding_Profile Saved,application,2026-01-05 07:26:29.504000+05:30,2026-01-05,Monday,'07:26:29.504000
c5d737d2-9e85-4631-be78-d342d030e292,_user,application,2026-01-05 07:26:31.862000+05:30,2026-01-05,Monday,'07:26:31.862000
c5d737d2-9e85-4631-be78-d342d030e292,_history_recommended-journey,application,2026-01-05 07:26:33.760000+05:30,2026-01-05,Monday,'07:26:33.760000
c5d737d2-9e85-4631-be78-d342d030e292,_location_from-town,application,2026-01-05 07:26:33.770000+05:30,2026-01-05,Monday,'07:26:33.770000
c5d737d2-9e85-4631-be78-d342d030e292,_user_device,application,2026-01-05 07:26:33.785000+05:30,2026-01-05,Monday,'07:26:33.785000
c5d737d2-9e85-4631-be78-d342d030e292,_user,application,2026-01-05 07:26:33.880000+05:30,2026-01-05,Monday,'07:26:33.880000
c5d737d2-9e85-4631-be78-d342d030e292,_location_special-town-search,application,2026-01-05 07:26:33.980000+05:30,2026-01-05,Monday,'07:26:33.980000
c5d737d2-9e85-4631-be78-d342d030e292,_ticket,application,2026-01-05 07:26:34.078000+05:30,2026-01-05,Monday,'07:26:34.078000
c5d737d2-9e85-4631-be78-d342d030e292,_location_special-town-search,application,2026-01-05 07:26:39.343000+05:30,2026-01-05,Monday,'07:26:39.343000
c5d737d2-9e85-4631-be78-d342d030e292,_location_elastic-town-search,application,2026-01-05 07:26:39.519000+05:30,2026-01-05,Monday,'07:26:39.519000
c5d737d2-9e85-4631-be78-d342d030e292,_location_special-town-search,application,2026-01-05 07:27:02.531000+05:30,2026-01-05,Monday,'07:27:02.531000
c5d737d2-9e85-4631-be78-d342d030e292,_location_elastic-town-search,application,2026-01-05 07:27:02.685000+05:30,2026-01-05,Monday,'07:27:02.685000
c5d737d2-9e85-4631-be78-d342d030e292,_location_special-town-search,application,2026-01-05 07:27:18.254000+05:30,2026-01-05,Monday,'07:27:18.254000
c5d737d2-9e85-4631-be78-d342d030e292,_location_elastic-town-search,application,2026-01-05 07:27:18.497000+05:30,2026-01-05,Monday,'07:27:18.497000
c5d737d2-9e85-4631-be78-d342d030e292,Buslist_date change,application,2026-01-05 07:27:30.256000+05:30,2026-01-05,Monday,'07:27:30.256000
c5d737d2-9e85-4631-be78-d342d030e292,_user,application,2026-01-05 07:27:30.659000+05:30,2026-01-05,Monday,'07:27:30.659000
c5d737d2-9e85-4631-be78-d342d030e292,pageview_bus_list,application,2026-01-05 07:27:30.690000+05:30,2026-01-05,Monday,'07:27:30.690000
c5d737d2-9e85-4631-be78-d342d030e292,_bus-search_user-bus-search,application,2026-01-05 07:27:30.704000+05:30,2026-01-05,Monday,'07:27:30.704000
c5d737d2-9e85-4631-be78-d342d030e292,_bus-search_list,application,2026-01-05 07:27:31.942000+05:30,2026-01-05,Monday,'07:27:31.942000
c5d737d2-9e85-4631-be78-d342d030e292,_rewards_best-V2,application,2026-01-05 07:27:32.682000+05:30,2026-01-05,Monday,'07:27:32.682000
c5d737d2-9e85-4631-be78-d342d030e292,Buslist_date change,application,2026-01-05 07:27:32.696000+05:30,2026-01-05,Monday,'07:27:32.696000
c5d737d2-9e85-4631-be78-d342d030e292,bus_search,application,2026-01-05 07:27:32.725000+05:30,2026-01-05,Monday,'07:27:32.725000
c5d737d2-9e85-4631-be78-d342d030e292,bus_result,application,2026-01-05 07:27:32.738000+05:30,2026-01-05,Monday,'07:27:32.738000
c5d737d2-9e85-4631-be78-d342d030e292,Journey Started,system,2026-01-05 07:27:33.093000+05:30,2026-01-05,Monday,'07:27:33.093000
c5d737d2-9e85-4631-be78-d342d030e292,Buslist_Live Chat Icon,application,2026-01-05 07:27:51.021000+05:30,2026-01-05,Monday,'07:27:51.021000
c5d737d2-9e85-4631-be78-d342d030e292,enquire_now,application,2026-01-05 07:27:51.135000+05:30,2026-01-05,Monday,'07:27:51.135000
c5d737d2-9e85-4631-be78-d342d030e292,Push Failure,system,2026-01-05 07:42:50.389000+05:30,2026-01-05,Monday,'07:42:50.389000
c5d737d2-9e85-4631-be78-d342d030e292,Session Started,system,2026-01-05 07:43:56.185000+05:30,2026-01-05,Monday,'07:43:56.185000
c5d737d2-9e85-4631-be78-d342d030e292,_user,application,2026-01-05 07:44:03.838000+05:30,2026-01-05,Monday,'07:44:03.838000
c5d737d2-9e85-4631-be78-d342d030e292,_history_recommended-journey,application,2026-01-05 07:44:03.854000+05:30,2026-01-05,Monday,'07:44:03.854000
c5d737d2-9e85-4631-be78-d342d030e292,_location_from-town,application,2026-01-05 07:44:04.041000+05:30,2026-01-05,Monday,'07:44:04.041000
c5d737d2-9e85-4631-be78-d342d030e292,_user,application,2026-01-05 07:44:04.095000+05:30,2026-01-05,Monday,'07:44:04.095000
c5d737d2-9e85-4631-be78-d342d030e292,_ticket,application,2026-01-05 07:44:04.369000+05:30,2026-01-05,Monday,'07:44:04.369000
c5d737d2-9e85-4631-be78-d342d030e292,_location_special-town-search,application,2026-01-05 07:44:04.400000+05:30,2026-01-05,Monday,'07:44:04.400000
c5d737d2-9e85-4631-be78-d342d030e292,_location_elastic-town-search,application,2026-01-05 07:44:08.917000+05:30,2026-01-05,Monday,'07:44:08.917000
c5d737d2-9e85-4631-be78-d342d030e292,_location_special-town-search,application,2026-01-05 07:44:23.260000+05:30,2026-01-05,Monday,'07:44:23.260000
