user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c70675f4-169b-4bd7-887f-81dfe006cadd,DeviceInfo,application,2026-01-14 11:51:15.644000+05:30,2026-01-14,Wednesday,'11:51:15.644000
c70675f4-169b-4bd7-887f-81dfe006cadd,Session Started,system,2026-01-14 11:51:16.044000+05:30,2026-01-14,Wednesday,'11:51:16.044000
c70675f4-169b-4bd7-887f-81dfe006cadd,App Installed,system,2026-01-14 11:51:16.092000+05:30,2026-01-14,Wednesday,'11:51:16.092000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Started,system,2026-01-14 11:51:16.457000+05:30,2026-01-14,Wednesday,'11:51:16.457000
c70675f4-169b-4bd7-887f-81dfe006cadd,app_start,application,2026-01-14 11:51:16.733000+05:30,2026-01-14,Wednesday,'11:51:16.733000
c70675f4-169b-4bd7-887f-81dfe006cadd,Push Subscribe Process - Device Registered (Push),system,2026-01-14 11:51:17.261000+05:30,2026-01-14,Wednesday,'11:51:17.261000
c70675f4-169b-4bd7-887f-81dfe006cadd,choose_language,application,2026-01-14 11:51:23.400000+05:30,2026-01-14,Wednesday,'11:51:23.400000
c70675f4-169b-4bd7-887f-81dfe006cadd,Onboarding_Language,application,2026-01-14 11:51:23.407000+05:30,2026-01-14,Wednesday,'11:51:23.407000
c70675f4-169b-4bd7-887f-81dfe006cadd,generate_otp,application,2026-01-14 11:51:32.152000+05:30,2026-01-14,Wednesday,'11:51:32.152000
c70675f4-169b-4bd7-887f-81dfe006cadd,Onboarding_get_otp,application,2026-01-14 11:51:32.210000+05:30,2026-01-14,Wednesday,'11:51:32.210000
c70675f4-169b-4bd7-887f-81dfe006cadd,_auth_generate-otp,application,2026-01-14 11:51:33.093000+05:30,2026-01-14,Wednesday,'11:51:33.093000
c70675f4-169b-4bd7-887f-81dfe006cadd,get_otp,application,2026-01-14 11:51:33.117000+05:30,2026-01-14,Wednesday,'11:51:33.117000
c70675f4-169b-4bd7-887f-81dfe006cadd,Onboarding_signup_,application,2026-01-14 11:51:33.125000+05:30,2026-01-14,Wednesday,'11:51:33.125000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Started,system,2026-01-14 11:51:33.202000+05:30,2026-01-14,Wednesday,'11:51:33.202000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Ended,system,2026-01-14 11:51:33.202000+05:30,2026-01-14,Wednesday,'11:51:33.202000
c70675f4-169b-4bd7-887f-81dfe006cadd,verify_otp,application,2026-01-14 11:51:35.889000+05:30,2026-01-14,Wednesday,'11:51:35.889000
c70675f4-169b-4bd7-887f-81dfe006cadd,_auth_verify-otp,application,2026-01-14 11:51:36.137000+05:30,2026-01-14,Wednesday,'11:51:36.137000
c70675f4-169b-4bd7-887f-81dfe006cadd,enter_otp,application,2026-01-14 11:51:36.168000+05:30,2026-01-14,Wednesday,'11:51:36.168000
c70675f4-169b-4bd7-887f-81dfe006cadd,User Login,system,2026-01-14 11:51:36.279000+05:30,2026-01-14,Wednesday,'11:51:36.279000
c70675f4-169b-4bd7-887f-81dfe006cadd,login,application,2026-01-14 11:51:36.518000+05:30,2026-01-14,Wednesday,'11:51:36.518000
c70675f4-169b-4bd7-887f-81dfe006cadd,_user,application,2026-01-14 11:51:36.670000+05:30,2026-01-14,Wednesday,'11:51:36.670000
c70675f4-169b-4bd7-887f-81dfe006cadd,_location_from-town,application,2026-01-14 11:51:37.222000+05:30,2026-01-14,Wednesday,'11:51:37.222000
c70675f4-169b-4bd7-887f-81dfe006cadd,Onboarding_Profile Saved,application,2026-01-14 11:51:48.940000+05:30,2026-01-14,Wednesday,'11:51:48.940000
c70675f4-169b-4bd7-887f-81dfe006cadd,_user,application,2026-01-14 11:51:56.824000+05:30,2026-01-14,Wednesday,'11:51:56.824000
c70675f4-169b-4bd7-887f-81dfe006cadd,_history_recommended-journey,application,2026-01-14 11:51:58.594000+05:30,2026-01-14,Wednesday,'11:51:58.594000
c70675f4-169b-4bd7-887f-81dfe006cadd,_user_device,application,2026-01-14 11:51:58.717000+05:30,2026-01-14,Wednesday,'11:51:58.717000
c70675f4-169b-4bd7-887f-81dfe006cadd,_user,application,2026-01-14 11:51:58.729000+05:30,2026-01-14,Wednesday,'11:51:58.729000
c70675f4-169b-4bd7-887f-81dfe006cadd,_location_from-town,application,2026-01-14 11:51:58.743000+05:30,2026-01-14,Wednesday,'11:51:58.743000
c70675f4-169b-4bd7-887f-81dfe006cadd,_ticket,application,2026-01-14 11:51:59.013000+05:30,2026-01-14,Wednesday,'11:51:59.013000
c70675f4-169b-4bd7-887f-81dfe006cadd,_location_special-town-search,application,2026-01-14 11:51:59.046000+05:30,2026-01-14,Wednesday,'11:51:59.046000
c70675f4-169b-4bd7-887f-81dfe006cadd,_location_elastic-town-search,application,2026-01-14 11:52:02.718000+05:30,2026-01-14,Wednesday,'11:52:02.718000
c70675f4-169b-4bd7-887f-81dfe006cadd,_location_special-town-search,application,2026-01-14 11:52:25.844000+05:30,2026-01-14,Wednesday,'11:52:25.844000
c70675f4-169b-4bd7-887f-81dfe006cadd,_location_elastic-town-search,application,2026-01-14 11:52:28.574000+05:30,2026-01-14,Wednesday,'11:52:28.574000
c70675f4-169b-4bd7-887f-81dfe006cadd,Buslist_date change,application,2026-01-14 11:52:37.404000+05:30,2026-01-14,Wednesday,'11:52:37.404000
c70675f4-169b-4bd7-887f-81dfe006cadd,_user,application,2026-01-14 11:52:37.565000+05:30,2026-01-14,Wednesday,'11:52:37.565000
c70675f4-169b-4bd7-887f-81dfe006cadd,pageview_bus_list,application,2026-01-14 11:52:37.587000+05:30,2026-01-14,Wednesday,'11:52:37.587000
c70675f4-169b-4bd7-887f-81dfe006cadd,_bus-search_user-bus-search,application,2026-01-14 11:52:37.656000+05:30,2026-01-14,Wednesday,'11:52:37.656000
c70675f4-169b-4bd7-887f-81dfe006cadd,_bus-search_list,application,2026-01-14 11:52:46.426000+05:30,2026-01-14,Wednesday,'11:52:46.426000
c70675f4-169b-4bd7-887f-81dfe006cadd,_rewards_best-V2,application,2026-01-14 11:52:47.211000+05:30,2026-01-14,Wednesday,'11:52:47.211000
c70675f4-169b-4bd7-887f-81dfe006cadd,Buslist_date change,application,2026-01-14 11:52:47.236000+05:30,2026-01-14,Wednesday,'11:52:47.236000
c70675f4-169b-4bd7-887f-81dfe006cadd,bus_search,application,2026-01-14 11:52:47.949000+05:30,2026-01-14,Wednesday,'11:52:47.949000
c70675f4-169b-4bd7-887f-81dfe006cadd,bus_result,application,2026-01-14 11:52:47.965000+05:30,2026-01-14,Wednesday,'11:52:47.965000
c70675f4-169b-4bd7-887f-81dfe006cadd,Buslist_bus_selection,application,2026-01-14 11:53:11.041000+05:30,2026-01-14,Wednesday,'11:53:11.041000
c70675f4-169b-4bd7-887f-81dfe006cadd,bus_detail,application,2026-01-14 11:53:11.073000+05:30,2026-01-14,Wednesday,'11:53:11.073000
c70675f4-169b-4bd7-887f-81dfe006cadd,pageview_seat_selection,application,2026-01-14 11:53:11.181000+05:30,2026-01-14,Wednesday,'11:53:11.181000
c70675f4-169b-4bd7-887f-81dfe006cadd,SeatSelection_Click On Back,application,2026-01-14 11:53:11.194000+05:30,2026-01-14,Wednesday,'11:53:11.194000
c70675f4-169b-4bd7-887f-81dfe006cadd,_bus-search_v2_layout,application,2026-01-14 11:53:11.466000+05:30,2026-01-14,Wednesday,'11:53:11.466000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Started,system,2026-01-14 11:53:11.485000+05:30,2026-01-14,Wednesday,'11:53:11.485000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Ended,system,2026-01-14 11:53:11.508000+05:30,2026-01-14,Wednesday,'11:53:11.508000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Started,system,2026-01-14 11:53:11.510000+05:30,2026-01-14,Wednesday,'11:53:11.510000
c70675f4-169b-4bd7-887f-81dfe006cadd,_profile,application,2026-01-14 11:53:12.234000+05:30,2026-01-14,Wednesday,'11:53:12.234000
c70675f4-169b-4bd7-887f-81dfe006cadd,select_seat,application,2026-01-14 11:53:13.971000+05:30,2026-01-14,Wednesday,'11:53:13.971000
c70675f4-169b-4bd7-887f-81dfe006cadd,Buslist_bus_selection,application,2026-01-14 11:53:28.848000+05:30,2026-01-14,Wednesday,'11:53:28.848000
c70675f4-169b-4bd7-887f-81dfe006cadd,bus_detail,application,2026-01-14 11:53:28.869000+05:30,2026-01-14,Wednesday,'11:53:28.869000
c70675f4-169b-4bd7-887f-81dfe006cadd,pageview_seat_selection,application,2026-01-14 11:53:28.944000+05:30,2026-01-14,Wednesday,'11:53:28.944000
c70675f4-169b-4bd7-887f-81dfe006cadd,SeatSelection_Click On Back,application,2026-01-14 11:53:28.965000+05:30,2026-01-14,Wednesday,'11:53:28.965000
c70675f4-169b-4bd7-887f-81dfe006cadd,_bus-search_v2_layout,application,2026-01-14 11:53:29.143000+05:30,2026-01-14,Wednesday,'11:53:29.143000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Ended,system,2026-01-14 11:53:29.230000+05:30,2026-01-14,Wednesday,'11:53:29.230000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Started,system,2026-01-14 11:53:29.394000+05:30,2026-01-14,Wednesday,'11:53:29.394000
c70675f4-169b-4bd7-887f-81dfe006cadd,_profile,application,2026-01-14 11:53:29.670000+05:30,2026-01-14,Wednesday,'11:53:29.670000
c70675f4-169b-4bd7-887f-81dfe006cadd,select_seat,application,2026-01-14 11:53:30.980000+05:30,2026-01-14,Wednesday,'11:53:30.980000
c70675f4-169b-4bd7-887f-81dfe006cadd,Journey Ended,system,2026-01-14 11:53:36.052000+05:30,2026-01-14,Wednesday,'11:53:36.052000
c70675f4-169b-4bd7-887f-81dfe006cadd,Push Failure,system,2026-01-15 11:51:45.025000+05:30,2026-01-15,Thursday,'11:51:45.025000
