user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ca26b258-734f-4b7c-922e-93b1e2dd4205,App Installed,system,2026-01-01 14:57:22.091000+05:30,2026-01-01,Thursday,'14:57:22.091000
ca26b258-734f-4b7c-922e-93b1e2dd4205,DeviceInfo,application,2026-01-01 14:57:21.807000+05:30,2026-01-01,Thursday,'14:57:21.807000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Journey Ended,system,2026-01-01 14:57:44.255000+05:30,2026-01-01,Thursday,'14:57:44.255000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Journey Started,system,2026-01-01 14:57:23.090000+05:30,2026-01-01,Thursday,'14:57:23.090000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Journey Started,system,2026-01-01 14:57:44.255000+05:30,2026-01-01,Thursday,'14:57:44.255000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Onboarding_Language,application,2026-01-01 14:57:24.948000+05:30,2026-01-01,Thursday,'14:57:24.948000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Onboarding_Profile Saved,application,2026-01-01 14:57:54.988000+05:30,2026-01-01,Thursday,'14:57:54.988000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Onboarding_backpressed,application,2026-01-01 14:57:48.561000+05:30,2026-01-01,Thursday,'14:57:48.561000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Onboarding_get_otp,application,2026-01-01 14:57:43.132000+05:30,2026-01-01,Thursday,'14:57:43.132000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Onboarding_signup_,application,2026-01-01 14:57:43.982000+05:30,2026-01-01,Thursday,'14:57:43.982000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-02 14:57:34.843000+05:30,2026-01-02,Friday,'14:57:34.843000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-03 14:57:46.118000+05:30,2026-01-03,Saturday,'14:57:46.118000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-04 14:57:55.507000+05:30,2026-01-04,Sunday,'14:57:55.507000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-05 14:58:23.077000+05:30,2026-01-05,Monday,'14:58:23.077000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-06 14:58:52.931000+05:30,2026-01-06,Tuesday,'14:58:52.931000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-08 14:59:22.106000+05:30,2026-01-08,Thursday,'14:59:22.106000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-10 14:59:48.625000+05:30,2026-01-10,Saturday,'14:59:48.625000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-12 15:00:17.267000+05:30,2026-01-12,Monday,'15:00:17.267000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-14 15:00:27.260000+05:30,2026-01-14,Wednesday,'15:00:27.260000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Failure,system,2026-01-16 15:00:49.916000+05:30,2026-01-16,Friday,'15:00:49.916000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Push Subscribe Process - Device Registered (Push),system,2026-01-01 14:57:23.922000+05:30,2026-01-01,Thursday,'14:57:23.922000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Session Started,system,2026-01-01 14:57:22.060000+05:30,2026-01-01,Thursday,'14:57:22.060000
ca26b258-734f-4b7c-922e-93b1e2dd4205,Session Started,system,2026-01-01 15:35:14.029000+05:30,2026-01-01,Thursday,'15:35:14.029000
ca26b258-734f-4b7c-922e-93b1e2dd4205,User Login,system,2026-01-01 14:57:46.363000+05:30,2026-01-01,Thursday,'14:57:46.363000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_auth_generate-otp,application,2026-01-01 14:57:43.953000+05:30,2026-01-01,Thursday,'14:57:43.953000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_auth_verify-otp,application,2026-01-01 14:57:46.328000+05:30,2026-01-01,Thursday,'14:57:46.328000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_history_recommended-journey,application,2026-01-01 14:57:58.864000+05:30,2026-01-01,Thursday,'14:57:58.864000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_history_recommended-journey,application,2026-01-01 15:59:36.618000+05:30,2026-01-01,Thursday,'15:59:36.618000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:58:30.359000+05:30,2026-01-01,Thursday,'14:58:30.359000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:58:30.496000+05:30,2026-01-01,Thursday,'14:58:30.496000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:58:50.192000+05:30,2026-01-01,Thursday,'14:58:50.192000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:58:55.366000+05:30,2026-01-01,Thursday,'14:58:55.366000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:58:55.618000+05:30,2026-01-01,Thursday,'14:58:55.618000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:13.097000+05:30,2026-01-01,Thursday,'14:59:13.097000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:13.317000+05:30,2026-01-01,Thursday,'14:59:13.317000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:13.764000+05:30,2026-01-01,Thursday,'14:59:13.764000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:14.017000+05:30,2026-01-01,Thursday,'14:59:14.017000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:15.255000+05:30,2026-01-01,Thursday,'14:59:15.255000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:15.515000+05:30,2026-01-01,Thursday,'14:59:15.515000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:21.688000+05:30,2026-01-01,Thursday,'14:59:21.688000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_elastic-town-search,application,2026-01-01 14:59:21.862000+05:30,2026-01-01,Thursday,'14:59:21.862000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_from-town,application,2026-01-01 14:57:46.935000+05:30,2026-01-01,Thursday,'14:57:46.935000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_from-town,application,2026-01-01 14:57:59.131000+05:30,2026-01-01,Thursday,'14:57:59.131000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_from-town,application,2026-01-01 15:59:36.652000+05:30,2026-01-01,Thursday,'15:59:36.652000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_special-town-search,application,2026-01-01 14:57:59.378000+05:30,2026-01-01,Thursday,'14:57:59.378000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_special-town-search,application,2026-01-01 14:58:03.762000+05:30,2026-01-01,Thursday,'14:58:03.762000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_special-town-search,application,2026-01-01 14:59:07.666000+05:30,2026-01-01,Thursday,'14:59:07.666000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_location_special-town-search,application,2026-01-01 15:59:36.881000+05:30,2026-01-01,Thursday,'15:59:36.881000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_ticket,application,2026-01-01 14:57:59.371000+05:30,2026-01-01,Thursday,'14:57:59.371000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_ticket,application,2026-01-01 15:59:36.957000+05:30,2026-01-01,Thursday,'15:59:36.957000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_user,application,2026-01-01 14:57:46.590000+05:30,2026-01-01,Thursday,'14:57:46.590000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_user,application,2026-01-01 14:57:57.031000+05:30,2026-01-01,Thursday,'14:57:57.031000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_user,application,2026-01-01 14:57:58.839000+05:30,2026-01-01,Thursday,'14:57:58.839000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_user,application,2026-01-01 14:57:59.089000+05:30,2026-01-01,Thursday,'14:57:59.089000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_user,application,2026-01-01 15:59:36.594000+05:30,2026-01-01,Thursday,'15:59:36.594000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_user,application,2026-01-01 15:59:36.780000+05:30,2026-01-01,Thursday,'15:59:36.780000
ca26b258-734f-4b7c-922e-93b1e2dd4205,_user_device,application,2026-01-01 14:57:59.060000+05:30,2026-01-01,Thursday,'14:57:59.060000
ca26b258-734f-4b7c-922e-93b1e2dd4205,app_start,application,2026-01-01 14:57:22.632000+05:30,2026-01-01,Thursday,'14:57:22.632000
ca26b258-734f-4b7c-922e-93b1e2dd4205,choose_language,application,2026-01-01 14:57:24.895000+05:30,2026-01-01,Thursday,'14:57:24.895000
