user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
cac220b4-600a-46cf-9c75-4baf01bec178,App Installed,system,2026-01-04 04:14:36.154000+05:30,2026-01-04,Sunday,'04:14:36.154000
cac220b4-600a-46cf-9c75-4baf01bec178,DeviceInfo,application,2026-01-04 04:14:35.470000+05:30,2026-01-04,Sunday,'04:14:35.470000
cac220b4-600a-46cf-9c75-4baf01bec178,Journey Ended,system,2026-01-04 04:14:42.118000+05:30,2026-01-04,Sunday,'04:14:42.118000
cac220b4-600a-46cf-9c75-4baf01bec178,Journey Ended,system,2026-01-04 04:14:42.179000+05:30,2026-01-04,Sunday,'04:14:42.179000
cac220b4-600a-46cf-9c75-4baf01bec178,Journey Ended,system,2026-01-04 04:14:42.246000+05:30,2026-01-04,Sunday,'04:14:42.246000
cac220b4-600a-46cf-9c75-4baf01bec178,Journey Started,system,2026-01-04 04:14:37.132000+05:30,2026-01-04,Sunday,'04:14:37.132000
cac220b4-600a-46cf-9c75-4baf01bec178,Journey Started,system,2026-01-04 04:14:42.118000+05:30,2026-01-04,Sunday,'04:14:42.118000
cac220b4-600a-46cf-9c75-4baf01bec178,Journey Started,system,2026-01-04 04:14:42.179000+05:30,2026-01-04,Sunday,'04:14:42.179000
cac220b4-600a-46cf-9c75-4baf01bec178,Journey Started,system,2026-01-04 04:14:42.246000+05:30,2026-01-04,Sunday,'04:14:42.246000
cac220b4-600a-46cf-9c75-4baf01bec178,Onboarding_Language,application,2026-01-04 04:14:40.925000+05:30,2026-01-04,Sunday,'04:14:40.925000
cac220b4-600a-46cf-9c75-4baf01bec178,Onboarding_Language,application,2026-01-04 04:14:40.989000+05:30,2026-01-04,Sunday,'04:14:40.989000
cac220b4-600a-46cf-9c75-4baf01bec178,Onboarding_Language,application,2026-01-04 04:14:41.040000+05:30,2026-01-04,Sunday,'04:14:41.040000
cac220b4-600a-46cf-9c75-4baf01bec178,Onboarding_Language,application,2026-01-04 04:14:41.273000+05:30,2026-01-04,Sunday,'04:14:41.273000
cac220b4-600a-46cf-9c75-4baf01bec178,Onboarding_Profile Saved,application,2026-01-04 04:14:58.180000+05:30,2026-01-04,Sunday,'04:14:58.180000
cac220b4-600a-46cf-9c75-4baf01bec178,Onboarding_get_otp,application,2026-01-04 04:14:50.050000+05:30,2026-01-04,Sunday,'04:14:50.050000
cac220b4-600a-46cf-9c75-4baf01bec178,Onboarding_signup_,application,2026-01-04 04:14:51.044000+05:30,2026-01-04,Sunday,'04:14:51.044000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-05 04:14:49.936000+05:30,2026-01-05,Monday,'04:14:49.936000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-06 04:15:18.849000+05:30,2026-01-06,Tuesday,'04:15:18.849000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-07 04:15:49.030000+05:30,2026-01-07,Wednesday,'04:15:49.030000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-08 04:20:45.696000+05:30,2026-01-08,Thursday,'04:20:45.696000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-09 04:20:26.980000+05:30,2026-01-09,Friday,'04:20:26.980000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-11 04:20:43.291000+05:30,2026-01-11,Sunday,'04:20:43.291000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-13 04:21:13.138000+05:30,2026-01-13,Tuesday,'04:21:13.138000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-15 04:21:18.207000+05:30,2026-01-15,Thursday,'04:21:18.207000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Failure,system,2026-01-17 04:21:37.658000+05:30,2026-01-17,Saturday,'04:21:37.658000
cac220b4-600a-46cf-9c75-4baf01bec178,Push Subscribe Process - Device Registered (Push),system,2026-01-04 04:14:36.224000+05:30,2026-01-04,Sunday,'04:14:36.224000
cac220b4-600a-46cf-9c75-4baf01bec178,Session Started,system,2026-01-04 04:14:36.041000+05:30,2026-01-04,Sunday,'04:14:36.041000
cac220b4-600a-46cf-9c75-4baf01bec178,Session Started,system,2026-01-04 04:19:21.979000+05:30,2026-01-04,Sunday,'04:19:21.979000
cac220b4-600a-46cf-9c75-4baf01bec178,User Login,system,2026-01-04 04:14:56.180000+05:30,2026-01-04,Sunday,'04:14:56.180000
cac220b4-600a-46cf-9c75-4baf01bec178,_auth_generate-otp,application,2026-01-04 04:14:50.977000+05:30,2026-01-04,Sunday,'04:14:50.977000
cac220b4-600a-46cf-9c75-4baf01bec178,_auth_verify-otp,application,2026-01-04 04:14:56.100000+05:30,2026-01-04,Sunday,'04:14:56.100000
cac220b4-600a-46cf-9c75-4baf01bec178,_history_recommended-journey,application,2026-01-04 04:15:03.418000+05:30,2026-01-04,Sunday,'04:15:03.418000
cac220b4-600a-46cf-9c75-4baf01bec178,_history_recommended-journey,application,2026-01-04 04:19:29.491000+05:30,2026-01-04,Sunday,'04:19:29.491000
cac220b4-600a-46cf-9c75-4baf01bec178,_location_elastic-town-search,application,2026-01-04 04:15:07.985000+05:30,2026-01-04,Sunday,'04:15:07.985000
cac220b4-600a-46cf-9c75-4baf01bec178,_location_elastic-town-search,application,2026-01-04 04:15:10.686000+05:30,2026-01-04,Sunday,'04:15:10.686000
cac220b4-600a-46cf-9c75-4baf01bec178,_location_elastic-town-search,application,2026-01-04 04:15:14.297000+05:30,2026-01-04,Sunday,'04:15:14.297000
cac220b4-600a-46cf-9c75-4baf01bec178,_location_elastic-town-search,application,2026-01-04 04:15:15.286000+05:30,2026-01-04,Sunday,'04:15:15.286000
cac220b4-600a-46cf-9c75-4baf01bec178,_location_elastic-town-search,application,2026-01-04 04:15:15.588000+05:30,2026-01-04,Sunday,'04:15:15.588000
cac220b4-600a-46cf-9c75-4baf01bec178,_location_elastic-town-search,application,2026-01-04 04:15:15.855000+05:30,2026-01-04,Sunday,'04:15:15.855000
cac220b4-600a-46cf-9c75-4baf01bec178,_location_elastic-town-search,application,2026-01-04 04:15:16.392000+05:30,2026-01-04,Sunday,'04:15:16.392000
