user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
cb078d9c-3347-473a-826c-cdafd8156b26,DeviceInfo,application,2026-01-07 22:30:35.510000+05:30,2026-01-07,Wednesday,'22:30:35.510000
cb078d9c-3347-473a-826c-cdafd8156b26,Session Started,system,2026-01-07 22:30:35.810000+05:30,2026-01-07,Wednesday,'22:30:35.810000
cb078d9c-3347-473a-826c-cdafd8156b26,App Installed,system,2026-01-07 22:30:35.843000+05:30,2026-01-07,Wednesday,'22:30:35.843000
cb078d9c-3347-473a-826c-cdafd8156b26,app_start,application,2026-01-07 22:30:36.832000+05:30,2026-01-07,Wednesday,'22:30:36.832000
cb078d9c-3347-473a-826c-cdafd8156b26,choose_language,application,2026-01-07 22:30:39.127000+05:30,2026-01-07,Wednesday,'22:30:39.127000
cb078d9c-3347-473a-826c-cdafd8156b26,Onboarding_Language,application,2026-01-07 22:30:39.151000+05:30,2026-01-07,Wednesday,'22:30:39.151000
cb078d9c-3347-473a-826c-cdafd8156b26,Journey Started,system,2026-01-07 22:30:41.578000+05:30,2026-01-07,Wednesday,'22:30:41.578000
cb078d9c-3347-473a-826c-cdafd8156b26,generate_otp,application,2026-01-07 22:30:46.217000+05:30,2026-01-07,Wednesday,'22:30:46.217000
cb078d9c-3347-473a-826c-cdafd8156b26,Onboarding_get_otp,application,2026-01-07 22:30:46.233000+05:30,2026-01-07,Wednesday,'22:30:46.233000
cb078d9c-3347-473a-826c-cdafd8156b26,Journey Started,system,2026-01-07 22:30:46.542000+05:30,2026-01-07,Wednesday,'22:30:46.542000
cb078d9c-3347-473a-826c-cdafd8156b26,Journey Ended,system,2026-01-07 22:30:46.543000+05:30,2026-01-07,Wednesday,'22:30:46.543000
cb078d9c-3347-473a-826c-cdafd8156b26,_auth_generate-otp,application,2026-01-07 22:30:46.929000+05:30,2026-01-07,Wednesday,'22:30:46.929000
cb078d9c-3347-473a-826c-cdafd8156b26,get_otp,application,2026-01-07 22:30:46.937000+05:30,2026-01-07,Wednesday,'22:30:46.937000
cb078d9c-3347-473a-826c-cdafd8156b26,Onboarding_signup_,application,2026-01-07 22:30:46.950000+05:30,2026-01-07,Wednesday,'22:30:46.950000
cb078d9c-3347-473a-826c-cdafd8156b26,verify_otp,application,2026-01-07 22:30:49.731000+05:30,2026-01-07,Wednesday,'22:30:49.731000
cb078d9c-3347-473a-826c-cdafd8156b26,_auth_verify-otp,application,2026-01-07 22:30:49.912000+05:30,2026-01-07,Wednesday,'22:30:49.912000
cb078d9c-3347-473a-826c-cdafd8156b26,enter_otp,application,2026-01-07 22:30:49.933000+05:30,2026-01-07,Wednesday,'22:30:49.933000
cb078d9c-3347-473a-826c-cdafd8156b26,User Login,system,2026-01-07 22:30:49.950000+05:30,2026-01-07,Wednesday,'22:30:49.950000
cb078d9c-3347-473a-826c-cdafd8156b26,login,application,2026-01-07 22:30:50.201000+05:30,2026-01-07,Wednesday,'22:30:50.201000
