user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
cce842aa-437d-40d0-86d9-f05c698c51a0,DeviceInfo,application,2026-01-11 10:42:09.125000+05:30,2026-01-11,Sunday,'10:42:09.125000
cce842aa-437d-40d0-86d9-f05c698c51a0,Session Started,system,2026-01-11 10:42:09.599000+05:30,2026-01-11,Sunday,'10:42:09.599000
cce842aa-437d-40d0-86d9-f05c698c51a0,App Installed,system,2026-01-11 10:42:09.702000+05:30,2026-01-11,Sunday,'10:42:09.702000
cce842aa-437d-40d0-86d9-f05c698c51a0,app_start,application,2026-01-11 10:42:10.141000+05:30,2026-01-11,Sunday,'10:42:10.141000
cce842aa-437d-40d0-86d9-f05c698c51a0,Push Subscribe Process - Device Registered (Push),system,2026-01-11 10:42:10.210000+05:30,2026-01-11,Sunday,'10:42:10.210000
cce842aa-437d-40d0-86d9-f05c698c51a0,Journey Started,system,2026-01-11 10:42:10.224000+05:30,2026-01-11,Sunday,'10:42:10.224000
cce842aa-437d-40d0-86d9-f05c698c51a0,choose_language,application,2026-01-11 10:42:15.190000+05:30,2026-01-11,Sunday,'10:42:15.190000
cce842aa-437d-40d0-86d9-f05c698c51a0,Onboarding_Language,application,2026-01-11 10:42:15.256000+05:30,2026-01-11,Sunday,'10:42:15.256000
cce842aa-437d-40d0-86d9-f05c698c51a0,choose_language,application,2026-01-11 10:42:15.448000+05:30,2026-01-11,Sunday,'10:42:15.448000
cce842aa-437d-40d0-86d9-f05c698c51a0,Onboarding_Language,application,2026-01-11 10:42:15.471000+05:30,2026-01-11,Sunday,'10:42:15.471000
cce842aa-437d-40d0-86d9-f05c698c51a0,choose_language,application,2026-01-11 10:42:15.517000+05:30,2026-01-11,Sunday,'10:42:15.517000
cce842aa-437d-40d0-86d9-f05c698c51a0,Onboarding_Language,application,2026-01-11 10:42:15.561000+05:30,2026-01-11,Sunday,'10:42:15.561000
cce842aa-437d-40d0-86d9-f05c698c51a0,choose_language,application,2026-01-11 10:42:16.156000+05:30,2026-01-11,Sunday,'10:42:16.156000
