user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
cd06b53a-9b01-41eb-8dec-00e3116a7962,DeviceInfo,application,2025-12-30 20:01:32.368000+05:30,2025-12-30,Tuesday,'20:01:32.368000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Session Started,system,2025-12-30 20:01:32.696000+05:30,2025-12-30,Tuesday,'20:01:32.696000
cd06b53a-9b01-41eb-8dec-00e3116a7962,App Installed,system,2025-12-30 20:01:32.737000+05:30,2025-12-30,Tuesday,'20:01:32.737000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Journey Started,system,2025-12-30 20:01:33.087000+05:30,2025-12-30,Tuesday,'20:01:33.087000
cd06b53a-9b01-41eb-8dec-00e3116a7962,app_start,application,2025-12-30 20:01:33.106000+05:30,2025-12-30,Tuesday,'20:01:33.106000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Push Subscribe Process - Device Registered (Push),system,2025-12-30 20:01:33.656000+05:30,2025-12-30,Tuesday,'20:01:33.656000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Onboarding_backpressed,application,2025-12-30 20:01:38.490000+05:30,2025-12-30,Tuesday,'20:01:38.490000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Push Failure,system,2025-12-31 20:01:59.862000+05:30,2025-12-31,Wednesday,'20:01:59.862000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Session Started,system,2026-01-01 18:38:14.046000+05:30,2026-01-01,Thursday,'18:38:14.046000
cd06b53a-9b01-41eb-8dec-00e3116a7962,choose_language,application,2026-01-01 18:38:29.952000+05:30,2026-01-01,Thursday,'18:38:29.952000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Onboarding_Language,application,2026-01-01 18:38:29.960000+05:30,2026-01-01,Thursday,'18:38:29.960000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Journey Ended,system,2026-01-01 18:38:46.984000+05:30,2026-01-01,Thursday,'18:38:46.984000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Journey Started,system,2026-01-01 18:38:46.984000+05:30,2026-01-01,Thursday,'18:38:46.984000
cd06b53a-9b01-41eb-8dec-00e3116a7962,generate_otp,application,2026-01-01 18:38:51.971000+05:30,2026-01-01,Thursday,'18:38:51.971000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Onboarding_get_otp,application,2026-01-01 18:38:51.992000+05:30,2026-01-01,Thursday,'18:38:51.992000
cd06b53a-9b01-41eb-8dec-00e3116a7962,_auth_generate-otp,application,2026-01-01 18:38:54.461000+05:30,2026-01-01,Thursday,'18:38:54.461000
cd06b53a-9b01-41eb-8dec-00e3116a7962,get_otp,application,2026-01-01 18:38:54.481000+05:30,2026-01-01,Thursday,'18:38:54.481000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Onboarding_signup_,application,2026-01-01 18:38:54.512000+05:30,2026-01-01,Thursday,'18:38:54.512000
cd06b53a-9b01-41eb-8dec-00e3116a7962,verify_otp,application,2026-01-01 18:39:01.084000+05:30,2026-01-01,Thursday,'18:39:01.084000
cd06b53a-9b01-41eb-8dec-00e3116a7962,_auth_verify-otp,application,2026-01-01 18:39:03.293000+05:30,2026-01-01,Thursday,'18:39:03.293000
cd06b53a-9b01-41eb-8dec-00e3116a7962,enter_otp,application,2026-01-01 18:39:03.315000+05:30,2026-01-01,Thursday,'18:39:03.315000
cd06b53a-9b01-41eb-8dec-00e3116a7962,User Login,system,2026-01-01 18:39:03.423000+05:30,2026-01-01,Thursday,'18:39:03.423000
cd06b53a-9b01-41eb-8dec-00e3116a7962,login,application,2026-01-01 18:39:05.733000+05:30,2026-01-01,Thursday,'18:39:05.733000
cd06b53a-9b01-41eb-8dec-00e3116a7962,_user,application,2026-01-01 18:39:05.751000+05:30,2026-01-01,Thursday,'18:39:05.751000
cd06b53a-9b01-41eb-8dec-00e3116a7962,Onboarding_Profile Saved,application,2026-01-01 18:39:05.761000+05:30,2026-01-01,Thursday,'18:39:05.761000
cd06b53a-9b01-41eb-8dec-00e3116a7962,_location_from-town,application,2026-01-01 18:39:08.323000+05:30,2026-01-01,Thursday,'18:39:08.323000
cd06b53a-9b01-41eb-8dec-00e3116a7962,_user,application,2026-01-01 18:39:18.097000+05:30,2026-01-01,Thursday,'18:39:18.097000
cd06b53a-9b01-41eb-8dec-00e3116a7962,_location_special-town-search,application,2026-01-01 18:39:34.527000+05:30,2026-01-01,Thursday,'18:39:34.527000
