user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
cd1f6124-19da-4ecf-8940-16fbddc20412,Session Started,system,2026-01-11 07:57:40.342000+05:30,2026-01-11,Sunday,'07:57:40.342000
cd1f6124-19da-4ecf-8940-16fbddc20412,User Login,system,2026-01-11 07:57:40.631000+05:30,2026-01-11,Sunday,'07:57:40.631000
cd1f6124-19da-4ecf-8940-16fbddc20412,login,application,2026-01-11 07:57:40.863000+05:30,2026-01-11,Sunday,'07:57:40.863000
cd1f6124-19da-4ecf-8940-16fbddc20412,_user,application,2026-01-11 07:57:40.877000+05:30,2026-01-11,Sunday,'07:57:40.877000
cd1f6124-19da-4ecf-8940-16fbddc20412,_location_from-town,application,2026-01-11 07:57:40.894000+05:30,2026-01-11,Sunday,'07:57:40.894000
cd1f6124-19da-4ecf-8940-16fbddc20412,Onboarding_Profile Saved,application,2026-01-11 07:57:43.996000+05:30,2026-01-11,Sunday,'07:57:43.996000
cd1f6124-19da-4ecf-8940-16fbddc20412,_user,application,2026-01-11 07:58:00.419000+05:30,2026-01-11,Sunday,'07:58:00.419000
cd1f6124-19da-4ecf-8940-16fbddc20412,_history_recommended-journey,application,2026-01-11 07:58:01.734000+05:30,2026-01-11,Sunday,'07:58:01.734000
cd1f6124-19da-4ecf-8940-16fbddc20412,_user,application,2026-01-11 07:58:01.768000+05:30,2026-01-11,Sunday,'07:58:01.768000
cd1f6124-19da-4ecf-8940-16fbddc20412,_user_device,application,2026-01-11 07:58:01.818000+05:30,2026-01-11,Sunday,'07:58:01.818000
cd1f6124-19da-4ecf-8940-16fbddc20412,_location_from-town,application,2026-01-11 07:58:01.849000+05:30,2026-01-11,Sunday,'07:58:01.849000
cd1f6124-19da-4ecf-8940-16fbddc20412,_ticket,application,2026-01-11 07:58:01.878000+05:30,2026-01-11,Sunday,'07:58:01.878000
cd1f6124-19da-4ecf-8940-16fbddc20412,_location_special-town-search,application,2026-01-11 07:58:02.049000+05:30,2026-01-11,Sunday,'07:58:02.049000
cd1f6124-19da-4ecf-8940-16fbddc20412,_location_elastic-town-search,application,2026-01-11 07:58:15.097000+05:30,2026-01-11,Sunday,'07:58:15.097000
cd1f6124-19da-4ecf-8940-16fbddc20412,_location_special-town-search,application,2026-01-11 07:58:19.930000+05:30,2026-01-11,Sunday,'07:58:19.930000
cd1f6124-19da-4ecf-8940-16fbddc20412,_location_elastic-town-search,application,2026-01-11 07:58:22.413000+05:30,2026-01-11,Sunday,'07:58:22.413000
cd1f6124-19da-4ecf-8940-16fbddc20412,Buslist_date change,application,2026-01-11 07:58:26.911000+05:30,2026-01-11,Sunday,'07:58:26.911000
cd1f6124-19da-4ecf-8940-16fbddc20412,_bus-search_user-bus-search,application,2026-01-11 07:58:27.110000+05:30,2026-01-11,Sunday,'07:58:27.110000
cd1f6124-19da-4ecf-8940-16fbddc20412,_user,application,2026-01-11 07:58:27.129000+05:30,2026-01-11,Sunday,'07:58:27.129000
cd1f6124-19da-4ecf-8940-16fbddc20412,pageview_bus_list,application,2026-01-11 07:58:27.161000+05:30,2026-01-11,Sunday,'07:58:27.161000
cd1f6124-19da-4ecf-8940-16fbddc20412,_bus-search_list,application,2026-01-11 07:58:28.733000+05:30,2026-01-11,Sunday,'07:58:28.733000
cd1f6124-19da-4ecf-8940-16fbddc20412,_rewards_best-V2,application,2026-01-11 07:58:29.244000+05:30,2026-01-11,Sunday,'07:58:29.244000
cd1f6124-19da-4ecf-8940-16fbddc20412,Buslist_date change,application,2026-01-11 07:58:29.256000+05:30,2026-01-11,Sunday,'07:58:29.256000
cd1f6124-19da-4ecf-8940-16fbddc20412,bus_search,application,2026-01-11 07:58:29.383000+05:30,2026-01-11,Sunday,'07:58:29.383000
cd1f6124-19da-4ecf-8940-16fbddc20412,bus_result,application,2026-01-11 07:58:29.416000+05:30,2026-01-11,Sunday,'07:58:29.416000
