user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,App Installed,system,2026-01-04 07:30:54.874000+05:30,2026-01-04,Sunday,'07:30:54.874000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Buslist_date change,application,2026-01-04 07:32:02.571000+05:30,2026-01-04,Sunday,'07:32:02.571000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Buslist_date change,application,2026-01-04 07:33:02.367000+05:30,2026-01-04,Sunday,'07:33:02.367000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,DeviceInfo,application,2026-01-04 07:30:54.081000+05:30,2026-01-04,Sunday,'07:30:54.081000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Journey Ended,system,2026-01-04 07:31:07.493000+05:30,2026-01-04,Sunday,'07:31:07.493000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Journey Started,system,2026-01-04 07:30:56.187000+05:30,2026-01-04,Sunday,'07:30:56.187000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Journey Started,system,2026-01-04 07:31:07.493000+05:30,2026-01-04,Sunday,'07:31:07.493000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Onboarding_Language,application,2026-01-04 07:30:59.500000+05:30,2026-01-04,Sunday,'07:30:59.500000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Onboarding_get_otp,application,2026-01-04 07:31:05.905000+05:30,2026-01-04,Sunday,'07:31:05.905000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Onboarding_signup_,application,2026-01-04 07:31:06.812000+05:30,2026-01-04,Sunday,'07:31:06.812000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Onboarding_signup_,application,2026-01-04 07:31:29.166000+05:30,2026-01-04,Sunday,'07:31:29.166000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-04 12:59:43.206000+05:30,2026-01-04,Sunday,'12:59:43.206000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-05 07:31:20.871000+05:30,2026-01-05,Monday,'07:31:20.871000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-05 17:59:22.424000+05:30,2026-01-05,Monday,'17:59:22.424000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-06 07:31:49.702000+05:30,2026-01-06,Tuesday,'07:31:49.702000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-06 13:00:00.656000+05:30,2026-01-06,Tuesday,'13:00:00.656000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-07 07:32:20.669000+05:30,2026-01-07,Wednesday,'07:32:20.669000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-07 18:01:22.387000+05:30,2026-01-07,Wednesday,'18:01:22.387000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-08 07:32:47.427000+05:30,2026-01-08,Thursday,'07:32:47.427000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-08 12:59:18.695000+05:30,2026-01-08,Thursday,'12:59:18.695000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-09 07:32:56.102000+05:30,2026-01-09,Friday,'07:32:56.102000
ce1f67c0-a7a7-4189-ab30-e1d0e4efcf27,Push Sent,system,2026-01-09 18:00:41.221000+05:30,2026-01-09,Friday,'18:00:41.221000
