user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,DeviceInfo,application,2026-01-05 12:55:54.821000+05:30,2026-01-05,Monday,'12:55:54.821000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Session Started,system,2026-01-05 12:55:55.864000+05:30,2026-01-05,Monday,'12:55:55.864000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,App Installed,system,2026-01-05 12:55:56.088000+05:30,2026-01-05,Monday,'12:55:56.088000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,app_start,application,2026-01-05 12:55:56.810000+05:30,2026-01-05,Monday,'12:55:56.810000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Journey Started,system,2026-01-05 12:55:58.123000+05:30,2026-01-05,Monday,'12:55:58.123000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,choose_language,application,2026-01-05 12:56:04.118000+05:30,2026-01-05,Monday,'12:56:04.118000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Onboarding_Language,application,2026-01-05 12:56:04.142000+05:30,2026-01-05,Monday,'12:56:04.142000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,choose_language,application,2026-01-05 12:56:05.544000+05:30,2026-01-05,Monday,'12:56:05.544000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Onboarding_Language,application,2026-01-05 12:56:05.592000+05:30,2026-01-05,Monday,'12:56:05.592000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,choose_language,application,2026-01-05 12:56:06.509000+05:30,2026-01-05,Monday,'12:56:06.509000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Onboarding_Language,application,2026-01-05 12:56:06.522000+05:30,2026-01-05,Monday,'12:56:06.522000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,choose_language,application,2026-01-05 12:56:07.626000+05:30,2026-01-05,Monday,'12:56:07.626000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Onboarding_Language,application,2026-01-05 12:56:07.644000+05:30,2026-01-05,Monday,'12:56:07.644000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Journey Started,system,2026-01-05 12:56:07.752000+05:30,2026-01-05,Monday,'12:56:07.752000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Journey Ended,system,2026-01-05 12:56:07.752000+05:30,2026-01-05,Monday,'12:56:07.752000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Journey Started,system,2026-01-05 12:56:07.760000+05:30,2026-01-05,Monday,'12:56:07.760000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,choose_language,application,2026-01-05 12:56:07.810000+05:30,2026-01-05,Monday,'12:56:07.810000
ce2ffc2b-fa01-4bb8-9fab-bb36ad0def65,Onboarding_Language,application,2026-01-05 12:56:07.832000+05:30,2026-01-05,Monday,'12:56:07.832000
