user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ce6d180e-df18-4778-9cfc-8c63a20b16a0,DeviceInfo,application,2026-01-07 09:37:48.997000+05:30,2026-01-07,Wednesday,'09:37:48.997000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Session Started,system,2026-01-07 09:37:49.333000+05:30,2026-01-07,Wednesday,'09:37:49.333000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,App Installed,system,2026-01-07 09:37:49.373000+05:30,2026-01-07,Wednesday,'09:37:49.373000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Push Subscribe Process - Device Registered (Push),system,2026-01-07 09:37:51.035000+05:30,2026-01-07,Wednesday,'09:37:51.035000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,app_start,application,2026-01-07 09:37:51.650000+05:30,2026-01-07,Wednesday,'09:37:51.650000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Journey Started,system,2026-01-07 09:37:51.884000+05:30,2026-01-07,Wednesday,'09:37:51.884000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,choose_language,application,2026-01-07 09:45:16.635000+05:30,2026-01-07,Wednesday,'09:45:16.635000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Onboarding_Language,application,2026-01-07 09:45:16.642000+05:30,2026-01-07,Wednesday,'09:45:16.642000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Journey Started,system,2026-01-07 09:45:17.169000+05:30,2026-01-07,Wednesday,'09:45:17.169000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Journey Ended,system,2026-01-07 09:45:17.169000+05:30,2026-01-07,Wednesday,'09:45:17.169000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,generate_otp,application,2026-01-07 09:45:25.086000+05:30,2026-01-07,Wednesday,'09:45:25.086000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Onboarding_get_otp,application,2026-01-07 09:45:25.096000+05:30,2026-01-07,Wednesday,'09:45:25.096000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,_auth_generate-otp,application,2026-01-07 09:45:25.749000+05:30,2026-01-07,Wednesday,'09:45:25.749000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,get_otp,application,2026-01-07 09:45:25.756000+05:30,2026-01-07,Wednesday,'09:45:25.756000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,Onboarding_signup_,application,2026-01-07 09:45:25.771000+05:30,2026-01-07,Wednesday,'09:45:25.771000
ce6d180e-df18-4778-9cfc-8c63a20b16a0,verify_otp,application,2026-01-07 09:45:29.119000+05:30,2026-01-07,Wednesday,'09:45:29.119000
