user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
cebee359-8fad-4ae0-b027-f47c38cd0139,DeviceInfo,application,2026-01-08 17:17:50.773000+05:30,2026-01-08,Thursday,'17:17:50.773000
cebee359-8fad-4ae0-b027-f47c38cd0139,Session Started,system,2026-01-08 17:17:51.066000+05:30,2026-01-08,Thursday,'17:17:51.066000
cebee359-8fad-4ae0-b027-f47c38cd0139,App Installed,system,2026-01-08 17:17:51.090000+05:30,2026-01-08,Thursday,'17:17:51.090000
cebee359-8fad-4ae0-b027-f47c38cd0139,Journey Started,system,2026-01-08 17:17:51.380000+05:30,2026-01-08,Thursday,'17:17:51.380000
cebee359-8fad-4ae0-b027-f47c38cd0139,app_start,application,2026-01-08 17:17:51.721000+05:30,2026-01-08,Thursday,'17:17:51.721000
cebee359-8fad-4ae0-b027-f47c38cd0139,Push Subscribe Process - Device Registered (Push),system,2026-01-08 17:17:52.818000+05:30,2026-01-08,Thursday,'17:17:52.818000
cebee359-8fad-4ae0-b027-f47c38cd0139,choose_language,application,2026-01-08 17:17:54.036000+05:30,2026-01-08,Thursday,'17:17:54.036000
cebee359-8fad-4ae0-b027-f47c38cd0139,Onboarding_Language,application,2026-01-08 17:17:54.042000+05:30,2026-01-08,Thursday,'17:17:54.042000
cebee359-8fad-4ae0-b027-f47c38cd0139,generate_otp,application,2026-01-08 17:18:09.066000+05:30,2026-01-08,Thursday,'17:18:09.066000
cebee359-8fad-4ae0-b027-f47c38cd0139,Onboarding_get_otp,application,2026-01-08 17:18:09.074000+05:30,2026-01-08,Thursday,'17:18:09.074000
cebee359-8fad-4ae0-b027-f47c38cd0139,Journey Ended,system,2026-01-08 17:18:09.548000+05:30,2026-01-08,Thursday,'17:18:09.548000
cebee359-8fad-4ae0-b027-f47c38cd0139,Journey Started,system,2026-01-08 17:18:09.548000+05:30,2026-01-08,Thursday,'17:18:09.548000
cebee359-8fad-4ae0-b027-f47c38cd0139,_auth_generate-otp,application,2026-01-08 17:18:09.706000+05:30,2026-01-08,Thursday,'17:18:09.706000
cebee359-8fad-4ae0-b027-f47c38cd0139,get_otp,application,2026-01-08 17:18:09.720000+05:30,2026-01-08,Thursday,'17:18:09.720000
cebee359-8fad-4ae0-b027-f47c38cd0139,Onboarding_signup_,application,2026-01-08 17:18:09.739000+05:30,2026-01-08,Thursday,'17:18:09.739000
cebee359-8fad-4ae0-b027-f47c38cd0139,verify_otp,application,2026-01-08 17:18:12.646000+05:30,2026-01-08,Thursday,'17:18:12.646000
cebee359-8fad-4ae0-b027-f47c38cd0139,_auth_verify-otp,application,2026-01-08 17:18:12.828000+05:30,2026-01-08,Thursday,'17:18:12.828000
cebee359-8fad-4ae0-b027-f47c38cd0139,enter_otp,application,2026-01-08 17:18:12.840000+05:30,2026-01-08,Thursday,'17:18:12.840000
cebee359-8fad-4ae0-b027-f47c38cd0139,User Login,system,2026-01-08 17:18:12.871000+05:30,2026-01-08,Thursday,'17:18:12.871000
cebee359-8fad-4ae0-b027-f47c38cd0139,login,application,2026-01-08 17:18:12.949000+05:30,2026-01-08,Thursday,'17:18:12.949000
cebee359-8fad-4ae0-b027-f47c38cd0139,_user,application,2026-01-08 17:18:13.004000+05:30,2026-01-08,Thursday,'17:18:13.004000
cebee359-8fad-4ae0-b027-f47c38cd0139,_location_from-town,application,2026-01-08 17:18:13.405000+05:30,2026-01-08,Thursday,'17:18:13.405000
cebee359-8fad-4ae0-b027-f47c38cd0139,Onboarding_Profile Saved,application,2026-01-08 17:18:14.772000+05:30,2026-01-08,Thursday,'17:18:14.772000
cebee359-8fad-4ae0-b027-f47c38cd0139,_user,application,2026-01-08 17:18:22.333000+05:30,2026-01-08,Thursday,'17:18:22.333000
cebee359-8fad-4ae0-b027-f47c38cd0139,_history_recommended-journey,application,2026-01-08 17:18:23.585000+05:30,2026-01-08,Thursday,'17:18:23.585000
cebee359-8fad-4ae0-b027-f47c38cd0139,_user_device,application,2026-01-08 17:18:23.631000+05:30,2026-01-08,Thursday,'17:18:23.631000
cebee359-8fad-4ae0-b027-f47c38cd0139,_location_from-town,application,2026-01-08 17:18:23.755000+05:30,2026-01-08,Thursday,'17:18:23.755000
cebee359-8fad-4ae0-b027-f47c38cd0139,_user,application,2026-01-08 17:18:23.770000+05:30,2026-01-08,Thursday,'17:18:23.770000
cebee359-8fad-4ae0-b027-f47c38cd0139,_ticket,application,2026-01-08 17:18:23.970000+05:30,2026-01-08,Thursday,'17:18:23.970000
cebee359-8fad-4ae0-b027-f47c38cd0139,_location_special-town-search,application,2026-01-08 17:18:24.004000+05:30,2026-01-08,Thursday,'17:18:24.004000
cebee359-8fad-4ae0-b027-f47c38cd0139,_location_elastic-town-search,application,2026-01-08 17:18:26.903000+05:30,2026-01-08,Thursday,'17:18:26.903000
cebee359-8fad-4ae0-b027-f47c38cd0139,_location_special-town-search,application,2026-01-08 17:18:34.256000+05:30,2026-01-08,Thursday,'17:18:34.256000
cebee359-8fad-4ae0-b027-f47c38cd0139,_location_elastic-town-search,application,2026-01-08 17:18:34.408000+05:30,2026-01-08,Thursday,'17:18:34.408000
cebee359-8fad-4ae0-b027-f47c38cd0139,Buslist_date change,application,2026-01-08 17:18:40.259000+05:30,2026-01-08,Thursday,'17:18:40.259000
cebee359-8fad-4ae0-b027-f47c38cd0139,_user,application,2026-01-08 17:18:40.433000+05:30,2026-01-08,Thursday,'17:18:40.433000
cebee359-8fad-4ae0-b027-f47c38cd0139,pageview_bus_list,application,2026-01-08 17:18:40.444000+05:30,2026-01-08,Thursday,'17:18:40.444000
cebee359-8fad-4ae0-b027-f47c38cd0139,_bus-search_user-bus-search,application,2026-01-08 17:18:40.469000+05:30,2026-01-08,Thursday,'17:18:40.469000
cebee359-8fad-4ae0-b027-f47c38cd0139,_bus-search_list,application,2026-01-08 17:18:50.612000+05:30,2026-01-08,Thursday,'17:18:50.612000
cebee359-8fad-4ae0-b027-f47c38cd0139,_rewards_best-V2,application,2026-01-08 17:18:51.222000+05:30,2026-01-08,Thursday,'17:18:51.222000
