user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d0f3882e-536e-47cd-8f78-c3d797aafae4,DeviceInfo,application,2026-01-08 18:58:22.551000+05:30,2026-01-08,Thursday,'18:58:22.551000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Session Started,system,2026-01-08 18:58:22.807000+05:30,2026-01-08,Thursday,'18:58:22.807000
d0f3882e-536e-47cd-8f78-c3d797aafae4,App Installed,system,2026-01-08 18:58:22.830000+05:30,2026-01-08,Thursday,'18:58:22.830000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Journey Started,system,2026-01-08 18:58:23.034000+05:30,2026-01-08,Thursday,'18:58:23.034000
d0f3882e-536e-47cd-8f78-c3d797aafae4,app_start,application,2026-01-08 18:58:24.044000+05:30,2026-01-08,Thursday,'18:58:24.044000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Push Subscribe Process - Device Registered (Push),system,2026-01-08 18:58:24.593000+05:30,2026-01-08,Thursday,'18:58:24.593000
d0f3882e-536e-47cd-8f78-c3d797aafae4,choose_language,application,2026-01-08 18:58:27.810000+05:30,2026-01-08,Thursday,'18:58:27.810000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Onboarding_Language,application,2026-01-08 18:58:27.817000+05:30,2026-01-08,Thursday,'18:58:27.817000
d0f3882e-536e-47cd-8f78-c3d797aafae4,generate_otp,application,2026-01-08 18:58:33.887000+05:30,2026-01-08,Thursday,'18:58:33.887000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Onboarding_get_otp,application,2026-01-08 18:58:33.909000+05:30,2026-01-08,Thursday,'18:58:33.909000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Journey Ended,system,2026-01-08 18:58:34.319000+05:30,2026-01-08,Thursday,'18:58:34.319000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Journey Started,system,2026-01-08 18:58:34.319000+05:30,2026-01-08,Thursday,'18:58:34.319000
d0f3882e-536e-47cd-8f78-c3d797aafae4,_auth_generate-otp,application,2026-01-08 18:58:36.552000+05:30,2026-01-08,Thursday,'18:58:36.552000
d0f3882e-536e-47cd-8f78-c3d797aafae4,get_otp,application,2026-01-08 18:58:36.560000+05:30,2026-01-08,Thursday,'18:58:36.560000
d0f3882e-536e-47cd-8f78-c3d797aafae4,Onboarding_signup_,application,2026-01-08 18:58:36.591000+05:30,2026-01-08,Thursday,'18:58:36.591000
d0f3882e-536e-47cd-8f78-c3d797aafae4,verify_otp,application,2026-01-08 18:58:38.723000+05:30,2026-01-08,Thursday,'18:58:38.723000
d0f3882e-536e-47cd-8f78-c3d797aafae4,_auth_verify-otp,application,2026-01-08 18:58:38.966000+05:30,2026-01-08,Thursday,'18:58:38.966000
d0f3882e-536e-47cd-8f78-c3d797aafae4,enter_otp,application,2026-01-08 18:58:38.989000+05:30,2026-01-08,Thursday,'18:58:38.989000
