user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d2f31521-ff3d-4d7c-a104-26715e5b338a,DeviceInfo,application,2026-01-16 21:51:41.484000+05:30,2026-01-16,Friday,'21:51:41.484000
d2f31521-ff3d-4d7c-a104-26715e5b338a,Session Started,system,2026-01-16 21:51:42.160000+05:30,2026-01-16,Friday,'21:51:42.160000
d2f31521-ff3d-4d7c-a104-26715e5b338a,App Installed,system,2026-01-16 21:51:42.563000+05:30,2026-01-16,Friday,'21:51:42.563000
d2f31521-ff3d-4d7c-a104-26715e5b338a,Push Subscribe Process - Device Registered (Push),system,2026-01-16 21:51:42.849000+05:30,2026-01-16,Friday,'21:51:42.849000
d2f31521-ff3d-4d7c-a104-26715e5b338a,app_start,application,2026-01-16 21:51:42.932000+05:30,2026-01-16,Friday,'21:51:42.932000
d2f31521-ff3d-4d7c-a104-26715e5b338a,Journey Started,system,2026-01-16 21:51:42.938000+05:30,2026-01-16,Friday,'21:51:42.938000
d2f31521-ff3d-4d7c-a104-26715e5b338a,choose_language,application,2026-01-16 21:51:54.622000+05:30,2026-01-16,Friday,'21:51:54.622000
d2f31521-ff3d-4d7c-a104-26715e5b338a,Onboarding_Language,application,2026-01-16 21:51:54.636000+05:30,2026-01-16,Friday,'21:51:54.636000
d2f31521-ff3d-4d7c-a104-26715e5b338a,generate_otp,application,2026-01-16 21:52:09.668000+05:30,2026-01-16,Friday,'21:52:09.668000
d2f31521-ff3d-4d7c-a104-26715e5b338a,Onboarding_get_otp,application,2026-01-16 21:52:09.780000+05:30,2026-01-16,Friday,'21:52:09.780000
d2f31521-ff3d-4d7c-a104-26715e5b338a,Journey Ended,system,2026-01-16 21:52:09.991000+05:30,2026-01-16,Friday,'21:52:09.991000
d2f31521-ff3d-4d7c-a104-26715e5b338a,Journey Started,system,2026-01-16 21:52:09.991000+05:30,2026-01-16,Friday,'21:52:09.991000
