user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,DeviceInfo,application,2026-01-02 16:57:45.926000+05:30,2026-01-02,Friday,'16:57:45.926000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Session Started,system,2026-01-02 16:57:46.590000+05:30,2026-01-02,Friday,'16:57:46.590000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,App Installed,system,2026-01-02 16:57:46.789000+05:30,2026-01-02,Friday,'16:57:46.789000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,app_start,application,2026-01-02 16:57:46.940000+05:30,2026-01-02,Friday,'16:57:46.940000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Journey Started,system,2026-01-02 16:57:47.544000+05:30,2026-01-02,Friday,'16:57:47.544000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Push Subscribe Process - Device Registered (Push),system,2026-01-02 16:57:48.072000+05:30,2026-01-02,Friday,'16:57:48.072000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,choose_language,application,2026-01-02 16:57:50.063000+05:30,2026-01-02,Friday,'16:57:50.063000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Onboarding_Language,application,2026-01-02 16:57:50.071000+05:30,2026-01-02,Friday,'16:57:50.071000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,choose_language,application,2026-01-02 16:57:50.364000+05:30,2026-01-02,Friday,'16:57:50.364000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Onboarding_Language,application,2026-01-02 16:57:50.386000+05:30,2026-01-02,Friday,'16:57:50.386000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Journey Ended,system,2026-01-02 16:57:50.998000+05:30,2026-01-02,Friday,'16:57:50.998000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Journey Started,system,2026-01-02 16:57:50.998000+05:30,2026-01-02,Friday,'16:57:50.998000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Journey Ended,system,2026-01-02 16:57:51.024000+05:30,2026-01-02,Friday,'16:57:51.024000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Journey Started,system,2026-01-02 16:57:51.024000+05:30,2026-01-02,Friday,'16:57:51.024000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,generate_otp,application,2026-01-02 16:57:58.057000+05:30,2026-01-02,Friday,'16:57:58.057000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Onboarding_get_otp,application,2026-01-02 16:57:58.071000+05:30,2026-01-02,Friday,'16:57:58.071000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_auth_generate-otp,application,2026-01-02 16:57:58.757000+05:30,2026-01-02,Friday,'16:57:58.757000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,get_otp,application,2026-01-02 16:57:58.768000+05:30,2026-01-02,Friday,'16:57:58.768000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Onboarding_signup_,application,2026-01-02 16:57:58.809000+05:30,2026-01-02,Friday,'16:57:58.809000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,verify_otp,application,2026-01-02 16:58:05.411000+05:30,2026-01-02,Friday,'16:58:05.411000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_auth_verify-otp,application,2026-01-02 16:58:05.585000+05:30,2026-01-02,Friday,'16:58:05.585000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,enter_otp,application,2026-01-02 16:58:05.608000+05:30,2026-01-02,Friday,'16:58:05.608000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,User Login,system,2026-01-02 16:58:05.701000+05:30,2026-01-02,Friday,'16:58:05.701000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,login,application,2026-01-02 16:58:05.842000+05:30,2026-01-02,Friday,'16:58:05.842000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_user,application,2026-01-02 16:58:05.889000+05:30,2026-01-02,Friday,'16:58:05.889000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_location_from-town,application,2026-01-02 16:58:06.376000+05:30,2026-01-02,Friday,'16:58:06.376000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,Onboarding_Profile Saved,application,2026-01-02 16:58:08.935000+05:30,2026-01-02,Friday,'16:58:08.935000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_user,application,2026-01-02 16:58:22.507000+05:30,2026-01-02,Friday,'16:58:22.507000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_history_recommended-journey,application,2026-01-02 16:58:24.825000+05:30,2026-01-02,Friday,'16:58:24.825000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_user_device,application,2026-01-02 16:58:24.950000+05:30,2026-01-02,Friday,'16:58:24.950000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_location_from-town,application,2026-01-02 16:58:25.012000+05:30,2026-01-02,Friday,'16:58:25.012000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_user,application,2026-01-02 16:58:25.109000+05:30,2026-01-02,Friday,'16:58:25.109000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_location_special-town-search,application,2026-01-02 16:58:25.223000+05:30,2026-01-02,Friday,'16:58:25.223000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_ticket,application,2026-01-02 16:58:25.286000+05:30,2026-01-02,Friday,'16:58:25.286000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_location_special-town-search,application,2026-01-02 16:58:28.148000+05:30,2026-01-02,Friday,'16:58:28.148000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_location_elastic-town-search,application,2026-01-02 16:58:28.553000+05:30,2026-01-02,Friday,'16:58:28.553000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_location_special-town-search,application,2026-01-02 16:58:59.741000+05:30,2026-01-02,Friday,'16:58:59.741000
d3284876-892d-4e7f-a8a2-3eb78e56e0c7,_location_elastic-town-search,application,2026-01-02 16:58:59.826000+05:30,2026-01-02,Friday,'16:58:59.826000
