user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d33f6e99-2cdb-469d-ab86-736c09698aad,DeviceInfo,application,2026-01-10 00:09:09.108000+05:30,2026-01-10,Saturday,'00:09:09.108000
d33f6e99-2cdb-469d-ab86-736c09698aad,Session Started,system,2026-01-10 00:09:11.476000+05:30,2026-01-10,Saturday,'00:09:11.476000
d33f6e99-2cdb-469d-ab86-736c09698aad,App Installed,system,2026-01-10 00:09:11.835000+05:30,2026-01-10,Saturday,'00:09:11.835000
d33f6e99-2cdb-469d-ab86-736c09698aad,Push Subscribe Process - Device Registered (Push),system,2026-01-10 00:09:12.148000+05:30,2026-01-10,Saturday,'00:09:12.148000
d33f6e99-2cdb-469d-ab86-736c09698aad,app_start,application,2026-01-10 00:09:14.260000+05:30,2026-01-10,Saturday,'00:09:14.260000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.455000+05:30,2026-01-10,Saturday,'00:09:22.455000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.479000+05:30,2026-01-10,Saturday,'00:09:22.479000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.569000+05:30,2026-01-10,Saturday,'00:09:22.569000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.608000+05:30,2026-01-10,Saturday,'00:09:22.608000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.638000+05:30,2026-01-10,Saturday,'00:09:22.638000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.656000+05:30,2026-01-10,Saturday,'00:09:22.656000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.680000+05:30,2026-01-10,Saturday,'00:09:22.680000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.700000+05:30,2026-01-10,Saturday,'00:09:22.700000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.748000+05:30,2026-01-10,Saturday,'00:09:22.748000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.768000+05:30,2026-01-10,Saturday,'00:09:22.768000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.794000+05:30,2026-01-10,Saturday,'00:09:22.794000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.813000+05:30,2026-01-10,Saturday,'00:09:22.813000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.836000+05:30,2026-01-10,Saturday,'00:09:22.836000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.877000+05:30,2026-01-10,Saturday,'00:09:22.877000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.906000+05:30,2026-01-10,Saturday,'00:09:22.906000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.925000+05:30,2026-01-10,Saturday,'00:09:22.925000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:22.947000+05:30,2026-01-10,Saturday,'00:09:22.947000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:22.966000+05:30,2026-01-10,Saturday,'00:09:22.966000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:23.013000+05:30,2026-01-10,Saturday,'00:09:23.013000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:23.036000+05:30,2026-01-10,Saturday,'00:09:23.036000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:23.066000+05:30,2026-01-10,Saturday,'00:09:23.066000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:23.082000+05:30,2026-01-10,Saturday,'00:09:23.082000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:23.106000+05:30,2026-01-10,Saturday,'00:09:23.106000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:23.174000+05:30,2026-01-10,Saturday,'00:09:23.174000
d33f6e99-2cdb-469d-ab86-736c09698aad,choose_language,application,2026-01-10 00:09:23.212000+05:30,2026-01-10,Saturday,'00:09:23.212000
d33f6e99-2cdb-469d-ab86-736c09698aad,Onboarding_Language,application,2026-01-10 00:09:23.231000+05:30,2026-01-10,Saturday,'00:09:23.231000
