user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d39023aa-f9dd-4f02-9356-193c126927ac,App Installed,system,2026-01-15 19:12:44.623000+05:30,2026-01-15,Thursday,'19:12:44.623000
d39023aa-f9dd-4f02-9356-193c126927ac,DeviceInfo,application,2026-01-15 19:12:43.953000+05:30,2026-01-15,Thursday,'19:12:43.953000
d39023aa-f9dd-4f02-9356-193c126927ac,Journey Ended,system,2026-01-15 19:13:00.004000+05:30,2026-01-15,Thursday,'19:13:00.004000
d39023aa-f9dd-4f02-9356-193c126927ac,Journey Started,system,2026-01-15 19:12:44.774000+05:30,2026-01-15,Thursday,'19:12:44.774000
d39023aa-f9dd-4f02-9356-193c126927ac,Journey Started,system,2026-01-15 19:13:00.003000+05:30,2026-01-15,Thursday,'19:13:00.003000
d39023aa-f9dd-4f02-9356-193c126927ac,Onboarding_Language,application,2026-01-15 19:12:53.967000+05:30,2026-01-15,Thursday,'19:12:53.967000
d39023aa-f9dd-4f02-9356-193c126927ac,Onboarding_Profile Saved,application,2026-01-15 19:13:59.347000+05:30,2026-01-15,Thursday,'19:13:59.347000
d39023aa-f9dd-4f02-9356-193c126927ac,Onboarding_get_otp,application,2026-01-15 19:12:59.588000+05:30,2026-01-15,Thursday,'19:12:59.588000
d39023aa-f9dd-4f02-9356-193c126927ac,Onboarding_signup_,application,2026-01-15 19:13:02.237000+05:30,2026-01-15,Thursday,'19:13:02.237000
d39023aa-f9dd-4f02-9356-193c126927ac,Push Failure,system,2026-01-16 19:13:16.711000+05:30,2026-01-16,Friday,'19:13:16.711000
d39023aa-f9dd-4f02-9356-193c126927ac,Push Failure,system,2026-01-17 19:13:41.708000+05:30,2026-01-17,Saturday,'19:13:41.708000
d39023aa-f9dd-4f02-9356-193c126927ac,Push Failure,system,2026-01-18 19:14:14.513000+05:30,2026-01-18,Sunday,'19:14:14.513000
d39023aa-f9dd-4f02-9356-193c126927ac,Push Failure,system,2026-01-19 19:14:42.770000+05:30,2026-01-19,Monday,'19:14:42.770000
d39023aa-f9dd-4f02-9356-193c126927ac,Push Subscribe Process - Device Registered (Push),system,2026-01-15 19:12:45.945000+05:30,2026-01-15,Thursday,'19:12:45.945000
d39023aa-f9dd-4f02-9356-193c126927ac,Session Started,system,2026-01-15 19:12:44.514000+05:30,2026-01-15,Thursday,'19:12:44.514000
d39023aa-f9dd-4f02-9356-193c126927ac,User Login,system,2026-01-15 19:13:05.845000+05:30,2026-01-15,Thursday,'19:13:05.845000
d39023aa-f9dd-4f02-9356-193c126927ac,_auth_generate-otp,application,2026-01-15 19:13:02.206000+05:30,2026-01-15,Thursday,'19:13:02.206000
d39023aa-f9dd-4f02-9356-193c126927ac,_auth_verify-otp,application,2026-01-15 19:13:05.816000+05:30,2026-01-15,Thursday,'19:13:05.816000
d39023aa-f9dd-4f02-9356-193c126927ac,_history_recommended-journey,application,2026-01-15 19:14:02.189000+05:30,2026-01-15,Thursday,'19:14:02.189000
d39023aa-f9dd-4f02-9356-193c126927ac,_location_elastic-town-search,application,2026-01-15 19:14:33.062000+05:30,2026-01-15,Thursday,'19:14:33.062000
d39023aa-f9dd-4f02-9356-193c126927ac,_location_elastic-town-search,application,2026-01-15 19:14:34.735000+05:30,2026-01-15,Thursday,'19:14:34.735000
d39023aa-f9dd-4f02-9356-193c126927ac,_location_elastic-town-search,application,2026-01-15 19:14:35.417000+05:30,2026-01-15,Thursday,'19:14:35.417000
