user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,DeviceInfo,application,2026-01-16 18:24:26.206000+05:30,2026-01-16,Friday,'18:24:26.206000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Session Started,system,2026-01-16 18:24:26.623000+05:30,2026-01-16,Friday,'18:24:26.623000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,App Installed,system,2026-01-16 18:24:26.677000+05:30,2026-01-16,Friday,'18:24:26.677000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Journey Started,system,2026-01-16 18:24:27.375000+05:30,2026-01-16,Friday,'18:24:27.375000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,app_start,application,2026-01-16 18:24:27.517000+05:30,2026-01-16,Friday,'18:24:27.517000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Push Subscribe Process - Device Registered (Push),system,2026-01-16 18:24:28.513000+05:30,2026-01-16,Friday,'18:24:28.513000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,choose_language,application,2026-01-16 18:24:30.174000+05:30,2026-01-16,Friday,'18:24:30.174000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Onboarding_Language,application,2026-01-16 18:24:30.182000+05:30,2026-01-16,Friday,'18:24:30.182000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,generate_otp,application,2026-01-16 18:24:35.727000+05:30,2026-01-16,Friday,'18:24:35.727000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Onboarding_get_otp,application,2026-01-16 18:24:35.738000+05:30,2026-01-16,Friday,'18:24:35.738000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Journey Ended,system,2026-01-16 18:24:36.429000+05:30,2026-01-16,Friday,'18:24:36.429000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Journey Started,system,2026-01-16 18:24:36.429000+05:30,2026-01-16,Friday,'18:24:36.429000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_auth_generate-otp,application,2026-01-16 18:24:36.624000+05:30,2026-01-16,Friday,'18:24:36.624000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,get_otp,application,2026-01-16 18:24:36.637000+05:30,2026-01-16,Friday,'18:24:36.637000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Onboarding_signup_,application,2026-01-16 18:24:36.662000+05:30,2026-01-16,Friday,'18:24:36.662000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,verify_otp,application,2026-01-16 18:24:39.176000+05:30,2026-01-16,Friday,'18:24:39.176000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_auth_verify-otp,application,2026-01-16 18:24:39.420000+05:30,2026-01-16,Friday,'18:24:39.420000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,enter_otp,application,2026-01-16 18:24:39.459000+05:30,2026-01-16,Friday,'18:24:39.459000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,User Login,system,2026-01-16 18:24:39.499000+05:30,2026-01-16,Friday,'18:24:39.499000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,login,application,2026-01-16 18:24:40.206000+05:30,2026-01-16,Friday,'18:24:40.206000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_user,application,2026-01-16 18:24:40.221000+05:30,2026-01-16,Friday,'18:24:40.221000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_from-town,application,2026-01-16 18:24:40.227000+05:30,2026-01-16,Friday,'18:24:40.227000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Onboarding_Profile Saved,application,2026-01-16 18:24:41.718000+05:30,2026-01-16,Friday,'18:24:41.718000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_user,application,2026-01-16 18:25:01.719000+05:30,2026-01-16,Friday,'18:25:01.719000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_from-town,application,2026-01-16 18:25:03.851000+05:30,2026-01-16,Friday,'18:25:03.851000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_history_recommended-journey,application,2026-01-16 18:25:03.887000+05:30,2026-01-16,Friday,'18:25:03.887000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_user_device,application,2026-01-16 18:25:03.895000+05:30,2026-01-16,Friday,'18:25:03.895000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_user,application,2026-01-16 18:25:03.927000+05:30,2026-01-16,Friday,'18:25:03.927000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_special-town-search,application,2026-01-16 18:25:04.067000+05:30,2026-01-16,Friday,'18:25:04.067000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_ticket,application,2026-01-16 18:25:04.157000+05:30,2026-01-16,Friday,'18:25:04.157000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_special-town-search,application,2026-01-16 18:25:10.867000+05:30,2026-01-16,Friday,'18:25:10.867000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_elastic-town-search,application,2026-01-16 18:25:10.989000+05:30,2026-01-16,Friday,'18:25:10.989000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_special-town-search,application,2026-01-16 18:25:25.402000+05:30,2026-01-16,Friday,'18:25:25.402000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_elastic-town-search,application,2026-01-16 18:25:28.072000+05:30,2026-01-16,Friday,'18:25:28.072000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Buslist_date change,application,2026-01-16 18:26:20.083000+05:30,2026-01-16,Friday,'18:26:20.083000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_user,application,2026-01-16 18:26:20.400000+05:30,2026-01-16,Friday,'18:26:20.400000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,pageview_bus_list,application,2026-01-16 18:26:20.422000+05:30,2026-01-16,Friday,'18:26:20.422000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_bus-search_user-bus-search,application,2026-01-16 18:26:20.535000+05:30,2026-01-16,Friday,'18:26:20.535000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_bus-search_list,application,2026-01-16 18:26:21.698000+05:30,2026-01-16,Friday,'18:26:21.698000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_rewards_best-V2,application,2026-01-16 18:26:22.379000+05:30,2026-01-16,Friday,'18:26:22.379000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Buslist_date change,application,2026-01-16 18:26:22.389000+05:30,2026-01-16,Friday,'18:26:22.389000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,bus_search,application,2026-01-16 18:26:22.398000+05:30,2026-01-16,Friday,'18:26:22.398000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,bus_result,application,2026-01-16 18:26:22.420000+05:30,2026-01-16,Friday,'18:26:22.420000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Journey Started,system,2026-01-16 18:26:23.066000+05:30,2026-01-16,Friday,'18:26:23.066000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_special-town-search,application,2026-01-16 18:26:28.570000+05:30,2026-01-16,Friday,'18:26:28.570000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_elastic-town-search,application,2026-01-16 18:26:28.739000+05:30,2026-01-16,Friday,'18:26:28.739000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Session Started,system,2026-01-16 18:28:01.361000+05:30,2026-01-16,Friday,'18:28:01.361000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,_location_elastic-town-search,application,2026-01-16 18:28:06.347000+05:30,2026-01-16,Friday,'18:28:06.347000
d3fecebe-542b-48c5-8505-e0f7e3e27f0f,Buslist_date change,application,2026-01-16 18:28:59.093000+05:30,2026-01-16,Friday,'18:28:59.093000
