user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,App Installed,system,2026-01-15 18:48:20.868000+05:30,2026-01-15,Thursday,'18:48:20.868000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,DeviceInfo,application,2026-01-15 18:48:19.214000+05:30,2026-01-15,Thursday,'18:48:19.214000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Journey Ended,system,2026-01-15 18:48:37.192000+05:30,2026-01-15,Thursday,'18:48:37.192000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Journey Started,system,2026-01-15 18:48:21.280000+05:30,2026-01-15,Thursday,'18:48:21.280000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Journey Started,system,2026-01-15 18:48:37.192000+05:30,2026-01-15,Thursday,'18:48:37.192000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Onboarding_Language,application,2026-01-15 18:48:23.352000+05:30,2026-01-15,Thursday,'18:48:23.352000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Onboarding_Profile Saved,application,2026-01-15 18:48:45.675000+05:30,2026-01-15,Thursday,'18:48:45.675000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Onboarding_get_otp,application,2026-01-15 18:48:36.614000+05:30,2026-01-15,Thursday,'18:48:36.614000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Onboarding_signup_,application,2026-01-15 18:48:38.642000+05:30,2026-01-15,Thursday,'18:48:38.642000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Push Failure,system,2026-01-16 18:48:48.793000+05:30,2026-01-16,Friday,'18:48:48.793000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Push Failure,system,2026-01-17 18:49:18.328000+05:30,2026-01-17,Saturday,'18:49:18.328000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Push Failure,system,2026-01-18 18:49:45.576000+05:30,2026-01-18,Sunday,'18:49:45.576000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Push Failure,system,2026-01-19 18:50:15.627000+05:30,2026-01-19,Monday,'18:50:15.627000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Push Subscribe Process - Device Registered (Push),system,2026-01-15 18:48:21.039000+05:30,2026-01-15,Thursday,'18:48:21.039000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,Session Started,system,2026-01-15 18:48:20.606000+05:30,2026-01-15,Thursday,'18:48:20.606000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,User Login,system,2026-01-15 18:48:43.043000+05:30,2026-01-15,Thursday,'18:48:43.043000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_auth_generate-otp,application,2026-01-15 18:48:38.561000+05:30,2026-01-15,Thursday,'18:48:38.561000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_auth_verify-otp,application,2026-01-15 18:48:42.949000+05:30,2026-01-15,Thursday,'18:48:42.949000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_history_recommended-journey,application,2026-01-15 18:49:04.885000+05:30,2026-01-15,Thursday,'18:49:04.885000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:09.305000+05:30,2026-01-15,Thursday,'18:49:09.305000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:12.073000+05:30,2026-01-15,Thursday,'18:49:12.073000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:12.251000+05:30,2026-01-15,Thursday,'18:49:12.251000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:15.014000+05:30,2026-01-15,Thursday,'18:49:15.014000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:15.274000+05:30,2026-01-15,Thursday,'18:49:15.274000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:15.503000+05:30,2026-01-15,Thursday,'18:49:15.503000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:16.228000+05:30,2026-01-15,Thursday,'18:49:16.228000
d6d67ee2-9ae4-40ba-913c-c000b9024dfd,_location_elastic-town-search,application,2026-01-15 18:49:16.436000+05:30,2026-01-15,Thursday,'18:49:16.436000
