user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,DeviceInfo,application,2026-01-02 08:53:49.279000+05:30,2026-01-02,Friday,'08:53:49.279000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Session Started,system,2026-01-02 08:53:50.058000+05:30,2026-01-02,Friday,'08:53:50.058000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,App Installed,system,2026-01-02 08:53:50.058000+05:30,2026-01-02,Friday,'08:53:50.058000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Journey Started,system,2026-01-02 08:53:50.072000+05:30,2026-01-02,Friday,'08:53:50.072000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Push Subscribe Process - Device Registered (Push),system,2026-01-02 08:53:50.896000+05:30,2026-01-02,Friday,'08:53:50.896000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,app_start,application,2026-01-02 08:53:52.933000+05:30,2026-01-02,Friday,'08:53:52.933000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,choose_language,application,2026-01-02 08:53:54.752000+05:30,2026-01-02,Friday,'08:53:54.752000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Onboarding_Language,application,2026-01-02 08:53:54.796000+05:30,2026-01-02,Friday,'08:53:54.796000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,choose_language,application,2026-01-02 08:53:58.888000+05:30,2026-01-02,Friday,'08:53:58.888000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Journey Ended,system,2026-01-02 08:53:58.912000+05:30,2026-01-02,Friday,'08:53:58.912000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Journey Started,system,2026-01-02 08:53:58.912000+05:30,2026-01-02,Friday,'08:53:58.912000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Journey Ended,system,2026-01-02 08:53:58.934000+05:30,2026-01-02,Friday,'08:53:58.934000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Onboarding_Language,application,2026-01-02 08:53:59.856000+05:30,2026-01-02,Friday,'08:53:59.856000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,generate_otp,application,2026-01-02 08:54:09.436000+05:30,2026-01-02,Friday,'08:54:09.436000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Onboarding_get_otp,application,2026-01-02 08:54:09.436000+05:30,2026-01-02,Friday,'08:54:09.436000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,_auth_generate-otp,application,2026-01-02 08:54:11.201000+05:30,2026-01-02,Friday,'08:54:11.201000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,get_otp,application,2026-01-02 08:54:11.223000+05:30,2026-01-02,Friday,'08:54:11.223000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Onboarding_signup_,application,2026-01-02 08:54:11.278000+05:30,2026-01-02,Friday,'08:54:11.278000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,verify_otp,application,2026-01-02 08:54:40.651000+05:30,2026-01-02,Friday,'08:54:40.651000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,_auth_verify-otp,application,2026-01-02 08:54:41.100000+05:30,2026-01-02,Friday,'08:54:41.100000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,enter_otp,application,2026-01-02 08:54:41.100000+05:30,2026-01-02,Friday,'08:54:41.100000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,User Login,system,2026-01-02 08:54:41.677000+05:30,2026-01-02,Friday,'08:54:41.677000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,login,application,2026-01-02 08:54:42.192000+05:30,2026-01-02,Friday,'08:54:42.192000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,_user,application,2026-01-02 08:54:42.271000+05:30,2026-01-02,Friday,'08:54:42.271000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,_location_from-town,application,2026-01-02 08:54:42.912000+05:30,2026-01-02,Friday,'08:54:42.912000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,Onboarding_Profile Saved,application,2026-01-02 08:54:43.006000+05:30,2026-01-02,Friday,'08:54:43.006000
d72c39d0-ab70-4ab1-9f1a-456f5e8d1bd3,_user,application,2026-01-02 08:55:01.960000+05:30,2026-01-02,Friday,'08:55:01.960000
