user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d83556dc-4859-451a-90f9-a7e3b88e8fbe,DeviceInfo,application,2026-01-13 11:59:17.283000+05:30,2026-01-13,Tuesday,'11:59:17.283000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Session Started,system,2026-01-13 11:59:17.625000+05:30,2026-01-13,Tuesday,'11:59:17.625000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,App Installed,system,2026-01-13 11:59:17.856000+05:30,2026-01-13,Tuesday,'11:59:17.856000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,app_start,application,2026-01-13 11:59:18.452000+05:30,2026-01-13,Tuesday,'11:59:18.452000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Push Subscribe Process - Device Registered (Push),system,2026-01-13 11:59:18.556000+05:30,2026-01-13,Tuesday,'11:59:18.556000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,choose_language,application,2026-01-13 11:59:24.067000+05:30,2026-01-13,Tuesday,'11:59:24.067000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_Language,application,2026-01-13 11:59:24.094000+05:30,2026-01-13,Tuesday,'11:59:24.094000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 11:59:33.046000+05:30,2026-01-13,Tuesday,'11:59:33.046000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 11:59:33.063000+05:30,2026-01-13,Tuesday,'11:59:33.063000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 12:00:00.218000+05:30,2026-01-13,Tuesday,'12:00:00.218000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 12:00:00.239000+05:30,2026-01-13,Tuesday,'12:00:00.239000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 12:00:11.180000+05:30,2026-01-13,Tuesday,'12:00:11.180000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 12:00:11.192000+05:30,2026-01-13,Tuesday,'12:00:11.192000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 12:00:26.892000+05:30,2026-01-13,Tuesday,'12:00:26.892000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 12:00:26.915000+05:30,2026-01-13,Tuesday,'12:00:26.915000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 12:00:27.824000+05:30,2026-01-13,Tuesday,'12:00:27.824000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 12:00:27.843000+05:30,2026-01-13,Tuesday,'12:00:27.843000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 12:00:28.095000+05:30,2026-01-13,Tuesday,'12:00:28.095000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 12:00:28.112000+05:30,2026-01-13,Tuesday,'12:00:28.112000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_Whtsapp unchecked,application,2026-01-13 12:00:35.058000+05:30,2026-01-13,Tuesday,'12:00:35.058000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_T&C unchecked,application,2026-01-13 12:00:36.943000+05:30,2026-01-13,Tuesday,'12:00:36.943000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_T&C agree,application,2026-01-13 12:00:43.402000+05:30,2026-01-13,Tuesday,'12:00:43.402000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 12:00:44.978000+05:30,2026-01-13,Tuesday,'12:00:44.978000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 12:00:45.001000+05:30,2026-01-13,Tuesday,'12:00:45.001000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 12:01:02.911000+05:30,2026-01-13,Tuesday,'12:01:02.911000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 12:01:02.942000+05:30,2026-01-13,Tuesday,'12:01:02.942000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_backpressed,application,2026-01-13 12:01:08.484000+05:30,2026-01-13,Tuesday,'12:01:08.484000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Journey Started,system,2026-01-13 15:01:42.288000+05:30,2026-01-13,Tuesday,'15:01:42.288000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Journey Ended,system,2026-01-13 15:01:42.300000+05:30,2026-01-13,Tuesday,'15:01:42.300000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Journey Started,system,2026-01-13 15:01:42.300000+05:30,2026-01-13,Tuesday,'15:01:42.300000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Session Started,system,2026-01-13 18:04:53.985000+05:30,2026-01-13,Tuesday,'18:04:53.985000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,choose_language,application,2026-01-13 18:04:57.729000+05:30,2026-01-13,Tuesday,'18:04:57.729000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_Language,application,2026-01-13 18:04:57.737000+05:30,2026-01-13,Tuesday,'18:04:57.737000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,generate_otp,application,2026-01-13 18:05:04.735000+05:30,2026-01-13,Tuesday,'18:05:04.735000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Onboarding_get_otp,application,2026-01-13 18:05:04.755000+05:30,2026-01-13,Tuesday,'18:05:04.755000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Journey Started,system,2026-01-13 18:05:05.009000+05:30,2026-01-13,Tuesday,'18:05:05.009000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,Journey Ended,system,2026-01-13 18:05:05.010000+05:30,2026-01-13,Tuesday,'18:05:05.010000
d83556dc-4859-451a-90f9-a7e3b88e8fbe,_auth_generate-otp,application,2026-01-13 18:05:06.757000+05:30,2026-01-13,Tuesday,'18:05:06.757000
