user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d8828679-7323-4976-a75b-f556f12fce23,DeviceInfo,application,2026-01-10 12:21:00.666000+05:30,2026-01-10,Saturday,'12:21:00.666000
d8828679-7323-4976-a75b-f556f12fce23,Session Started,system,2026-01-10 12:21:00.860000+05:30,2026-01-10,Saturday,'12:21:00.860000
d8828679-7323-4976-a75b-f556f12fce23,App Installed,system,2026-01-10 12:21:00.880000+05:30,2026-01-10,Saturday,'12:21:00.880000
d8828679-7323-4976-a75b-f556f12fce23,app_start,application,2026-01-10 12:21:02.089000+05:30,2026-01-10,Saturday,'12:21:02.089000
d8828679-7323-4976-a75b-f556f12fce23,Journey Started,system,2026-01-10 12:21:02.328000+05:30,2026-01-10,Saturday,'12:21:02.328000
d8828679-7323-4976-a75b-f556f12fce23,Push Subscribe Process - Device Registered (Push),system,2026-01-10 12:21:02.808000+05:30,2026-01-10,Saturday,'12:21:02.808000
d8828679-7323-4976-a75b-f556f12fce23,choose_language,application,2026-01-10 12:21:07.912000+05:30,2026-01-10,Saturday,'12:21:07.912000
d8828679-7323-4976-a75b-f556f12fce23,Onboarding_Language,application,2026-01-10 12:21:07.922000+05:30,2026-01-10,Saturday,'12:21:07.922000
d8828679-7323-4976-a75b-f556f12fce23,generate_otp,application,2026-01-10 12:21:20.360000+05:30,2026-01-10,Saturday,'12:21:20.360000
d8828679-7323-4976-a75b-f556f12fce23,Onboarding_get_otp,application,2026-01-10 12:21:20.385000+05:30,2026-01-10,Saturday,'12:21:20.385000
d8828679-7323-4976-a75b-f556f12fce23,_auth_generate-otp,application,2026-01-10 12:21:21.104000+05:30,2026-01-10,Saturday,'12:21:21.104000
d8828679-7323-4976-a75b-f556f12fce23,get_otp,application,2026-01-10 12:21:21.113000+05:30,2026-01-10,Saturday,'12:21:21.113000
d8828679-7323-4976-a75b-f556f12fce23,Onboarding_signup_,application,2026-01-10 12:21:21.127000+05:30,2026-01-10,Saturday,'12:21:21.127000
d8828679-7323-4976-a75b-f556f12fce23,Journey Ended,system,2026-01-10 12:21:21.321000+05:30,2026-01-10,Saturday,'12:21:21.321000
d8828679-7323-4976-a75b-f556f12fce23,Journey Started,system,2026-01-10 12:21:21.321000+05:30,2026-01-10,Saturday,'12:21:21.321000
d8828679-7323-4976-a75b-f556f12fce23,verify_otp,application,2026-01-10 12:21:23.049000+05:30,2026-01-10,Saturday,'12:21:23.049000
