user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,DeviceInfo,application,2026-01-16 16:41:26.839000+05:30,2026-01-16,Friday,'16:41:26.839000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Session Started,system,2026-01-16 16:41:26.979000+05:30,2026-01-16,Friday,'16:41:26.979000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,App Installed,system,2026-01-16 16:41:26.979000+05:30,2026-01-16,Friday,'16:41:26.979000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,app_start,application,2026-01-16 16:41:28.883000+05:30,2026-01-16,Friday,'16:41:28.883000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Push Subscribe Process - Device Registered (Push),system,2026-01-16 16:41:29.070000+05:30,2026-01-16,Friday,'16:41:29.070000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,choose_language,application,2026-01-16 16:41:34.370000+05:30,2026-01-16,Friday,'16:41:34.370000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Onboarding_Language,application,2026-01-16 16:41:34.376000+05:30,2026-01-16,Friday,'16:41:34.376000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Onboarding_get_otp,application,2026-01-16 16:41:51.986000+05:30,2026-01-16,Friday,'16:41:51.986000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,generate_otp,application,2026-01-16 16:41:51.986000+05:30,2026-01-16,Friday,'16:41:51.986000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Journey Ended,system,2026-01-16 16:41:52.725000+05:30,2026-01-16,Friday,'16:41:52.725000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Journey Started,system,2026-01-16 16:41:52.725000+05:30,2026-01-16,Friday,'16:41:52.725000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,_auth_generate-otp,application,2026-01-16 16:41:53.260000+05:30,2026-01-16,Friday,'16:41:53.260000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,get_otp,application,2026-01-16 16:41:53.272000+05:30,2026-01-16,Friday,'16:41:53.272000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Onboarding_signup_,application,2026-01-16 16:41:53.284000+05:30,2026-01-16,Friday,'16:41:53.284000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,_auth_verify-otp,application,2026-01-16 16:42:05.623000+05:30,2026-01-16,Friday,'16:42:05.623000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,verify_otp,application,2026-01-16 16:42:05.623000+05:30,2026-01-16,Friday,'16:42:05.623000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,enter_otp,application,2026-01-16 16:42:06.061000+05:30,2026-01-16,Friday,'16:42:06.061000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,User Login,system,2026-01-16 16:42:06.072000+05:30,2026-01-16,Friday,'16:42:06.072000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,login,application,2026-01-16 16:42:06.405000+05:30,2026-01-16,Friday,'16:42:06.405000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,_user,application,2026-01-16 16:42:06.411000+05:30,2026-01-16,Friday,'16:42:06.411000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,_location_from-town,application,2026-01-16 16:42:06.967000+05:30,2026-01-16,Friday,'16:42:06.967000
d9cb7a29-9b6e-480e-8f22-75ae77e1d0f7,Onboarding_Profile Saved,application,2026-01-16 16:42:08.863000+05:30,2026-01-16,Friday,'16:42:08.863000
