user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
dacafbbc-ca4c-4375-8707-007379e2679f,DeviceInfo,application,2026-01-12 16:28:38.547000+05:30,2026-01-12,Monday,'16:28:38.547000
dacafbbc-ca4c-4375-8707-007379e2679f,Session Started,system,2026-01-12 16:28:39.644000+05:30,2026-01-12,Monday,'16:28:39.644000
dacafbbc-ca4c-4375-8707-007379e2679f,App Installed,system,2026-01-12 16:28:39.725000+05:30,2026-01-12,Monday,'16:28:39.725000
dacafbbc-ca4c-4375-8707-007379e2679f,Journey Started,system,2026-01-12 16:28:41.507000+05:30,2026-01-12,Monday,'16:28:41.507000
dacafbbc-ca4c-4375-8707-007379e2679f,app_start,application,2026-01-12 16:28:41.966000+05:30,2026-01-12,Monday,'16:28:41.966000
dacafbbc-ca4c-4375-8707-007379e2679f,choose_language,application,2026-01-12 16:28:51.849000+05:30,2026-01-12,Monday,'16:28:51.849000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_Language,application,2026-01-12 16:28:51.870000+05:30,2026-01-12,Monday,'16:28:51.870000
dacafbbc-ca4c-4375-8707-007379e2679f,choose_language,application,2026-01-12 16:28:51.919000+05:30,2026-01-12,Monday,'16:28:51.919000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_Language,application,2026-01-12 16:28:51.949000+05:30,2026-01-12,Monday,'16:28:51.949000
dacafbbc-ca4c-4375-8707-007379e2679f,Journey Ended,system,2026-01-12 16:28:55.468000+05:30,2026-01-12,Monday,'16:28:55.468000
dacafbbc-ca4c-4375-8707-007379e2679f,Journey Started,system,2026-01-12 16:28:55.468000+05:30,2026-01-12,Monday,'16:28:55.468000
dacafbbc-ca4c-4375-8707-007379e2679f,Journey Ended,system,2026-01-12 16:28:55.472000+05:30,2026-01-12,Monday,'16:28:55.472000
dacafbbc-ca4c-4375-8707-007379e2679f,Journey Started,system,2026-01-12 16:28:55.472000+05:30,2026-01-12,Monday,'16:28:55.472000
dacafbbc-ca4c-4375-8707-007379e2679f,generate_otp,application,2026-01-12 16:29:18.450000+05:30,2026-01-12,Monday,'16:29:18.450000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_get_otp,application,2026-01-12 16:29:18.463000+05:30,2026-01-12,Monday,'16:29:18.463000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_generate-otp,application,2026-01-12 16:29:21.215000+05:30,2026-01-12,Monday,'16:29:21.215000
dacafbbc-ca4c-4375-8707-007379e2679f,get_otp,application,2026-01-12 16:29:21.226000+05:30,2026-01-12,Monday,'16:29:21.226000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_signup_,application,2026-01-12 16:29:21.263000+05:30,2026-01-12,Monday,'16:29:21.263000
dacafbbc-ca4c-4375-8707-007379e2679f,verify_otp,application,2026-01-12 16:29:33.245000+05:30,2026-01-12,Monday,'16:29:33.245000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_verify-otp,application,2026-01-12 16:29:33.786000+05:30,2026-01-12,Monday,'16:29:33.786000
dacafbbc-ca4c-4375-8707-007379e2679f,enter_otp,application,2026-01-12 16:29:33.827000+05:30,2026-01-12,Monday,'16:29:33.827000
dacafbbc-ca4c-4375-8707-007379e2679f,verify_otp,application,2026-01-12 16:29:50.171000+05:30,2026-01-12,Monday,'16:29:50.171000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_verify-otp,application,2026-01-12 16:29:50.509000+05:30,2026-01-12,Monday,'16:29:50.509000
dacafbbc-ca4c-4375-8707-007379e2679f,enter_otp,application,2026-01-12 16:29:50.527000+05:30,2026-01-12,Monday,'16:29:50.527000
dacafbbc-ca4c-4375-8707-007379e2679f,verify_otp,application,2026-01-12 16:30:01.483000+05:30,2026-01-12,Monday,'16:30:01.483000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_verify-otp,application,2026-01-12 16:30:01.922000+05:30,2026-01-12,Monday,'16:30:01.922000
dacafbbc-ca4c-4375-8707-007379e2679f,enter_otp,application,2026-01-12 16:30:01.940000+05:30,2026-01-12,Monday,'16:30:01.940000
dacafbbc-ca4c-4375-8707-007379e2679f,verify_otp,application,2026-01-12 16:30:27.712000+05:30,2026-01-12,Monday,'16:30:27.712000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_verify-otp,application,2026-01-12 16:30:53.157000+05:30,2026-01-12,Monday,'16:30:53.157000
dacafbbc-ca4c-4375-8707-007379e2679f,enter_otp,application,2026-01-12 16:30:53.167000+05:30,2026-01-12,Monday,'16:30:53.167000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_verify-otp,application,2026-01-12 16:30:53.176000+05:30,2026-01-12,Monday,'16:30:53.176000
dacafbbc-ca4c-4375-8707-007379e2679f,enter_otp,application,2026-01-12 16:30:53.200000+05:30,2026-01-12,Monday,'16:30:53.200000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_verify-otp,application,2026-01-12 16:30:53.208000+05:30,2026-01-12,Monday,'16:30:53.208000
dacafbbc-ca4c-4375-8707-007379e2679f,enter_otp,application,2026-01-12 16:30:53.216000+05:30,2026-01-12,Monday,'16:30:53.216000
dacafbbc-ca4c-4375-8707-007379e2679f,User Login,system,2026-01-12 16:30:53.230000+05:30,2026-01-12,Monday,'16:30:53.230000
dacafbbc-ca4c-4375-8707-007379e2679f,login,application,2026-01-12 16:30:53.827000+05:30,2026-01-12,Monday,'16:30:53.827000
dacafbbc-ca4c-4375-8707-007379e2679f,_user,application,2026-01-12 16:30:53.856000+05:30,2026-01-12,Monday,'16:30:53.856000
dacafbbc-ca4c-4375-8707-007379e2679f,_auth_verify-otp,application,2026-01-12 16:30:53.884000+05:30,2026-01-12,Monday,'16:30:53.884000
dacafbbc-ca4c-4375-8707-007379e2679f,enter_otp,application,2026-01-12 16:30:53.899000+05:30,2026-01-12,Monday,'16:30:53.899000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_Profile Saved,application,2026-01-12 16:30:56.347000+05:30,2026-01-12,Monday,'16:30:56.347000
dacafbbc-ca4c-4375-8707-007379e2679f,_location_from-town,application,2026-01-12 16:30:59.184000+05:30,2026-01-12,Monday,'16:30:59.184000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_Profile Saved,application,2026-01-12 16:31:01.749000+05:30,2026-01-12,Monday,'16:31:01.749000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_backpressed,application,2026-01-12 16:33:51.121000+05:30,2026-01-12,Monday,'16:33:51.121000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_Profile Saved,application,2026-01-12 16:33:51.130000+05:30,2026-01-12,Monday,'16:33:51.130000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_backpressed,application,2026-01-12 16:34:17.963000+05:30,2026-01-12,Monday,'16:34:17.963000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_Profile Saved,application,2026-01-12 16:34:29.656000+05:30,2026-01-12,Monday,'16:34:29.656000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_backpressed,application,2026-01-12 16:34:42.124000+05:30,2026-01-12,Monday,'16:34:42.124000
dacafbbc-ca4c-4375-8707-007379e2679f,Onboarding_Profile Saved,application,2026-01-12 16:34:51.199000+05:30,2026-01-12,Monday,'16:34:51.199000
dacafbbc-ca4c-4375-8707-007379e2679f,_user,application,2026-01-12 16:34:51.977000+05:30,2026-01-12,Monday,'16:34:51.977000
dacafbbc-ca4c-4375-8707-007379e2679f,_user_device,application,2026-01-12 16:35:07.800000+05:30,2026-01-12,Monday,'16:35:07.800000
dacafbbc-ca4c-4375-8707-007379e2679f,_user,application,2026-01-12 16:35:09.616000+05:30,2026-01-12,Monday,'16:35:09.616000
dacafbbc-ca4c-4375-8707-007379e2679f,_history_recommended-journey,application,2026-01-12 16:35:09.806000+05:30,2026-01-12,Monday,'16:35:09.806000
