user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
db82a89a-0520-471f-8181-93cb4a0c3b6a,DeviceInfo,application,2026-01-07 02:06:13.187000+05:30,2026-01-07,Wednesday,'02:06:13.187000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Session Started,system,2026-01-07 02:06:13.828000+05:30,2026-01-07,Wednesday,'02:06:13.828000
db82a89a-0520-471f-8181-93cb4a0c3b6a,App Installed,system,2026-01-07 02:06:13.923000+05:30,2026-01-07,Wednesday,'02:06:13.923000
db82a89a-0520-471f-8181-93cb4a0c3b6a,app_start,application,2026-01-07 02:06:14.017000+05:30,2026-01-07,Wednesday,'02:06:14.017000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Push Subscribe Process - Device Registered (Push),system,2026-01-07 02:06:14.023000+05:30,2026-01-07,Wednesday,'02:06:14.023000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Journey Started,system,2026-01-07 02:06:15.315000+05:30,2026-01-07,Wednesday,'02:06:15.315000
db82a89a-0520-471f-8181-93cb4a0c3b6a,choose_language,application,2026-01-07 02:06:15.791000+05:30,2026-01-07,Wednesday,'02:06:15.791000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Onboarding_Language,application,2026-01-07 02:06:15.837000+05:30,2026-01-07,Wednesday,'02:06:15.837000
db82a89a-0520-471f-8181-93cb4a0c3b6a,generate_otp,application,2026-01-07 02:06:35.061000+05:30,2026-01-07,Wednesday,'02:06:35.061000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Onboarding_get_otp,application,2026-01-07 02:06:35.091000+05:30,2026-01-07,Wednesday,'02:06:35.091000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Journey Ended,system,2026-01-07 02:06:36.599000+05:30,2026-01-07,Wednesday,'02:06:36.599000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Journey Started,system,2026-01-07 02:06:36.599000+05:30,2026-01-07,Wednesday,'02:06:36.599000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_auth_generate-otp,application,2026-01-07 02:06:37.116000+05:30,2026-01-07,Wednesday,'02:06:37.116000
db82a89a-0520-471f-8181-93cb4a0c3b6a,get_otp,application,2026-01-07 02:06:37.134000+05:30,2026-01-07,Wednesday,'02:06:37.134000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Onboarding_signup_,application,2026-01-07 02:06:37.151000+05:30,2026-01-07,Wednesday,'02:06:37.151000
db82a89a-0520-471f-8181-93cb4a0c3b6a,verify_otp,application,2026-01-07 02:06:40.368000+05:30,2026-01-07,Wednesday,'02:06:40.368000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_auth_verify-otp,application,2026-01-07 02:06:40.625000+05:30,2026-01-07,Wednesday,'02:06:40.625000
db82a89a-0520-471f-8181-93cb4a0c3b6a,enter_otp,application,2026-01-07 02:06:40.649000+05:30,2026-01-07,Wednesday,'02:06:40.649000
db82a89a-0520-471f-8181-93cb4a0c3b6a,User Login,system,2026-01-07 02:06:40.690000+05:30,2026-01-07,Wednesday,'02:06:40.690000
db82a89a-0520-471f-8181-93cb4a0c3b6a,login,application,2026-01-07 02:06:40.935000+05:30,2026-01-07,Wednesday,'02:06:40.935000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_user,application,2026-01-07 02:06:40.940000+05:30,2026-01-07,Wednesday,'02:06:40.940000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_location_from-town,application,2026-01-07 02:06:41.315000+05:30,2026-01-07,Wednesday,'02:06:41.315000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Onboarding_Profile Saved,application,2026-01-07 02:06:42.457000+05:30,2026-01-07,Wednesday,'02:06:42.457000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_user,application,2026-01-07 02:06:47.038000+05:30,2026-01-07,Wednesday,'02:06:47.038000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_history_recommended-journey,application,2026-01-07 02:06:49.263000+05:30,2026-01-07,Wednesday,'02:06:49.263000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_user_device,application,2026-01-07 02:06:49.364000+05:30,2026-01-07,Wednesday,'02:06:49.364000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_location_from-town,application,2026-01-07 02:06:49.378000+05:30,2026-01-07,Wednesday,'02:06:49.378000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_user,application,2026-01-07 02:06:49.461000+05:30,2026-01-07,Wednesday,'02:06:49.461000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_location_special-town-search,application,2026-01-07 02:06:49.616000+05:30,2026-01-07,Wednesday,'02:06:49.616000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_ticket,application,2026-01-07 02:06:49.661000+05:30,2026-01-07,Wednesday,'02:06:49.661000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_location_special-town-search,application,2026-01-07 02:06:54.303000+05:30,2026-01-07,Wednesday,'02:06:54.303000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_location_elastic-town-search,application,2026-01-07 02:06:54.524000+05:30,2026-01-07,Wednesday,'02:06:54.524000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_location_special-town-search,application,2026-01-07 02:07:14.924000+05:30,2026-01-07,Wednesday,'02:07:14.924000
db82a89a-0520-471f-8181-93cb4a0c3b6a,_location_elastic-town-search,application,2026-01-07 02:07:15.035000+05:30,2026-01-07,Wednesday,'02:07:15.035000
db82a89a-0520-471f-8181-93cb4a0c3b6a,Push Failure,system,2026-01-08 04:18:38.824000+05:30,2026-01-08,Thursday,'04:18:38.824000
