user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
dc30393d-cf4f-4842-b8a3-36891c4a4472,App Installed,system,2026-01-02 14:43:27.940000+05:30,2026-01-02,Friday,'14:43:27.940000
dc30393d-cf4f-4842-b8a3-36891c4a4472,App Uninstalled,system,2026-01-02 17:59:29.118000+05:30,2026-01-02,Friday,'17:59:29.118000
dc30393d-cf4f-4842-b8a3-36891c4a4472,DeviceInfo,application,2026-01-02 14:43:25.962000+05:30,2026-01-02,Friday,'14:43:25.962000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Journey Ended,system,2026-01-02 14:43:48.917000+05:30,2026-01-02,Friday,'14:43:48.917000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Journey Ended,system,2026-01-02 14:44:21.391000+05:30,2026-01-02,Friday,'14:44:21.391000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Journey Ended,system,2026-01-02 14:47:15.583000+05:30,2026-01-02,Friday,'14:47:15.583000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Journey Started,system,2026-01-02 14:43:30.193000+05:30,2026-01-02,Friday,'14:43:30.193000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Journey Started,system,2026-01-02 14:43:48.917000+05:30,2026-01-02,Friday,'14:43:48.917000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Journey Started,system,2026-01-02 14:44:21.391000+05:30,2026-01-02,Friday,'14:44:21.391000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Journey Started,system,2026-01-02 14:47:15.583000+05:30,2026-01-02,Friday,'14:47:15.583000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_Language,application,2026-01-02 14:43:46.388000+05:30,2026-01-02,Friday,'14:43:46.388000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_Language,application,2026-01-02 14:43:46.655000+05:30,2026-01-02,Friday,'14:43:46.655000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_Language,application,2026-01-02 14:43:58.902000+05:30,2026-01-02,Friday,'14:43:58.902000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_Language,application,2026-01-02 14:47:09.462000+05:30,2026-01-02,Friday,'14:47:09.462000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_Language,application,2026-01-02 14:47:09.578000+05:30,2026-01-02,Friday,'14:47:09.578000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_Language,application,2026-01-02 14:47:12.399000+05:30,2026-01-02,Friday,'14:47:12.399000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_get_otp,application,2026-01-02 14:44:18.726000+05:30,2026-01-02,Friday,'14:44:18.726000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_get_otp,application,2026-01-02 14:47:30.135000+05:30,2026-01-02,Friday,'14:47:30.135000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_signup_,application,2026-01-02 14:44:21.773000+05:30,2026-01-02,Friday,'14:44:21.773000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_signup_,application,2026-01-02 14:44:39.573000+05:30,2026-01-02,Friday,'14:44:39.573000
dc30393d-cf4f-4842-b8a3-36891c4a4472,Onboarding_signup_,application,2026-01-02 14:44:56.199000+05:30,2026-01-02,Friday,'14:44:56.199000
