user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e16a2f7e-46b2-4859-b14c-daebf9278757,DeviceInfo,application,2026-01-06 23:25:16.199000+05:30,2026-01-06,Tuesday,'23:25:16.199000
e16a2f7e-46b2-4859-b14c-daebf9278757,Session Started,system,2026-01-06 23:25:16.639000+05:30,2026-01-06,Tuesday,'23:25:16.639000
e16a2f7e-46b2-4859-b14c-daebf9278757,App Installed,system,2026-01-06 23:25:16.707000+05:30,2026-01-06,Tuesday,'23:25:16.707000
e16a2f7e-46b2-4859-b14c-daebf9278757,Journey Started,system,2026-01-06 23:25:17.323000+05:30,2026-01-06,Tuesday,'23:25:17.323000
e16a2f7e-46b2-4859-b14c-daebf9278757,app_start,application,2026-01-06 23:25:17.432000+05:30,2026-01-06,Tuesday,'23:25:17.432000
e16a2f7e-46b2-4859-b14c-daebf9278757,Push Subscribe Process - Device Registered (Push),system,2026-01-06 23:25:17.792000+05:30,2026-01-06,Tuesday,'23:25:17.792000
e16a2f7e-46b2-4859-b14c-daebf9278757,choose_language,application,2026-01-06 23:25:21.520000+05:30,2026-01-06,Tuesday,'23:25:21.520000
e16a2f7e-46b2-4859-b14c-daebf9278757,Onboarding_Language,application,2026-01-06 23:25:21.531000+05:30,2026-01-06,Tuesday,'23:25:21.531000
e16a2f7e-46b2-4859-b14c-daebf9278757,generate_otp,application,2026-01-06 23:25:40.267000+05:30,2026-01-06,Tuesday,'23:25:40.267000
e16a2f7e-46b2-4859-b14c-daebf9278757,Onboarding_get_otp,application,2026-01-06 23:25:40.292000+05:30,2026-01-06,Tuesday,'23:25:40.292000
e16a2f7e-46b2-4859-b14c-daebf9278757,Journey Ended,system,2026-01-06 23:25:40.973000+05:30,2026-01-06,Tuesday,'23:25:40.973000
e16a2f7e-46b2-4859-b14c-daebf9278757,Journey Started,system,2026-01-06 23:25:40.973000+05:30,2026-01-06,Tuesday,'23:25:40.973000
e16a2f7e-46b2-4859-b14c-daebf9278757,_auth_generate-otp,application,2026-01-06 23:25:41.077000+05:30,2026-01-06,Tuesday,'23:25:41.077000
e16a2f7e-46b2-4859-b14c-daebf9278757,get_otp,application,2026-01-06 23:25:41.085000+05:30,2026-01-06,Tuesday,'23:25:41.085000
e16a2f7e-46b2-4859-b14c-daebf9278757,Onboarding_signup_,application,2026-01-06 23:25:41.103000+05:30,2026-01-06,Tuesday,'23:25:41.103000
e16a2f7e-46b2-4859-b14c-daebf9278757,verify_otp,application,2026-01-06 23:25:42.568000+05:30,2026-01-06,Tuesday,'23:25:42.568000
e16a2f7e-46b2-4859-b14c-daebf9278757,_auth_verify-otp,application,2026-01-06 23:25:42.848000+05:30,2026-01-06,Tuesday,'23:25:42.848000
e16a2f7e-46b2-4859-b14c-daebf9278757,enter_otp,application,2026-01-06 23:25:42.887000+05:30,2026-01-06,Tuesday,'23:25:42.887000
e16a2f7e-46b2-4859-b14c-daebf9278757,User Login,system,2026-01-06 23:25:42.903000+05:30,2026-01-06,Tuesday,'23:25:42.903000
e16a2f7e-46b2-4859-b14c-daebf9278757,login,application,2026-01-06 23:25:43.200000+05:30,2026-01-06,Tuesday,'23:25:43.200000
e16a2f7e-46b2-4859-b14c-daebf9278757,_user,application,2026-01-06 23:25:43.216000+05:30,2026-01-06,Tuesday,'23:25:43.216000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_from-town,application,2026-01-06 23:25:43.582000+05:30,2026-01-06,Tuesday,'23:25:43.582000
e16a2f7e-46b2-4859-b14c-daebf9278757,Onboarding_Profile Saved,application,2026-01-06 23:25:46.197000+05:30,2026-01-06,Tuesday,'23:25:46.197000
e16a2f7e-46b2-4859-b14c-daebf9278757,_user,application,2026-01-06 23:25:48.116000+05:30,2026-01-06,Tuesday,'23:25:48.116000
e16a2f7e-46b2-4859-b14c-daebf9278757,_history_recommended-journey,application,2026-01-06 23:25:51.595000+05:30,2026-01-06,Tuesday,'23:25:51.595000
e16a2f7e-46b2-4859-b14c-daebf9278757,_user_device,application,2026-01-06 23:25:51.634000+05:30,2026-01-06,Tuesday,'23:25:51.634000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_from-town,application,2026-01-06 23:25:51.700000+05:30,2026-01-06,Tuesday,'23:25:51.700000
e16a2f7e-46b2-4859-b14c-daebf9278757,_user,application,2026-01-06 23:25:51.847000+05:30,2026-01-06,Tuesday,'23:25:51.847000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_special-town-search,application,2026-01-06 23:25:51.919000+05:30,2026-01-06,Tuesday,'23:25:51.919000
e16a2f7e-46b2-4859-b14c-daebf9278757,_ticket,application,2026-01-06 23:25:52.097000+05:30,2026-01-06,Tuesday,'23:25:52.097000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_special-town-search,application,2026-01-06 23:25:56.684000+05:30,2026-01-06,Tuesday,'23:25:56.684000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_elastic-town-search,application,2026-01-06 23:25:56.948000+05:30,2026-01-06,Tuesday,'23:25:56.948000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_special-town-search,application,2026-01-06 23:27:20.115000+05:30,2026-01-06,Tuesday,'23:27:20.115000
e16a2f7e-46b2-4859-b14c-daebf9278757,Buslist_date change,application,2026-01-06 23:27:39.423000+05:30,2026-01-06,Tuesday,'23:27:39.423000
e16a2f7e-46b2-4859-b14c-daebf9278757,_user,application,2026-01-06 23:27:39.653000+05:30,2026-01-06,Tuesday,'23:27:39.653000
e16a2f7e-46b2-4859-b14c-daebf9278757,pageview_bus_list,application,2026-01-06 23:27:39.667000+05:30,2026-01-06,Tuesday,'23:27:39.667000
e16a2f7e-46b2-4859-b14c-daebf9278757,_bus-search_user-bus-search,application,2026-01-06 23:27:39.689000+05:30,2026-01-06,Tuesday,'23:27:39.689000
e16a2f7e-46b2-4859-b14c-daebf9278757,_bus-search_list,application,2026-01-06 23:27:43.145000+05:30,2026-01-06,Tuesday,'23:27:43.145000
e16a2f7e-46b2-4859-b14c-daebf9278757,_rewards_best-V2,application,2026-01-06 23:27:43.899000+05:30,2026-01-06,Tuesday,'23:27:43.899000
e16a2f7e-46b2-4859-b14c-daebf9278757,Buslist_date change,application,2026-01-06 23:27:43.913000+05:30,2026-01-06,Tuesday,'23:27:43.913000
e16a2f7e-46b2-4859-b14c-daebf9278757,bus_search,application,2026-01-06 23:27:43.981000+05:30,2026-01-06,Tuesday,'23:27:43.981000
e16a2f7e-46b2-4859-b14c-daebf9278757,bus_result,application,2026-01-06 23:27:43.993000+05:30,2026-01-06,Tuesday,'23:27:43.993000
e16a2f7e-46b2-4859-b14c-daebf9278757,Journey Started,system,2026-01-06 23:28:26.885000+05:30,2026-01-06,Tuesday,'23:28:26.885000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_special-town-search,application,2026-01-06 23:29:11.930000+05:30,2026-01-06,Tuesday,'23:29:11.930000
e16a2f7e-46b2-4859-b14c-daebf9278757,_location_elastic-town-search,application,2026-01-06 23:29:12.232000+05:30,2026-01-06,Tuesday,'23:29:12.232000
e16a2f7e-46b2-4859-b14c-daebf9278757,Buslist_date change,application,2026-01-06 23:29:30.867000+05:30,2026-01-06,Tuesday,'23:29:30.867000
e16a2f7e-46b2-4859-b14c-daebf9278757,_user,application,2026-01-06 23:29:31.073000+05:30,2026-01-06,Tuesday,'23:29:31.073000
e16a2f7e-46b2-4859-b14c-daebf9278757,pageview_bus_list,application,2026-01-06 23:29:31.114000+05:30,2026-01-06,Tuesday,'23:29:31.114000
e16a2f7e-46b2-4859-b14c-daebf9278757,_bus-search_user-bus-search,application,2026-01-06 23:29:31.155000+05:30,2026-01-06,Tuesday,'23:29:31.155000
e16a2f7e-46b2-4859-b14c-daebf9278757,_bus-search_list,application,2026-01-06 23:29:33.188000+05:30,2026-01-06,Tuesday,'23:29:33.188000
e16a2f7e-46b2-4859-b14c-daebf9278757,_rewards_best-V2,application,2026-01-06 23:29:33.699000+05:30,2026-01-06,Tuesday,'23:29:33.699000
e16a2f7e-46b2-4859-b14c-daebf9278757,Buslist_date change,application,2026-01-06 23:29:33.711000+05:30,2026-01-06,Tuesday,'23:29:33.711000
e16a2f7e-46b2-4859-b14c-daebf9278757,bus_search,application,2026-01-06 23:29:33.808000+05:30,2026-01-06,Tuesday,'23:29:33.808000
e16a2f7e-46b2-4859-b14c-daebf9278757,bus_result,application,2026-01-06 23:29:33.822000+05:30,2026-01-06,Tuesday,'23:29:33.822000
e16a2f7e-46b2-4859-b14c-daebf9278757,Buslist_date change,application,2026-01-06 23:30:30.527000+05:30,2026-01-06,Tuesday,'23:30:30.527000
