user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e368e089-2461-4305-9ca0-09fca23af9d6,App Installed,system,2026-01-02 19:09:45.260000+05:30,2026-01-02,Friday,'19:09:45.260000
e368e089-2461-4305-9ca0-09fca23af9d6,Buslist_bus_selection,application,2026-01-02 19:12:10.328000+05:30,2026-01-02,Friday,'19:12:10.328000
e368e089-2461-4305-9ca0-09fca23af9d6,Buslist_date change,application,2026-01-02 19:11:21.871000+05:30,2026-01-02,Friday,'19:11:21.871000
e368e089-2461-4305-9ca0-09fca23af9d6,Buslist_date change,application,2026-01-02 19:11:25.669000+05:30,2026-01-02,Friday,'19:11:25.669000
e368e089-2461-4305-9ca0-09fca23af9d6,DeviceInfo,application,2026-01-02 19:09:45.015000+05:30,2026-01-02,Friday,'19:09:45.015000
e368e089-2461-4305-9ca0-09fca23af9d6,Journey Ended,system,2026-01-02 19:09:59.906000+05:30,2026-01-02,Friday,'19:09:59.906000
e368e089-2461-4305-9ca0-09fca23af9d6,Journey Ended,system,2026-01-02 19:12:11.301000+05:30,2026-01-02,Friday,'19:12:11.301000
e368e089-2461-4305-9ca0-09fca23af9d6,Journey Ended,system,2026-01-02 19:12:20.645000+05:30,2026-01-02,Friday,'19:12:20.645000
e368e089-2461-4305-9ca0-09fca23af9d6,Journey Started,system,2026-01-02 19:09:46.176000+05:30,2026-01-02,Friday,'19:09:46.176000
e368e089-2461-4305-9ca0-09fca23af9d6,Journey Started,system,2026-01-02 19:09:59.906000+05:30,2026-01-02,Friday,'19:09:59.906000
e368e089-2461-4305-9ca0-09fca23af9d6,Journey Started,system,2026-01-02 19:12:11.293000+05:30,2026-01-02,Friday,'19:12:11.293000
e368e089-2461-4305-9ca0-09fca23af9d6,Onboarding_Language,application,2026-01-02 19:09:51.632000+05:30,2026-01-02,Friday,'19:09:51.632000
e368e089-2461-4305-9ca0-09fca23af9d6,Onboarding_Profile Saved,application,2026-01-02 19:10:14.424000+05:30,2026-01-02,Friday,'19:10:14.424000
e368e089-2461-4305-9ca0-09fca23af9d6,Onboarding_get_otp,application,2026-01-02 19:09:58.809000+05:30,2026-01-02,Friday,'19:09:58.809000
e368e089-2461-4305-9ca0-09fca23af9d6,Onboarding_signup_,application,2026-01-02 19:09:59.405000+05:30,2026-01-02,Friday,'19:09:59.405000
e368e089-2461-4305-9ca0-09fca23af9d6,Push Failure,system,2026-01-03 19:10:11.147000+05:30,2026-01-03,Saturday,'19:10:11.147000
e368e089-2461-4305-9ca0-09fca23af9d6,Push Failure,system,2026-01-04 19:10:25.271000+05:30,2026-01-04,Sunday,'19:10:25.271000
e368e089-2461-4305-9ca0-09fca23af9d6,Push Failure,system,2026-01-05 19:10:51.865000+05:30,2026-01-05,Monday,'19:10:51.865000
